model,group,variable,horizon_quarters,rmse
mango_rmse,+0 months,CPI,1,0.5880161665881861
mango_rmse,+0 months,CPI,2,0.6302413524811952
mango_rmse,+0 months,CPI,3,0.6319403905739621
mango_rmse,+0 months,CPI,4,0.6393688690875875
mango_rmse,+0 months,CPI,5,0.6711063012461229
mango_rmse,+0 months,CPI,6,0.6808625079906429
mango_rmse,+0 months,CPI,7,0.6981838336052579
mango_rmse,+0 months,CPI,8,0.6551004500890476
mango_rmse,+0 months,FF,1,0.45738716492072934
mango_rmse,+0 months,FF,2,0.9155965492770042
mango_rmse,+0 months,FF,3,1.3491687116150173
mango_rmse,+0 months,FF,4,1.7484703856180235
mango_rmse,+0 months,FF,5,2.091126163070929
mango_rmse,+0 months,FF,6,2.3987888052928583
mango_rmse,+0 months,FF,7,2.6508184787628086
mango_rmse,+0 months,FF,8,3.181629728266535
mango_rmse,+0 months,GDP,1,1.0704621347422172
mango_rmse,+0 months,GDP,2,0.8204528584865776
mango_rmse,+0 months,GDP,3,0.8256621715557781
mango_rmse,+0 months,GDP,4,0.8071877887634205
mango_rmse,+0 months,GDP,5,0.8044291371780228
mango_rmse,+0 months,GDP,6,0.7946860338376405
mango_rmse,+0 months,GDP,7,0.7758517492544577
mango_rmse,+0 months,GDP,8,0.7012552086723752
mango_rmse,+0 months,GOV,1,1.0382454764252729
mango_rmse,+0 months,GOV,2,0.7506507515953778
mango_rmse,+0 months,GOV,3,0.7469338366576924
mango_rmse,+0 months,GOV,4,0.7494850444246421
mango_rmse,+0 months,GOV,5,0.7528953562217283
mango_rmse,+0 months,GOV,6,0.7456939274402766
mango_rmse,+0 months,GOV,7,0.7336423242648246
mango_rmse,+0 months,GOV,8,0.8350253324101682
mango_rmse,+0 months,HRS,1,0.7322370753991682
mango_rmse,+0 months,HRS,2,0.9104648804233751
mango_rmse,+0 months,HRS,3,0.9361240330849278
mango_rmse,+0 months,HRS,4,0.9305824284615429
mango_rmse,+0 months,HRS,5,0.9086449569727482
mango_rmse,+0 months,HRS,6,0.8814778452434087
mango_rmse,+0 months,HRS,7,0.8610204281259807
mango_rmse,+0 months,HRS,8,1.05370969702515
mango_rmse,+0 months,INVFIX,1,2.578972604403804
mango_rmse,+0 months,INVFIX,2,2.750552853732494
mango_rmse,+0 months,INVFIX,3,2.7643846482656635
mango_rmse,+0 months,INVFIX,4,2.7076301497246784
mango_rmse,+0 months,INVFIX,5,2.640852327895993
mango_rmse,+0 months,INVFIX,6,2.5604337905699825
mango_rmse,+0 months,INVFIX,7,2.5357409933544925
mango_rmse,+0 months,INVFIX,8,2.973631030234421
mango_rmse,+0 months,IP,1,1.3193982552047647
mango_rmse,+0 months,IP,2,1.640516572644506
mango_rmse,+0 months,IP,3,1.6404950441793968
mango_rmse,+0 months,IP,4,1.6163767421337107
mango_rmse,+0 months,IP,5,1.5864708120404265
mango_rmse,+0 months,IP,6,1.5760433894723178
mango_rmse,+0 months,IP,7,1.5584409460030049
mango_rmse,+0 months,IP,8,1.797767669659068
mango_rmse,+0 months,PCE,1,0.6280311955524891
