model,group,variable,horizon_quarters,rmse
mango_rmse,+0 months,CPI,1,0.5721999701882309
paper,+0 months,CPI,1,0.5794743587502362
mango_rmse,+0 months,CPI,2,0.6122185992866613
paper,+0 months,CPI,2,0.6120922844788593
mango_rmse,+0 months,CPI,3,0.6350027033475085
paper,+0 months,CPI,3,0.6284589994561677
mango_rmse,+0 months,CPI,4,0.6448147416919254
paper,+0 months,CPI,4,0.6251323558813553
mango_rmse,+0 months,CPI,5,0.672798353634884
paper,+0 months,CPI,5,0.6310410090161603
mango_rmse,+0 months,CPI,6,0.6703728368240546
paper,+0 months,CPI,6,0.6346798742301076
mango_rmse,+0 months,CPI,7,0.6960477501948915
paper,+0 months,CPI,7,0.6416147116164073
mango_rmse,+0 months,CPI,8,0.6545308597073816
paper,+0 months,CPI,8,0.5904762799665731
mango_rmse,+0 months,FF,1,0.47140874316024617
paper,+0 months,FF,1,0.4046350923661181
mango_rmse,+0 months,FF,2,0.9309383584017453
paper,+0 months,FF,2,0.7563268937809116
mango_rmse,+0 months,FF,3,1.3729223895133231
paper,+0 months,FF,3,1.1455821702483442
mango_rmse,+0 months,FF,4,1.767302796208777
paper,+0 months,FF,4,1.5207791537860285
mango_rmse,+0 months,FF,5,2.1095901492299336
paper,+0 months,FF,5,1.8410864804772882
mango_rmse,+0 months,FF,6,2.406133449808308
paper,+0 months,FF,6,2.112625684448938
mango_rmse,+0 months,FF,7,2.6535298897595556
paper,+0 months,FF,7,2.333276431317568
mango_rmse,+0 months,FF,8,3.1150081393765596
paper,+0 months,FF,8,2.781045933777212
mango_rmse,+0 months,GDP,1,0.771411497616267
paper,+0 months,GDP,1,0.7121427214741672
mango_rmse,+0 months,GDP,2,0.8375394853020465
paper,+0 months,GDP,2,0.8403219548510522
mango_rmse,+0 months,GDP,3,0.8330227873090625
paper,+0 months,GDP,3,0.8788352596084141
mango_rmse,+0 months,GDP,4,0.8160280017001351
paper,+0 months,GDP,4,0.865271296833809
mango_rmse,+0 months,GDP,5,0.8143982542042433
paper,+0 months,GDP,5,0.8478870989652252
mango_rmse,+0 months,GDP,6,0.8017470332558022
paper,+0 months,GDP,6,0.8355274691371571
mango_rmse,+0 months,GDP,7,0.7820435022592143
paper,+0 months,GDP,7,0.8012878657526193
mango_rmse,+0 months,GDP,8,0.6898924278218348
paper,+0 months,GDP,8,0.7148240738208234
mango_rmse,+0 months,UNR,1,0.3378186652952473
paper,+0 months,UNR,1,0.27193943326699843
mango_rmse,+0 months,UNR,2,0.6623256490462566
paper,+0 months,UNR,2,0.566957344915496
mango_rmse,+0 months,UNR,3,0.9721190554564111
paper,+0 months,UNR,3,0.8977799144672666
mango_rmse,+0 months,UNR,4,1.256365207317496
paper,+0 months,UNR,4,1.2125911784986854
mango_rmse,+0 months,UNR,5,1.5038964228251415
paper,+0 months,UNR,5,1.4760235568983675
mango_rmse,+0 months,UNR,6,1.7134750533691394
paper,+0 months,UNR,6,1.6928406818393247
mango_rmse,+0 months,UNR,7,1.899871932657746
paper,+0 months,UNR,7,1.8814162331938513
mango_rmse,+0 months,UNR,8,2.138534244402815
paper,+0 months,UNR,8,2.0718556557774104
mango_rmse,+1 month,CPI,1,0.4122654629011432
paper,+1 month,CPI,1,0.43956615457438114
mango_rmse,+1 month,CPI,2,0.6291732454818258
paper,+1 month,CPI,2,0.6261953913135059
mango_rmse,+1 month,CPI,3,0.6322128894433995
paper,+1 month,CPI,3,0.6428705395689448
mango_rmse,+1 month,CPI,4,0.6417269907681655
paper,+1 month,CPI,4,0.6376120493249735
mango_rmse,+1 month,CPI,5,0.64679006878834
paper,+1 month,CPI,5,0.6310185162267299
mango_rmse,+1 month,CPI,6,0.6145298579237812
paper,+1 month,CPI,6,0.6328621064691313
mango_rmse,+1 month,CPI,7,0.6757153792128687
paper,+1 month,CPI,7,0.6367805884655543
mango_rmse,+1 month,CPI,8,0.6829048319081326
paper,+1 month,CPI,8,0.638719841528975
mango_rmse,+1 month,FF,1,0.30415316783817853
paper,+1 month,FF,1,0.38267703570118533
mango_rmse,+1 month,FF,2,0.7789432379433762
paper,+1 month,FF,2,0.7774466524846978
mango_rmse,+1 month,FF,3,1.1953326950629635
paper,+1 month,FF,3,1.121696635923847
mango_rmse,+1 month,FF,4,1.5785073125203068
paper,+1 month,FF,4,1.4585054968010152
mango_rmse,+1 month,FF,5,1.9266435477449155
paper,+1 month,FF,5,1.7698983574785332
mango_rmse,+1 month,FF,6,2.217172914091282
paper,+1 month,FF,6,2.0443403842250163
mango_rmse,+1 month,FF,7,2.474386608028595
paper,+1 month,FF,7,2.2714885250797505
mango_rmse,+1 month,FF,8,2.6980487677798926
paper,+1 month,FF,8,2.4568353991174448
mango_rmse,+1 month,GDP,1,0.6656538740956561
paper,+1 month,GDP,1,0.5495453204094503
mango_rmse,+1 month,GDP,2,0.8460213360239246
paper,+1 month,GDP,2,0.828372969633666
mango_rmse,+1 month,GDP,3,0.8417529197603224
paper,+1 month,GDP,3,0.8809488885925474
mango_rmse,+1 month,GDP,4,0.8300292272877204
paper,+1 month,GDP,4,0.871747707804856
mango_rmse,+1 month,GDP,5,0.8082014511025281
paper,+1 month,GDP,5,0.8455366816443673
mango_rmse,+1 month,GDP,6,0.7765472446429151
paper,+1 month,GDP,6,0.8372690226240509
mango_rmse,+1 month,GDP,7,0.7670660791587189
paper,+1 month,GDP,7,0.8103422421629907
mango_rmse,+1 month,GDP,8,0.7976029407340164
paper,+1 month,GDP,8,0.8034215112459515
mango_rmse,+1 month,UNR,1,0.24135531357666765
paper,+1 month,UNR,1,0.18330535285763577
mango_rmse,+1 month,UNR,2,0.5667622678324996
paper,+1 month,UNR,2,0.48491804194096033
mango_rmse,+1 month,UNR,3,0.8811715714562836
paper,+1 month,UNR,3,0.8085111437682927
mango_rmse,+1 month,UNR,4,1.1851508956391508
paper,+1 month,UNR,4,1.1328676342755006
mango_rmse,+1 month,UNR,5,1.444749055747854
paper,+1 month,UNR,5,1.4145605268390555
mango_rmse,+1 month,UNR,6,1.6742043681491312
paper,+1 month,UNR,6,1.6554474885800845
mango_rmse,+1 month,UNR,7,1.8634152628544278
paper,+1 month,UNR,7,1.8518459536244094
mango_rmse,+1 month,UNR,8,2.0239386060632594
paper,+1 month,UNR,8,2.0201425820169785
mango_rmse,+2 months,CPI,1,0.1908214647800218
paper,+2 months,CPI,1,0.19873602413477526
mango_rmse,+2 months,CPI,2,0.597869241926745
paper,+2 months,CPI,2,0.6054278210252538
mango_rmse,+2 months,CPI,3,0.637317514693947
paper,+2 months,CPI,3,0.6272564120756967
mango_rmse,+2 months,CPI,4,0.6254138414001744
paper,+2 months,CPI,4,0.6224319704914612
mango_rmse,+2 months,CPI,5,0.645455793906561
paper,+2 months,CPI,5,0.6228577035983883
mango_rmse,+2 months,CPI,6,0.6781185032453471
paper,+2 months,CPI,6,0.6304331220083563
mango_rmse,+2 months,CPI,7,0.6843256874869561
paper,+2 months,CPI,7,0.63440965124308
mango_rmse,+2 months,CPI,8,0.6888560047496328
paper,+2 months,CPI,8,0.6335399415771598
mango_rmse,+2 months,FF,1,0.0907544479406083
paper,+2 months,FF,1,0.09964755872224758
mango_rmse,+2 months,FF,2,0.5446942214423445
paper,+2 months,FF,2,0.538874990216021
mango_rmse,+2 months,FF,3,1.0052721514013587
paper,+2 months,FF,3,0.916033818234754
mango_rmse,+2 months,FF,4,1.4107584736714422
paper,+2 months,FF,4,1.2838911429065503
mango_rmse,+2 months,FF,5,1.7850245602564918
paper,+2 months,FF,5,1.6279986154773605
mango_rmse,+2 months,FF,6,2.124957855018476
paper,+2 months,FF,6,1.9252619687846741
mango_rmse,+2 months,FF,7,2.3956226004592804
paper,+2 months,FF,7,2.1759175779915565
mango_rmse,+2 months,FF,8,2.6263413248776746
paper,+2 months,FF,8,2.3817657665134746
mango_rmse,+2 months,GDP,1,0.6437392658824884
paper,+2 months,GDP,1,0.6532777104901972
mango_rmse,+2 months,GDP,2,0.8558313473664244
paper,+2 months,GDP,2,0.7493854887330308
mango_rmse,+2 months,GDP,3,0.8548281292083012
paper,+2 months,GDP,3,0.872004506849739
mango_rmse,+2 months,GDP,4,0.8352554341498867
paper,+2 months,GDP,4,0.8856692309032881
mango_rmse,+2 months,GDP,5,0.8250912855123232
paper,+2 months,GDP,5,0.8624750810478434
mango_rmse,+2 months,GDP,6,0.8163271637765744
paper,+2 months,GDP,6,0.8311522845172453
mango_rmse,+2 months,GDP,7,0.7893655481286262
paper,+2 months,GDP,7,0.817962373311407
mango_rmse,+2 months,GDP,8,0.7996519887860759
paper,+2 months,GDP,8,0.8027021730547639
mango_rmse,+2 months,UNR,1,0.09982876017788336
paper,+2 months,UNR,1,0.10052045663030265
mango_rmse,+2 months,UNR,2,0.3935896161200848
paper,+2 months,UNR,2,0.35809789544443543
mango_rmse,+2 months,UNR,3,0.7062130442108477
paper,+2 months,UNR,3,0.6544990343105518
mango_rmse,+2 months,UNR,4,1.0177922250874374
paper,+2 months,UNR,4,0.9849851632228952
mango_rmse,+2 months,UNR,5,1.3022163022436173
paper,+2 months,UNR,5,1.2893703025014835
mango_rmse,+2 months,UNR,6,1.5545188317109906
paper,+2 months,UNR,6,1.5500258369140683
mango_rmse,+2 months,UNR,7,1.7638308969752212
paper,+2 months,UNR,7,1.7570499834713615
mango_rmse,+2 months,UNR,8,1.9512248435183148
paper,+2 months,UNR,8,1.9413842383492048
