strategy,model_size,forecast_origin,target_quarter,horizon_quarters,variable,mean,actual,error,p05,p16,median,p84,p95
mango_mdd,large,2000-03-31,2000Q1,1,AHE,260.5371497697207,262.46685921631587,-1.9297094465951545,259.79298113209177,260.07376215456367,260.5429284752382,260.97215721522,261.2914440383027
mango_mdd,large,2000-03-31,2000Q2,2,AHE,261.41058954249405,263.4762405332378,-2.065650990743734,260.15993586141343,260.63515370507685,261.42045253019546,262.13388967039737,262.63177939227984
mango_mdd,large,2000-03-31,2000Q3,3,AHE,262.28387248449525,264.38079323738566,-2.096920752890412,260.5228211883144,261.23217652101675,262.2966283222295,263.3466499395194,264.04930272803546
mango_mdd,large,2000-03-31,2000Q4,4,AHE,263.158503009853,265.5118137765443,-2.3533107666912656,260.75816431811216,261.7451172899278,263.20943661558516,264.5544610627378,265.5383320900789
mango_mdd,large,2000-03-31,2001Q1,5,AHE,264.03631093076024,266.421441039791,-2.38513010903074,261.0871635311525,262.29905842759075,264.04881580677,265.74062800441106,267.09344667707654
mango_mdd,large,2000-03-31,2001Q2,6,AHE,264.8660376005068,267.39187379414375,-2.5258361936369624,261.37417836965903,262.78253135373916,264.8624372812804,266.96592908868564,268.42925183153716
mango_mdd,large,2000-03-31,2001Q3,7,AHE,265.7017892642629,268.0336362534694,-2.331846989206497,261.5142514501056,263.2043572659279,265.7177016628607,268.2174311462582,270.0483109843353
mango_mdd,large,2000-03-31,2001Q4,8,AHE,266.48505817154313,268.8300905717192,-2.3450324001760805,261.677688964899,263.5467594926852,266.5300438050073,269.28826585029617,271.34850097225313
mango_mdd,large,2000-03-31,2000Q1,1,COMM,485.81784448711454,486.4709952493592,-0.6531507622446497,484.11991367984183,484.7798634957321,485.7961673365188,486.89679242566166,487.5231884956934
mango_mdd,large,2000-03-31,2000Q2,2,COMM,486.35098156686473,488.3054415959761,-1.9544600291113738,483.322503073652,484.43196772776383,486.35379539765484,488.21392440387194,489.5571987680297
mango_mdd,large,2000-03-31,2000Q3,3,COMM,486.7080943848704,489.60969886047616,-2.9016044756057795,482.42963778659043,484.0023152559419,486.69499897789626,489.36886571093527,491.1882135129868
mango_mdd,large,2000-03-31,2000Q4,4,COMM,486.8681007861939,490.92176125261363,-4.053660466419728,481.14433974847344,483.34188403120186,486.8216698974862,490.377761975143,492.72934295904776
mango_mdd,large,2000-03-31,2001Q1,5,COMM,486.8917061810454,492.55614328495767,-5.664437103912292,479.6349370423916,482.52684309359256,486.85392156958665,491.1823573628596,494.4082793987619
mango_mdd,large,2000-03-31,2001Q2,6,COMM,486.85812312715274,491.4369101902122,-4.578787063059451,478.17738148447444,481.7337832953677,486.8517089970186,491.99750361134033,495.63116475719966
mango_mdd,large,2000-03-31,2001Q3,7,COMM,486.7687173505265,489.3102227195079,-2.5415053689814044,476.52909070037913,480.7480617123903,486.71765137158116,492.81004868238085,497.4059665394137
mango_mdd,large,2000-03-31,2001Q4,8,COMM,486.60937484369447,486.29083820668006,0.3185366370144038,475.0649177963223,479.7158418102797,486.4523436463538,493.60053177708767,498.8434989784485
mango_mdd,large,2000-03-31,2000Q1,1,CONS,872.5872823403054,905.3176373327199,-32.730354992414505,871.2127913417933,871.7467434967518,872.5649294544653,873.4306125671064,874.0385449352038
mango_mdd,large,2000-03-31,2000Q2,2,CONS,873.4698483148825,906.2470675410377,-32.77721922615524,871.2563768725165,872.1008164521392,873.4869605016027,874.780448086896,875.6353315668061
mango_mdd,large,2000-03-31,2000Q3,3,CONS,874.5405798860294,907.2005920251266,-32.66001213909726,871.5059333167025,872.7656640025714,874.5541362133231,876.3112676709422,877.4832156877482
mango_mdd,large,2000-03-31,2000Q4,4,CONS,875.6207296009318,908.0704809313119,-32.44975133038008,871.8912653974635,873.3765473458825,875.6415754379618,877.8601207010291,879.3317248727479
mango_mdd,large,2000-03-31,2001Q1,5,CONS,876.73760969234,908.4325119413213,-31.694902248981293,872.1936034168878,874.0905146155577,876.7920646250064,879.4168048610418,881.1063891004532
mango_mdd,large,2000-03-31,2001Q2,6,CONS,877.9150355792771,908.6332175148394,-30.71818193556237,872.5264448457666,874.7812934530083,877.9207729380528,881.0340200793721,883.2553366705338
mango_mdd,large,2000-03-31,2001Q3,7,CONS,879.1166279356837,908.9805866997402,-29.86395876405652,872.5942938027518,875.5227136064435,879.253510132351,882.6576404783093,885.2697666856177
mango_mdd,large,2000-03-31,2001Q4,8,CONS,880.4005371435584,910.5812176510452,-30.18068050748684,872.9707671190303,876.4075893051831,880.5339264816632,884.4801737891553,887.5819933667765
mango_mdd,large,2000-03-31,2000Q1,1,CPI,513.5606565319256,513.6386499401816,-0.0779934082560203,512.5171721528434,512.9571569656435,513.5675301627559,514.1555490162681,514.5605951128159
mango_mdd,large,2000-03-31,2000Q2,2,CPI,514.3263669304163,514.419446411276,-0.09307948085972839,512.5168491425616,513.2541351224692,514.356819201853,515.3957034674627,516.0465058061444
mango_mdd,large,2000-03-31,2000Q3,3,CPI,515.0236338716826,515.3291594497779,-0.3055255780952848,512.5040211326005,513.4132517224765,515.0539536537026,516.6050634005514,517.5219267522914
mango_mdd,large,2000-03-31,2000Q4,4,CPI,515.6754572804214,516.0395397050767,-0.36408242465529383,512.2405323395618,513.6054660010232,515.6927942908195,517.6963620336929,519.0667883469283
mango_mdd,large,2000-03-31,2001Q1,5,CPI,516.2499360638056,516.9915651743512,-0.7416291105455457,511.84454335707267,513.5945334249176,516.2585012250046,518.9020084672377,520.5856102943927
mango_mdd,large,2000-03-31,2001Q2,6,CPI,516.7287147888189,517.6902744657604,-0.9615596769414196,511.22698265203024,513.5878631540305,516.7430506173603,519.9599785227454,522.0795864782554
mango_mdd,large,2000-03-31,2001Q3,7,CPI,517.168132647044,517.9721500634627,-0.8040174164186737,510.52647946826016,513.3158223224333,517.1830010488491,521.0539514172959,523.5580031469767
mango_mdd,large,2000-03-31,2001Q4,8,CPI,517.5558068635422,517.8970608915471,-0.3412540280048688,509.80145308225894,513.0788739499903,517.6045535786968,522.0113695418395,525.2373017064358
mango_mdd,large,2000-03-31,2000Q1,1,DEFL,466.26907479473766,434.80173185711334,31.467342937624323,465.8325288157039,466.0016098518312,466.2660221877771,466.5467728232006,466.7029444139108
mango_mdd,large,2000-03-31,2000Q2,2,DEFL,466.8472040152561,435.4231401429961,31.424063872260035,466.04298746555463,466.35752466831644,466.84484050555454,467.3237215642205,467.63216231869694
mango_mdd,large,2000-03-31,2000Q3,3,DEFL,467.34883922329897,436.0074949806811,31.34134424261788,466.15958245873924,466.59924610959405,467.3564969091005,468.07613922753876,468.5241254035683
mango_mdd,large,2000-03-31,2000Q4,4,DEFL,467.82319688970983,436.5490666033782,31.274130286331626,466.1894343523696,466.80865076893747,467.8427824054994,468.83138447450824,469.4537095189279
mango_mdd,large,2000-03-31,2001Q1,5,DEFL,468.26730314104077,437.2026802595548,31.064622881485946,466.04074791543485,466.9217939696773,468.30150057755907,469.57363379571296,470.41988215659967
mango_mdd,large,2000-03-31,2001Q2,6,DEFL,468.67047315417307,437.8056263169986,30.86484683717447,465.9035407492922,467.00673953054263,468.69439992741695,470.29765597780687,471.28366260240125
mango_mdd,large,2000-03-31,2001Q3,7,DEFL,469.02723073902166,438.197663342384,30.829567396637685,465.56720280867796,467.0025010237221,469.01021371634084,471.04136083390233,472.3537942973126
mango_mdd,large,2000-03-31,2001Q4,8,DEFL,469.35584414180767,438.50844547731197,30.8473986644957,465.3291242795441,466.94683081236076,469.3171546779806,471.7520255403664,473.32764494559797
mango_mdd,large,2000-03-31,2000Q1,1,EMP,1177.6725973114214,1178.479568637467,-0.806971326045641,1176.7094740759517,1177.0629792846817,1177.652723668482,1178.3005931204498,1178.6854544709006
