strategy,model_size,forecast_origin,target_quarter,horizon_quarters,variable,mean,actual,error,p05,p16,median,p84,p95
paper,large,2000-03-31,2000Q1,1,AHE,260.5248285339451,262.46685921631587,-1.9420306823707847,260.11445559300955,260.27312021230074,260.52212138580694,260.77345761464704,260.95459377068914
paper,large,2000-03-31,2000Q2,2,AHE,261.4199007041551,263.4762405332378,-2.056339829082674,260.6766052582476,260.9922904166556,261.4201242599064,261.8614256367342,262.16229199928335
paper,large,2000-03-31,2000Q3,3,AHE,262.31621680709804,264.38079323738566,-2.064576430287616,261.2236966790527,261.6825018149297,262.3114722656623,262.9594237340988,263.3629669810657
paper,large,2000-03-31,2000Q4,4,AHE,263.2412775245883,265.5118137765443,-2.2705362519559458,261.74729526256556,262.3982257943931,263.22363819136007,264.14612293587544,264.67442258578126
paper,large,2000-03-31,2001Q1,5,AHE,264.1804357470823,266.421441039791,-2.241005292708678,262.19802315330537,263.08500810490517,264.1748115342452,265.3235012241414,266.0143866871554
paper,large,2000-03-31,2001Q2,6,AHE,265.10131895104445,267.39187379414375,-2.290554843099301,262.72598077896123,263.7187136065412,265.1291653090359,266.4746352564627,267.45014686070226
paper,large,2000-03-31,2001Q3,7,AHE,266.03918144383766,268.0336362534694,-1.9944548096317476,263.18334357785375,264.3443527049,266.11195319281546,267.6981081870054,268.7799002729092
paper,large,2000-03-31,2001Q4,8,AHE,266.97162551112166,268.8300905717192,-1.8584650605975526,263.6118951496375,264.93136945643624,267.0383965305375,268.8713453617512,270.29491082640254
paper,large,2000-03-31,2000Q1,1,COMM,485.84969971203094,486.4709952493592,-0.6212955373282512,484.1527853036499,484.83547368850384,485.84451794052313,486.87939878162535,487.60809839684924
paper,large,2000-03-31,2000Q2,2,COMM,486.4113551992847,488.3054415959761,-1.8940863966914208,483.4585899604926,484.61231341765836,486.4121399978866,488.22678845040343,489.24561333406064
paper,large,2000-03-31,2000Q3,3,COMM,486.93477318852797,489.60969886047616,-2.6749256719481878,482.88336321124814,484.4212427814487,487.00522820741594,489.4624339604693,490.87792927912614
paper,large,2000-03-31,2000Q4,4,COMM,487.38120989505137,490.92176125261363,-3.540551357562265,482.0992054018833,484.0938245059269,487.36755652654296,490.65417007838334,492.55344489291343
paper,large,2000-03-31,2001Q1,5,COMM,487.8382564358133,492.55614328495767,-4.7178868491443495,481.4369409001217,483.9017406539125,487.769341772074,491.84143557948073,494.2353568659703
paper,large,2000-03-31,2001Q2,6,COMM,488.3003379424743,491.4369101902122,-3.136572247737888,480.7684971734594,483.7336735364438,488.207286535894,493.03137275112175,495.7438136978508
paper,large,2000-03-31,2001Q3,7,COMM,488.78713559133774,489.3102227195079,-0.5230871281701752,480.01352081203765,483.3973254746909,488.7787285444156,494.07071220070065,497.35992468476974
paper,large,2000-03-31,2001Q4,8,COMM,489.2941052276288,486.29083820668006,3.0032670209487264,479.417244801568,483.18573362720764,489.18187697362356,495.4006335859339,498.8441155416041
