forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu,psi
2000-03-31,paper,large,1999Q4,108,0.619364482620977,0.6036209844413665,0.00010122845434778211,"[4.230626887337254, 1.1803370363797117, 21.93664924673947, 3.801389921359985, 149.74315643379464, 3.1259607427844083, 3.9245672954238517, 0.5667935220060628, 0.5115201767017588, 0.97986865518636, 2.5715908376940617, 5.125638793063875, 10.056950701055165, 14.989312563091225, 10.121203112010226, 25.66200883163589, 76.08716851253418, 30.54945402023118, 683.5564793449182, 5.614172698354682, 259.63017890570273]"
2000-06-30,paper,large,2000Q1,109,0.6408907753693033,0.00010001572905718977,0.0003254546898136578,"[4.148614560238772, 1.2249998071188204, 17.390447177488152, 3.8923315994253342, 131.18582921402123, 2.4658426545688172, 4.368854716947633, 0.5948886891276621, 0.5767255533886528, 0.963812194481629, 2.341747491309843, 5.612687689275827, 9.155247827620647, 14.25844939651224, 8.360008109535885, 29.65115102430468, 97.46984847155382, 33.897969905257604, 646.3677629758752, 5.19997439057987, 261.15417945134436]"
2000-09-30,paper,large,2000Q2,110,0.6244426972723005,0.6557517195636002,0.027834879507547178,"[4.2185651452146, 1.1434205787451672, 18.85683669639144, 2.9276987972976998, 103.66536835574048, 2.634492731423359, 4.284638452423557, 0.5267666163150259, 0.6154244422063072, 1.011510342996617, 2.2284682811072676, 5.628925585376988, 8.833916128528145, 18.095557938797032, 7.241502862968245, 27.061227055321698, 103.63443808947707, 34.11331579909917, 591.7152353457124, 5.214239064650723, 244.3253791799837]"
2000-12-31,paper,large,2000Q3,111,0.6428343394264755,0.00010008559051006211,0.00010228058915666278,"[5.057567600014084, 1.1713215250794948, 12.954864016568402, 3.503928429192845, 136.67805441935917, 2.194423325969309, 4.308650738390037, 0.7374745429678656, 0.4866537853659491, 0.9968861517256508, 2.5950499802166638, 6.058325941490303, 8.31954656259357, 18.834758225067546, 9.361861512982063, 27.569878282644698, 78.66146500518198, 30.927800020739046, 766.2750255898794, 6.989290568128734, 206.10302555309016]"
2001-03-31,paper,large,2000Q4,112,0.6438464278901894,0.00011057396117999311,0.001044098848144646,"[5.276641589804913, 1.3190638301906679, 14.491485595777291, 3.316674078821926, 131.39398963670806, 2.7130257376180267, 4.28619119569187, 0.5578064671016221, 0.6152736236138097, 0.9763512789764707, 2.2361987516538586, 4.208429635001676, 10.187444818067698, 12.978255072691757, 8.38107502347282, 27.902717693363527, 88.18744379958349, 32.06618121251633, 889.0564718039516, 4.715081609575842, 226.78684348415334]"
2001-06-30,paper,large,2001Q1,113,0.6461893710333309,0.00035949632759182883,0.0003851405175480512,"[4.321517975837737, 1.2329151867371122, 16.594915157562415, 3.8674706423303147, 138.84920596976812, 2.894175243115182, 4.05365400979894, 0.5669991402658695, 0.5274783841611671, 0.9350750145635792, 1.9934014894047423, 4.687190889490038, 9.100345765814998, 15.960317065072134, 8.203339563337535, 24.128344072455175, 80.30316507219979, 32.88404135446156, 662.5260685375506, 4.818353575256799, 248.77928131503754]"
2001-09-30,paper,large,2001Q2,114,0.6561999785680891,0.00022166097909875491,0.001045412830050373,"[4.398561315122101, 1.1999157546134582, 16.217515974714246, 3.3196167752992154, 128.2051108856624, 2.877595774240273, 5.271623839548997, 0.5933528274864399, 0.5318153738523247, 1.006669712349561, 2.202482981780357, 5.525357914331526, 10.061987435191487, 14.91334960225154, 8.558092562799489, 25.497789903091817, 84.058865603232, 28.28753684211633, 688.5765701418779, 5.276476481877686, 247.16130634640706]"
2001-12-31,paper,large,2001Q3,115,0.6495585614641617,0.4645292014219691,0.19347344436933772,"[5.074261509878488, 1.1443460721137322, 15.520116771446048, 5.8084157342660045, 105.0125829255777, 4.140500565407076, 5.585000945003554, 0.5429715604489969, 0.430406828739169, 0.5861493002444704, 1.5877417121771646, 4.334579729149032, 12.03026671951687, 15.29206457929991, 9.690043098506202, 39.38931877030697, 71.88827149281714, 33.72539556058503, 986.8981440366989, 3.589759875837023, 242.29932402201203]"
2002-03-31,paper,large,2001Q4,116,0.632075770041813,0.00010127836341441401,0.2944415008622405,"[4.112221364369028, 1.2403712304682035, 19.609695764093455, 3.7285683729450567, 98.64976069887115, 2.761906462881557, 5.771554295402017, 0.6958883561087829, 0.5449746574403589, 1.0209780654394653, 1.8627417467385783, 6.152193193077748, 10.596941298905453, 17.49635704563321, 7.291808305399982, 26.192564592800522, 107.85956621376208, 36.17259158825768, 719.7969308816131, 6.366830999623928, 235.25265712520164]"
2002-06-30,paper,large,2002Q1,117,0.6278511160338033,0.00015737010751875588,0.33867039017278155,"[4.533226815450836, 1.2139452022535504, 17.688416902124523, 3.3588664627660743, 138.85980673770513, 2.9854081541124082, 5.592458159546955, 0.6024343287556035, 0.5328103410133476, 0.9224592070046642, 2.218497312563451, 5.223124417816418, 11.052115861778166, 15.641904568464184, 7.111211221292037, 22.40614441826595, 106.61508965285584, 33.290897858194796, 630.6188243003882, 6.30926326698764, 244.209425813891]"
2002-09-30,paper,large,2002Q2,118,0.6424160293803933,0.00010000000603323301,0.00013049826502736182,"[4.739649486583969, 1.0852459397011711, 17.431103888614587, 3.6010249107532473, 153.40898095446852, 3.3330269236998693, 8.489267760933862, 0.621707491802368, 0.6548641822850055, 0.9905925769411641, 2.4551411093784186, 5.523438807464655, 11.2765741520584, 14.365266209636651, 8.236023944932327, 19.053364192542087, 136.38809840076624, 39.557429099110216, 830.6463164159406, 4.6387112035701135, 261.3455388808059]"
2002-12-31,paper,large,2002Q3,119,0.6248582545598749,0.6375618485972604,0.00012733242355455245,"[4.582941192900648, 1.209320082134073, 17.56634204851921, 3.144312760267223, 149.04374267754153, 3.2894250949122927, 9.907895939098227, 0.6523712281910332, 0.5857684733809775, 0.9646350673053292, 2.1724514655148366, 5.961515294487628, 10.652265505770334, 15.922363414521852, 8.381925846817126, 24.324814040216303, 111.22949602089098, 37.47809459858952, 935.2218092387824, 4.966530093897161, 206.15362725093473]"
2003-03-31,paper,large,2002Q4,120,0.6518724900532545,0.0001000022081457621,0.00015782628125923272,"[4.873561530331779, 1.1599579549564702, 18.96877967869587, 2.628057319837349, 137.28574955555257, 2.595171773346092, 8.23925266011618, 0.6378417854338401, 0.6335855548308962, 1.4337436395321053, 2.0558635532667835, 5.992034324972122, 9.257038707985375, 15.478903631363654, 10.405563288665125, 19.97945531430296, 84.97287087987506, 33.728550090400724, 913.310796301719, 4.253584311715131, 240.99364365866546]"
2003-06-30,paper,large,2003Q1,121,0.6400663776783978,0.00012809730014800173,0.00037288934568767125,"[4.639051379100412, 1.2763582104876097, 13.909447490968402, 3.6141936978830294, 145.85952477800183, 3.38787747556848, 8.61002534233573, 0.5981198832781116, 0.6222869971274312, 0.9694096645608666, 2.051958710370151, 5.239466308438851, 11.177094007640816, 13.938985782438627, 8.097452070938411, 28.118069701999506, 119.85035397524078, 34.42060337470792, 915.9930976833737, 4.520027499404786, 248.27143860421296]"
2003-09-30,paper,large,2003Q2,122,0.6169287392380898,0.00010000003497127606,0.3187219842682955,"[4.694184442437624, 1.2006719725443844, 15.95424971729934, 4.174563490746739, 130.26770053054102, 3.4061701287374095, 8.308303124374998, 0.6545958725583634, 0.5656337072316666, 0.8594405626157512, 2.3624472345116496, 5.218942326746562, 10.981206076766401, 15.296197231610568, 7.736923852857761, 26.163771197431906, 114.68890759981068, 28.174413393267315, 698.200810245313, 4.89495747559311, 244.6842949968766]"
2003-12-31,paper,large,2003Q3,123,0.6309853231578796,0.00010000002209299576,0.00010131408492453623,"[4.857491317415517, 1.462835683441378, 16.74755851075109, 3.46349733688137, 138.59013944049426, 3.3205725910070982, 33.804916288773654, 0.6154431342602374, 0.6036098340204306, 0.9952603080939867, 2.271296181270561, 5.90497567640333, 11.986412321507387, 14.661707706546055, 8.759882361368346, 23.76439596832519, 109.45584013045263, 34.91089108229897, 888.6127057531351, 4.923516418470784, 254.22628496760882]"
2004-03-31,paper,large,2003Q4,124,0.6221863631847657,0.00010000006331734322,0.00010398791275569018,"[4.6594468622538585, 1.582964463239528, 20.387986803381796, 3.015815578437055, 137.53139865522525, 3.303424678230386, 8.184343155203793, 0.6130870684796765, 0.6466583663876282, 1.0608096239339242, 2.134811299649204, 6.145493896146995, 11.73681257124814, 13.985594299295416, 9.962271675433483, 27.784078986100944, 114.1188302648627, 33.12316333438539, 696.5582644149001, 4.2511675448823905, 261.15472308365094]"
2004-06-30,paper,large,2004Q1,125,0.6269428987255651,0.00010001003867896166,0.000166883975015696,"[4.482213989452596, 1.1527328430124018, 22.35553244707857, 3.4218464162861806, 102.3285323548841, 3.568850831269209, 9.577775324934926, 0.48282418366390345, 0.4487712241089569, 1.255175152972256, 2.182194224864561, 6.851850290016891, 11.123091317725446, 11.731675662236631, 7.730661454070766, 12.612060613989064, 114.14721718500127, 39.277246589021324, 832.8951254588917, 3.8148032880768112, 315.0098553461965]"
2004-09-30,paper,large,2004Q2,126,0.6388556661075502,0.0074600820797897285,0.0001000003385853538,"[4.870052785606299, 1.4342540668355221, 15.837707819990607, 3.240252428177791, 145.71423031153626, 4.005375814441558, 9.969679864847015, 0.6732442762108379, 0.5139611326282726, 1.1644819981443355, 2.0210257476672937, 5.452374929201579, 11.368359919202785, 14.348226182587718, 8.393125350349289, 24.179657285251412, 118.03527923625418, 35.01361285863692, 804.9161949423093, 4.437226524181953, 288.5812121046526]"
2004-12-31,paper,large,2004Q3,127,0.6204904763447787,0.00010000009322601425,0.00010165997742718461,"[4.142601878447455, 1.4529968995639995, 15.318905512036132, 3.290581575469794, 133.21191183442133, 3.9365458759883722, 10.448756675671635, 0.6395681050916563, 0.6106522696051102, 1.0784726748154405, 1.8579567900616578, 6.0074191797229775, 11.808636619557252, 13.115432112845507, 9.54390221168371, 26.671088285006565, 125.07006705607073, 34.34749342492204, 968.2174342167635, 5.166872963311132, 301.50051251195526]"
2005-03-31,paper,large,2004Q4,128,0.6297367057152758,0.00010010134363495981,0.00010000008672435841,"[3.9358954003433158, 1.2714838582990071, 18.230743992475322, 2.8823657682904984, 143.11544169757047, 4.345704587608345, 9.987443411662491, 0.5592943779524653, 0.5645810398408764, 1.1595401431316155, 2.0779468794951392, 5.585230640036206, 12.028390972415622, 13.370217082483386, 9.658057899425513, 29.67811734704796, 112.92576719553853, 33.99460020157374, 941.2185268620368, 4.65670802363025, 224.01465690518165]"
2005-06-30,paper,large,2005Q1,129,0.6463601192452217,0.00010000005539550954,0.00010293920728527274,"[5.016316520833452, 1.3852255761848224, 14.09027544107408, 3.1903316555239405, 149.65100900197473, 4.3792162628991775, 9.081562834063948, 0.5917457106781275, 0.5765705613169346, 1.0048184528502793, 1.9767620346050097, 5.756325469894254, 11.374094760347024, 16.318828404412265, 10.580966105564604, 31.909723140702, 143.46788740105882, 39.478922940201784, 949.3190891652733, 4.900959028887007, 236.7751315270154]"
2005-09-30,paper,large,2005Q2,130,0.6440928415261673,0.00010000000020721729,0.0002282410490966025,"[4.160078310600469, 1.6052996766748615, 13.964903130769796, 2.8653286713406345, 128.550965111743, 4.052357354921537, 10.357015155966675, 0.589661858013869, 0.6005574030607825, 1.025702858854233, 2.2735236543606194, 6.117604966271422, 12.35508962979681, 15.04736856343337, 8.291649115456865, 25.025634816742905, 120.85250320029672, 34.95977125928116, 815.072163596595, 5.1504674163798665, 232.08284864514033]"
2005-12-31,paper,large,2005Q3,131,0.6451374511140662,0.00010000113031155295,0.00010025710417208408,"[4.659490754580601, 1.693900475326086, 16.36979870618386, 3.1652664289913854, 132.3392071009038, 4.411365004564524, 9.991607979966062, 0.6047926962404444, 0.5656865600325988, 1.0400139775644943, 2.041407921615573, 5.978756857230622, 12.293931098768981, 15.0655559149234, 8.470978985052376, 26.192380206565065, 112.29242666328022, 34.53529286643274, 796.1235124906108, 4.775892751531073, 260.3692448779988]"
2006-03-31,paper,large,2005Q4,132,0.6433242279434063,0.00010010013299367813,0.00010114407963804794,"[4.48054587928104, 1.4143171687920346, 15.41178052344896, 3.18452425827445, 124.1128582721291, 5.236994205729659, 10.061988320761634, 0.6055747563208327, 0.5109060811288343, 0.9264976186004705, 1.981757050848919, 5.987183879908634, 12.312129813145615, 15.249145301540292, 8.844883786610142, 25.845934182373238, 123.79953672679432, 33.679065246196, 871.4652199551422, 4.990155863669933, 269.85450726561515]"
2006-06-30,paper,large,2006Q1,133,0.6283855394304546,0.0002196976303040658,0.000100133350446842,"[4.08465487267102, 1.6366036639920698, 15.415724330857842, 2.5727316660348656, 124.67028824801285, 3.948811607658612, 9.674286723544716, 0.6735444159627435, 0.5658552672780761, 0.9366485319433593, 1.9140685681330651, 5.359090934474384, 12.091751918384738, 13.58437185399407, 9.321317863337297, 26.28581424980362, 116.75897749193427, 26.935838454290668, 673.753537169843, 4.672671214648664, 354.2816159601432]"
2006-09-30,paper,large,2006Q2,134,0.6016266974800112,0.00010000000058845087,0.27153836647935986,"[4.594455029197939, 1.457701332576574, 14.066424957891023, 2.9846160419909613, 123.65372332699948, 4.162670432020496, 11.907470346723194, 0.5721990292952219, 0.5697150482610394, 1.0237269586147073, 2.107626816298516, 6.241109326251067, 13.174464025266346, 12.530889783147527, 9.194447382396344, 25.23679209526414, 101.76555922323276, 34.500896714349444, 778.6323845386936, 32.31298305520388, 265.7827117152469]"
2006-12-31,paper,large,2006Q3,135,0.6452861974021398,0.00010000000811683817,0.39224182585375944,"[4.2476191214740435, 1.5985290864023065, 14.170479175392849, 2.89751014264112, 122.87835097686786, 4.146083437899443, 11.39484921972161, 0.4982327675041349, 0.53458946394062, 1.11970410403669, 2.243632757857292, 6.370280874176703, 13.698642762140953, 20.39926955035956, 7.693210407842653, 23.099772591063182, 107.58531823515257, 31.418608257813666, 819.6131251028004, 4.728142469607387, 279.8753069072984]"
