model,model_size,variable,horizon_quarters,optimization_horizon,rmse,n
mango_mdd,medium,CONS,1,,20.145883563167335,80
mango_mdd,medium,CONS,2,,19.88104559305673,80
mango_mdd,medium,CONS,3,,19.652886991358308,80
mango_mdd,medium,CONS,4,,19.36352110110822,80
mango_mdd,medium,CONS,5,,19.082047806547838,80
mango_mdd,medium,CONS,6,,18.83204102522961,80
mango_mdd,medium,CONS,7,,18.599738818565825,80
mango_mdd,medium,CONS,8,,18.376321713696193,80
mango_mdd,medium,DEFL,1,,20.283302437451763,80
mango_mdd,medium,DEFL,2,,20.291032110757317,80
mango_mdd,medium,DEFL,3,,20.311045521370858,80
mango_mdd,medium,DEFL,4,,20.351492944776144,80
mango_mdd,medium,DEFL,5,,20.412792309129355,80
mango_mdd,medium,DEFL,6,,20.5029845451971,80
mango_mdd,medium,DEFL,7,,20.61839996825744,80
mango_mdd,medium,DEFL,8,,20.75726498845178,80
mango_mdd,medium,FFR,1,,0.40811687696339605,80
mango_mdd,medium,FFR,2,,0.7807183943984131,80
mango_mdd,medium,FFR,3,,1.139112339821133,80
mango_mdd,medium,FFR,4,,1.460763450037551,80
mango_mdd,medium,FFR,5,,1.747342113588896,80
mango_mdd,medium,FFR,6,,2.0181808979509954,80
mango_mdd,medium,FFR,7,,2.259438073408152,80
mango_mdd,medium,FFR,8,,2.457209690060529,80
mango_mdd,medium,GDP,1,,22.941546520145202,80
mango_mdd,medium,GDP,2,,22.604670571138637,80
mango_mdd,medium,GDP,3,,22.25210873928541,80
mango_mdd,medium,GDP,4,,21.88338727437211,80
mango_mdd,medium,GDP,5,,21.540738883031917,80
mango_mdd,medium,GDP,6,,21.236598919834464,80
mango_mdd,medium,GDP,7,,20.946594155495983,80
mango_mdd,medium,GDP,8,,20.68444860855606,80
mango_mdd,medium,HOURS,1,,11.564558033777221,80
mango_mdd,medium,HOURS,2,,11.984996332537703,80
mango_mdd,medium,HOURS,3,,12.63671852119382,80
mango_mdd,medium,HOURS,4,,13.205991895399054,80
mango_mdd,medium,HOURS,5,,13.766160287717952,80
mango_mdd,medium,HOURS,6,,14.326831049623417,80
mango_mdd,medium,HOURS,7,,14.819867160574411,80
mango_mdd,medium,HOURS,8,,15.253637885075811,80
mango_mdd,medium,INV,1,,25.2227887240202,80
mango_mdd,medium,INV,2,,24.323676959139302,80
mango_mdd,medium,INV,3,,23.510803037916666,80
mango_mdd,medium,INV,4,,22.735934371638088,80
mango_mdd,medium,INV,5,,22.1534821577415,80
mango_mdd,medium,INV,6,,21.668367971639405,80
mango_mdd,medium,INV,7,,21.182734091908216,80
mango_mdd,medium,INV,8,,20.871118844863947,80
mango_mdd,medium,WAGE,1,,13.894489978034283,80
mango_mdd,medium,WAGE,2,,14.001654465449782,80
