model,model_size,variable,horizon_quarters,optimization_horizon,rmse,n
mango_mdd,medium,DEFL,1,,20.283302437451763,80
mango_rmse,medium,DEFL,1,h1q,20.33717467316496,80
mango_rmse,medium,DEFL,1,h2q,20.353979947923815,80
mango_rmse,medium,DEFL,1,h4q,20.355991646408476,80
mango_rmse,medium,DEFL,1,h8q,20.387322839959126,80
mango_rmse_random,medium,DEFL,1,h1q,20.335147183122757,80
mango_rmse_random,medium,DEFL,1,h2q,20.32304602268844,80
mango_rmse_random,medium,DEFL,1,h4q,20.356924962969355,80
mango_rmse_random,medium,DEFL,1,h8q,20.39310963158423,80
paper,medium,DEFL,1,,20.272556094735002,80
mango_mdd,medium,DEFL,2,,20.291032110757317,80
mango_rmse,medium,DEFL,2,h1q,20.39878840432728,80
mango_rmse,medium,DEFL,2,h2q,20.431012152762175,80
mango_rmse,medium,DEFL,2,h4q,20.436701709107012,80
mango_rmse,medium,DEFL,2,h8q,20.498428464929304,80
mango_rmse_random,medium,DEFL,2,h1q,20.399788107869867,80
mango_rmse_random,medium,DEFL,2,h2q,20.375273551060094,80
mango_rmse_random,medium,DEFL,2,h4q,20.443255708917242,80
mango_rmse_random,medium,DEFL,2,h8q,20.517602585396812,80
paper,medium,DEFL,2,,20.269339344473718,80
mango_mdd,medium,DEFL,3,,20.311045521370858,80
mango_rmse,medium,DEFL,3,h1q,20.465527631486797,80
mango_rmse,medium,DEFL,3,h2q,20.5105318958099,80
mango_rmse,medium,DEFL,3,h4q,20.522378909296435,80
mango_rmse,medium,DEFL,3,h8q,20.615478070373165,80
mango_rmse_random,medium,DEFL,3,h1q,20.48012831058149,80
mango_rmse_random,medium,DEFL,3,h2q,20.44275567100629,80
mango_rmse_random,medium,DEFL,3,h4q,20.541028402844706,80
mango_rmse_random,medium,DEFL,3,h8q,20.65232066884857,80
paper,medium,DEFL,3,,20.272417286068627,80
mango_mdd,medium,DEFL,4,,20.351492944776144,80
mango_rmse,medium,DEFL,4,h1q,20.540638489710847,80
mango_rmse,medium,DEFL,4,h2q,20.592048661415348,80
mango_rmse,medium,DEFL,4,h4q,20.611631705155958,80
mango_rmse,medium,DEFL,4,h8q,20.743210761254606,80
mango_rmse_random,medium,DEFL,4,h1q,20.573717746417422,80
mango_rmse_random,medium,DEFL,4,h2q,20.52735388346844,80
mango_rmse_random,medium,DEFL,4,h4q,20.655023863815668,80
mango_rmse_random,medium,DEFL,4,h8q,20.80168700282764,80
paper,medium,DEFL,4,,20.28984209298869,80
mango_mdd,medium,DEFL,5,,20.412792309129355,80
mango_rmse,medium,DEFL,5,h1q,20.630684890799603,80
mango_rmse,medium,DEFL,5,h2q,20.687200882180004,80
mango_rmse,medium,DEFL,5,h4q,20.713067519841285,80
mango_rmse,medium,DEFL,5,h8q,20.8819291435275,80
mango_rmse_random,medium,DEFL,5,h1q,20.691207853916627,80
mango_rmse_random,medium,DEFL,5,h2q,20.63098424256018,80
mango_rmse_random,medium,DEFL,5,h4q,20.78450827779432,80
mango_rmse_random,medium,DEFL,5,h8q,20.96811681160592,80
paper,medium,DEFL,5,,20.324803690537184,80
mango_mdd,medium,DEFL,6,,20.5029845451971,80
mango_rmse,medium,DEFL,6,h1q,20.744946411279034,80
mango_rmse,medium,DEFL,6,h2q,20.79797534004944,80
mango_rmse,medium,DEFL,6,h4q,20.83093817677923,80
mango_rmse,medium,DEFL,6,h8q,21.036702316535177,80
mango_rmse_random,medium,DEFL,6,h1q,20.83077655038443,80
mango_rmse_random,medium,DEFL,6,h2q,20.759465393436347,80
mango_rmse_random,medium,DEFL,6,h4q,20.93807166380022,80
