strategy,model_size,forecast_origin,target_quarter,horizon_quarters,variable,mean,actual,error,p05,p16,median,p84,p95
mango_rmse,medium,2000-03-31,2000Q1,1,CONS,872.5771644542042,905.3176373327199,-32.740472878515675,871.236849081634,871.7913540432761,872.574034640457,873.3663941262087,873.8460219252094
mango_rmse,medium,2000-03-31,2000Q2,2,CONS,873.4849247364673,906.2470675410377,-32.76214280457043,871.6349047553269,872.3748048870768,873.4816996753791,874.6050590587289,875.3226105797091
mango_rmse,medium,2000-03-31,2000Q3,3,CONS,874.4025220425044,907.2005920251266,-32.79806998262222,871.915771170057,873.0214448583664,874.4049407957182,875.839188992986,876.6700272771603
mango_rmse,medium,2000-03-31,2000Q4,4,CONS,875.3438225744738,908.0704809313119,-32.726658356838016,872.472050991844,873.7137561252889,875.3363903066936,877.0978244408316,878.0907456997855
mango_rmse,medium,2000-03-31,2001Q1,5,CONS,876.2440879909662,908.4325119413213,-32.18842395035506,872.8732474107609,874.2720029591919,876.2574526937208,878.2461445515977,879.4158847333676
mango_rmse,medium,2000-03-31,2001Q2,6,CONS,877.1481466004593,908.6332175148394,-31.485070914380117,873.4052365241687,874.9658520843037,877.1908677279073,879.3546699804035,880.6976030085839
mango_rmse,medium,2000-03-31,2001Q3,7,CONS,878.0495674038106,908.9805866997402,-30.931019295929673,873.8930996491755,875.5847253832038,878.1046836894486,880.441316910518,881.9164590492896
mango_rmse,medium,2000-03-31,2001Q4,8,CONS,878.9367161168769,910.5812176510452,-31.644501534168285,874.3977919138408,876.2297146388069,879.0287546770649,881.530341472786,883.1932447010761
mango_rmse,medium,2000-03-31,2000Q1,1,DEFL,466.21438878899096,434.80173185711334,31.41265693187762,465.25218553377897,465.62713157345434,466.22010463013277,466.8043068510674,467.1846062627226
mango_rmse,medium,2000-03-31,2000Q2,2,DEFL,466.85152994925596,435.4231401429961,31.428389806259872,465.41301105493216,465.9793465585567,466.8694343701716,467.6920442662714,468.226660065033
