forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu,psi
2000-03-31,mango_rmse_random,medium,1999Q4,164,1.0544762651068742,2.4899927669332484,33.25572952631324,"[27.187766418714492, 21.02090399188717, 32.21851148416627, 33.52885904959507, 876.6680849678984, 52.00530416766059, 4.543713345428554]"
2000-06-30,mango_rmse_random,medium,2000Q1,183,0.8024088458421116,24.979643619933857,42.7391361526468,"[32.56939306634057, 32.17846091987183, 45.35325305999161, 13.895589725203005, 40.28201246500214, 67.11583671434623, 13.68979305154336]"
2000-09-30,mango_rmse_random,medium,2000Q2,184,1.1942060389820208,45.2734084554583,27.670227179998903,"[74.73701390639566, 19.11326775978385, 97.03122571627564, 3.970816632062988, 226.87616511391516, 47.08289972762299, 21.4950579925552]"
2000-12-31,mango_rmse_random,medium,2000Q3,185,0.6008147884082536,32.259453724507274,16.430744567288773,"[31.577253055124956, 15.196853948233928, 49.29879031390649, 0.2379561644292429, 234.14081624563295, 45.53740500654534, 3.2592400572618407]"
2001-03-31,mango_rmse_random,medium,2000Q4,186,3.5680894134381846,23.364784441921895,0.08288459751190762,"[28.29809655420424, 32.60360672049784, 42.53197142174505, 48.699461165458885, 1644.170987976681, 5.932245445968261, 4.878853933899174]"
2001-06-30,mango_rmse_random,medium,2001Q1,187,0.36011466029498457,40.39705856988406,3.104084648917844,"[46.889887535411525, 34.53360115503576, 58.22579688853562, 20.742961277257635, 1982.2154666586869, 52.81998015366534, 8.675928203857621]"
2001-09-30,mango_rmse_random,medium,2001Q2,188,0.5065247892540223,3.6895828812285956,5.6402559979818365,"[22.75273897746919, 1.6603291948042505, 71.75216483468779, 34.893258346548194, 452.89623119114987, 9.103302701392858, 14.129232926954138]"
2001-12-31,mango_rmse_random,medium,2001Q3,189,0.23344547911102473,43.979873623832816,8.142284023575638,"[75.88218539566746, 1.5212605289088645, 20.42460833524787, 3.5911620906109096, 624.6201646634343, 42.032822844325, 21.786554446614815]"
2002-03-31,mango_rmse_random,medium,2001Q4,190,2.5760198023669107,23.844259923914894,43.64708460134634,"[45.28439365828048, 17.269626577525614, 39.76640006655544, 39.97381131849747, 1495.5553122021363, 1.796009193939941, 0.8314138613735678]"
2002-06-30,mango_rmse_random,medium,2002Q1,191,0.025389107161262765,44.44599102407799,36.4322454975877,"[1.279243022838832, 12.058974368033667, 66.71817441945419, 39.88777108104888, 438.2354963473183, 7.612383851138685, 26.603380218618806]"
2002-09-30,mango_rmse_random,medium,2002Q2,192,0.9640656750940837,31.382549298371018,11.117051247182015,"[30.412406927748908, 30.657811745798412, 52.47190903911827, 3.5306337033656647, 238.43781887543798, 60.557031946529264, 21.28162117581983]"
2002-12-31,mango_rmse_random,medium,2002Q3,193,0.9691697271826897,14.868477562943484,16.455455369183536,"[86.16773238054189, 31.558289275259483, 26.958011295813314, 0.025156850038741907, 329.96972191673285, 72.15299014595524, 9.533885018841298]"
2003-03-31,mango_rmse_random,medium,2002Q4,194,0.6008147884082536,32.259453724507274,16.430744567288773,"[30.677663214174835, 14.984734215112477, 48.63566767452633, 0.22676310157358232, 230.35250896405856, 45.93531043935728, 3.7433160977197124]"
2003-06-30,mango_rmse_random,medium,2003Q1,195,0.8298063505597618,30.058626690531632,8.26458964724809,"[33.65765813017721, 24.205851117509546, 48.11222336479886, 0.31429989301580513, 236.67321591780612, 48.18788289031913, 7.217697048302085]"
2003-09-30,mango_rmse_random,medium,2003Q2,196,0.8038549634660197,35.039575875451035,13.504900900505138,"[0.9956658240314773, 15.608740392097026, 70.7062078871845, 15.881318861806449, 974.6420492952857, 33.81975138136764, 28.71153795690313]"
2003-12-31,mango_rmse_random,medium,2003Q3,197,0.6008147884082536,32.259453724507274,16.430744567288773,"[30.35079253971891, 14.930475928520826, 47.97022666317971, 0.22151963411326317, 230.97968805926536, 46.199283882326846, 3.730657081577522]"
2004-03-31,mango_rmse_random,medium,2003Q4,198,0.8298063505597618,30.058626690531632,8.26458964724809,"[33.29401731536999, 24.16326767422122, 47.430016333186934, 0.30679521496981416, 237.5001597676973, 48.5493996389094, 7.336150082937172]"
2004-06-30,mango_rmse_random,medium,2004Q1,199,0.20896141618518796,14.574238384456015,15.267343036224762,"[22.293918142821795, 1.6137983807310785, 9.63633145325936, 6.053549262433636, 650.1681475947863, 40.9698384087938, 17.78629428515203]"
2004-09-30,mango_rmse_random,medium,2004Q2,200,1.0263186472858568,25.293490470757376,14.645580941266774,"[44.670701689134674, 1.744396267803414, 5.267401022068987, 25.729303207444783, 2142.652362022344, 7.434163105815493, 16.67185754430561]"
2004-12-31,mango_rmse_random,medium,2004Q3,201,1.1914688220711633,0.7517191708944295,8.285930214227468,"[3.8580289035276163, 17.597955434336832, 26.362300108584478, 10.2167399508936, 1999.8396189709133, 65.8884685093446, 28.035755062772168]"
2005-03-31,mango_rmse_random,medium,2004Q4,202,1.2384464179416002,28.69715730410124,11.89964556615032,"[76.83323638447008, 27.30257897699362, 6.891200207113744, 13.512682016452336, 1907.1888581168469, 45.06930842936175, 4.948509133358026]"
2005-06-30,mango_rmse_random,medium,2005Q1,203,0.088059114519732,29.805428678617545,17.58848144133285,"[17.386208504544918, 3.556238058770531, 39.2917507253989, 5.960059512566324, 1245.1631849292314, 59.89376135855968, 25.27770261134722]"
2005-09-30,mango_rmse_random,medium,2005Q2,204,0.284528853320892,34.6105522064229,0.10623363360610973,"[65.47020687747326, 0.9920201218349489, 21.048800416279317, 28.531365127436906, 1488.2760217244645, 32.57608685540661, 33.739909280822154]"
2005-12-31,mango_rmse_random,medium,2005Q3,205,0.13900536167351504,12.191768939505936,18.74728304528567,"[37.23981899824298, 21.910337415204932, 44.13479437946764, 7.355336174397195, 1505.9331693274867, 70.18823490001124, 11.575271431762589]"
2006-03-31,mango_rmse_random,medium,2005Q4,206,2.1907471556668408,10.874541911305103,0.14954959738391727,"[16.73638197857008, 23.888334494140604, 74.99267082986113, 27.364191726335783, 946.8009176109692, 48.16745037564202, 6.940851590539744]"
2006-06-30,mango_rmse_random,medium,2006Q1,207,0.7421839218367728,34.64131146827078,49.58161514812825,"[33.88976736857181, 33.0777532304807, 11.146469712811719, 2.2760471087510648, 1975.1235810969588, 62.07882996973564, 5.860143215175958]"
2006-09-30,mango_rmse_random,medium,2006Q2,208,1.4488075658354787,34.51288354989845,38.60398092711533,"[6.575540250154573, 24.31715142340527, 72.71729456346634, 11.01164227309453, 1017.840853469403, 0.4041529916648104, 36.9187427658729]"
2006-12-31,mango_rmse_random,medium,2006Q3,209,2.5175401758450593,46.8105608012742,17.62178537116128,"[53.22644175026992, 4.375890122538792, 23.55988096773362, 36.56345107892566, 1985.3531707091506, 0.46165698980540165, 34.07909484363501]"
2007-03-31,mango_rmse_random,medium,2006Q4,210,0.07439184083329015,5.783990603219876,24.32578328418099,"[32.75637549728452, 23.015407432970527, 10.77654368193311, 1.7449428612868807, 1159.3077141847807, 38.3527508634151, 12.691424842833365]"
2007-06-30,mango_rmse_random,medium,2007Q1,211,0.07059124273533801,15.591664738614034,17.076558805087153,"[8.855980165880823, 32.88664125861698, 24.389986800583973, 36.99065986659267, 1028.3626248947726, 17.68350189263785, 38.35063963400101]"
2007-09-30,mango_rmse_random,medium,2007Q2,212,4.443453401970484,0.12045794735640716,7.018507829642169,"[40.28094653576222, 12.086303104630852, 26.049708004925662, 32.929553040354136, 1430.6106418932334, 55.33993538395102, 33.73600009487059]"
2007-12-31,mango_rmse_random,medium,2007Q3,213,0.03951240146333983,30.207259334743906,49.813299258715965,"[19.834475292802686, 23.244350375881584, 19.099188673597276, 36.4965962123761, 1620.29638046127, 30.88967939393268, 37.95735665870447]"
2008-03-31,mango_rmse_random,medium,2007Q4,214,0.05812124146344234,24.40990445343684,22.32380581495676,"[14.012582261053634, 30.870662885070182, 84.74163615270565, 26.20507149773125, 620.4740143551327, 32.09447595931179, 41.58232950665799]"
2008-06-30,mango_rmse_random,medium,2008Q1,215,2.8193011503909617,26.210467121869343,1.95192212191572,"[54.118067839557746, 26.3918740226027, 1.4031012503435443, 13.368915274620411, 1823.9748509944534, 55.95249332494293, 0.5527443224008967]"
2008-09-30,mango_rmse_random,medium,2008Q2,216,2.942280192984798,41.507156559065685,0.5592603394477804,"[21.499646231154234, 31.380187702559358, 3.1240304220083805, 30.87144453190737, 885.1979240315171, 34.98366422208379, 29.58921644285521]"
2008-12-31,mango_rmse_random,medium,2008Q3,217,4.057540267316964,21.454650279853027,1.651383429285478,"[0.9199436761569368, 23.86413387400836, 43.404401162831505, 8.299328686277452, 559.581019360198, 33.48810329939603, 1.086942764856393]"
2009-03-31,mango_rmse_random,medium,2008Q4,218,1.17348948790699,26.96965155966013,0.6435101062611063,"[55.55758816499887, 31.674083580904657, 5.801443680690611, 30.089519639465344, 2004.783552804565, 20.98657624178154, 17.24454718050219]"
2009-06-30,mango_rmse_random,medium,2009Q1,219,0.004720466463333249,5.114306274062578,19.60737678559793,"[77.25458303886451, 11.75276153864914, 44.81727603151015, 11.016505814660096, 1362.4439582403709, 12.089187345816656, 6.1504361057303685]"
2009-09-30,mango_rmse_random,medium,2009Q2,220,2.883979807450279,8.796998506420747,1.1891231469175065,"[15.178682842698509, 25.642877367706074, 0.5862330187196498, 18.528969802747497, 1319.2941638316618, 62.59782950599526, 18.956680249573832]"
2009-12-31,mango_rmse_random,medium,2009Q3,221,2.6834303734943705,33.33809682067097,1.3220202534758254,"[60.86696317839418, 18.00391747075536, 0.708032277217599, 0.34727525003852144, 789.192464502572, 26.01650788542888, 35.66385016793193]"
2010-03-31,mango_rmse_random,medium,2009Q4,222,2.3687364927959482,46.46929614332852,1.5616007704275527,"[72.32583443451395, 0.11599727115982494, 26.821922126753265, 23.12072659461272, 756.5818743501115, 16.196503876668476, 27.998538573667034]"
2010-06-30,mango_rmse_random,medium,2010Q1,223,4.8578837442231935,16.17997725012035,0.7333738745528076,"[59.7154818082143, 6.38154591719787, 38.095264344330126, 14.65866198653615, 1134.1425771395495, 29.30117849875768, 11.44538605880991]"
2010-09-30,mango_rmse_random,medium,2010Q2,224,2.2607686101489084,37.83074427597466,0.9586346678977504,"[50.12166163719702, 13.850005780181219, 49.66298953150983, 34.08381041186533, 975.964138286677, 33.87288112530325, 24.44502679279489]"
2010-12-31,mango_rmse_random,medium,2010Q3,225,2.1958418693465154,12.833369795887064,0.16140745169841927,"[78.22131593410546, 26.569260104651278, 66.4514558123566, 6.638867435571451, 485.389087515436, 63.141040011019335, 6.131092110953056]"
2011-03-31,mango_rmse_random,medium,2010Q4,226,0.8574672014629959,41.146672338017126,6.0329202983055685,"[37.52926698432141, 34.08721695445882, 67.18745947195629, 0.06675873912638979, 170.13798066486322, 23.916176758335986, 24.18877680151878]"
2011-06-30,mango_rmse_random,medium,2011Q1,227,0.6853857196989175,34.295804578215225,3.129899479585483,"[16.83360431689942, 24.247548808874182, 35.50503225157762, 0.18252905478704737, 2068.5512378442313, 20.92281933734996, 39.7648021183708]"
2011-09-30,mango_rmse_random,medium,2011Q2,228,1.684882823974527,28.713412379660987,39.49084046600535,"[42.95841877475344, 14.807471130178289, 63.391559885190965, 2.8703340991276964, 2192.725522557028, 41.48440532893373, 13.666749792408977]"
2011-12-31,mango_rmse_random,medium,2011Q3,229,1.3500938460213314,13.014185946604707,5.291702695109059,"[59.29904446377967, 0.846180118503162, 2.7569503006473495, 12.333043877015779, 935.7768733406982, 5.8171068100373935, 40.55899263786912]"
2012-03-31,mango_rmse_random,medium,2011Q4,230,0.5636933220395746,14.302400600432874,5.05996801705731,"[33.86064226650893, 27.827896954161012, 2.5303479811672998, 16.41948662893738, 945.6659731159115, 54.38041431477191, 29.964967111206022]"
2012-06-30,mango_rmse_random,medium,2012Q1,231,0.412515300255532,5.208139450320222,4.204913504431545,"[29.79066574421758, 20.220636155641486, 7.1835243287681205, 35.614612143251435, 1725.8819501541204, 51.72378823545517, 23.0520555684847]"
