strategy,model_size,forecast_origin,target_quarter,horizon_quarters,variable,mean,actual,error,p05,p16,median,p84,p95
mango_rmse_random,medium,2000-03-31,2000Q1,1,CONS,872.7216943395055,905.3176373327199,-32.59594299321441,871.5040521345533,871.995071914251,872.7007697004992,873.4805465237606,873.9693501158538
mango_rmse_random,medium,2000-03-31,2000Q2,2,CONS,873.7147929404679,906.2470675410377,-32.53227460056985,871.9205955005593,872.6359334467672,873.7172735344118,874.7925250460104,875.5215829719111
mango_rmse_random,medium,2000-03-31,2000Q3,3,CONS,874.623892365588,907.2005920251266,-32.57669965953869,872.2524669313099,873.1674355660766,874.6204642866044,876.0891509366604,876.9541478208778
mango_rmse_random,medium,2000-03-31,2000Q4,4,CONS,875.4914243421304,908.0704809313119,-32.579056589181505,872.6443881654184,873.8021982578963,875.5021156214166,877.2064473908306,878.3619178849997
mango_rmse_random,medium,2000-03-31,2001Q1,5,CONS,876.2787863888466,908.4325119413213,-32.153725552474725,872.8511532145632,874.2588974740363,876.296341930225,878.2947663164657,879.6250846404425
mango_rmse_random,medium,2000-03-31,2001Q2,6,CONS,877.045101291044,908.6332175148394,-31.588116223795396,873.1251981681189,874.695356275393,877.1018170498598,879.3834588607928,880.9909152436292
mango_rmse_random,medium,2000-03-31,2001Q3,7,CONS,877.7936654447116,908.9805866997402,-31.186921255028665,873.3487178750344,875.1482804748777,877.7730603090151,880.5362147134434,882.2573101461967
mango_rmse_random,medium,2000-03-31,2001Q4,8,CONS,878.5033218196897,910.5812176510452,-32.07789583135548,873.4749939585652,875.4052472990724,878.4047921241622,881.5579834230186,883.6321316740105
mango_rmse_random,medium,2000-03-31,2000Q1,1,DEFL,466.1398143325452,434.80173185711334,31.33808247543186,465.68986871361057,465.8705008411641,466.1423292887846,466.4072510637592,466.57316992516354
mango_rmse_random,medium,2000-03-31,2000Q2,2,DEFL,466.74744055459547,435.4231401429961,31.32430041159938,465.97126171850425,466.2995871980691,466.7350730409696,467.22880296183564,467.51512877314644
