forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu,psi
2000-03-31,mango_rmse,medium,1999Q4,164,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2000-06-30,mango_rmse,medium,2000Q1,183,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2000-09-30,mango_rmse,medium,2000Q2,184,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2000-12-31,mango_rmse,medium,2000Q3,185,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2001-03-31,mango_rmse,medium,2000Q4,186,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2001-06-30,mango_rmse,medium,2001Q1,187,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2001-09-30,mango_rmse,medium,2001Q2,188,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2001-12-31,mango_rmse,medium,2001Q3,189,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2002-03-31,mango_rmse,medium,2001Q4,190,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2002-06-30,mango_rmse,medium,2002Q1,191,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2002-09-30,mango_rmse,medium,2002Q2,192,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2002-12-31,mango_rmse,medium,2002Q3,193,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2003-03-31,mango_rmse,medium,2002Q4,194,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2003-06-30,mango_rmse,medium,2003Q1,195,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2003-09-30,mango_rmse,medium,2003Q2,196,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2003-12-31,mango_rmse,medium,2003Q3,197,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2004-03-31,mango_rmse,medium,2003Q4,198,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2004-06-30,mango_rmse,medium,2004Q1,199,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2004-09-30,mango_rmse,medium,2004Q2,200,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2004-12-31,mango_rmse,medium,2004Q3,201,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2005-03-31,mango_rmse,medium,2004Q4,202,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2005-06-30,mango_rmse,medium,2005Q1,203,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2005-09-30,mango_rmse,medium,2005Q2,204,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2005-12-31,mango_rmse,medium,2005Q3,205,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2006-03-31,mango_rmse,medium,2005Q4,206,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2006-06-30,mango_rmse,medium,2006Q1,207,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2006-09-30,mango_rmse,medium,2006Q2,208,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2006-12-31,mango_rmse,medium,2006Q3,209,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2007-03-31,mango_rmse,medium,2006Q4,210,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2007-06-30,mango_rmse,medium,2007Q1,211,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2007-09-30,mango_rmse,medium,2007Q2,212,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2007-12-31,mango_rmse,medium,2007Q3,213,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2008-03-31,mango_rmse,medium,2007Q4,214,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2008-06-30,mango_rmse,medium,2008Q1,215,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2008-09-30,mango_rmse,medium,2008Q2,216,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2008-12-31,mango_rmse,medium,2008Q3,217,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2009-03-31,mango_rmse,medium,2008Q4,218,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2009-06-30,mango_rmse,medium,2009Q1,219,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2009-09-30,mango_rmse,medium,2009Q2,220,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2009-12-31,mango_rmse,medium,2009Q3,221,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2010-03-31,mango_rmse,medium,2009Q4,222,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2010-06-30,mango_rmse,medium,2010Q1,223,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2010-09-30,mango_rmse,medium,2010Q2,224,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2010-12-31,mango_rmse,medium,2010Q3,225,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2011-03-31,mango_rmse,medium,2010Q4,226,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2011-06-30,mango_rmse,medium,2011Q1,227,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2011-09-30,mango_rmse,medium,2011Q2,228,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
2011-12-31,mango_rmse,medium,2011Q3,229,0.19988422414473403,31.719710569675936,1.3112451473209548,"[20.98619479708488, 0.07121250801607758, 5.043482805751555, 42.17098198560868, 1630.1630219299273, 30.905227392402036, 27.75481846037536]"
