strategy,model_size,forecast_origin,target_quarter,horizon_quarters,variable,mean,actual,error,p05,p16,median,p84,p95
mango_rmse,medium,2000-03-31,2000Q1,1,CONS,872.6505821700821,905.3176373327199,-32.66705516263778,871.6711531810677,872.0392943123195,872.6632116677158,873.2580185422325,873.6524326652386
mango_rmse,medium,2000-03-31,2000Q2,2,CONS,873.7677376199542,906.2470675410377,-32.47932992108349,872.3217423746352,872.8969096125779,873.7605373868769,874.6343888366299,875.2346580618432
mango_rmse,medium,2000-03-31,2000Q3,3,CONS,874.8681349179326,907.2005920251266,-32.332457107194045,872.8600307154962,873.6572863992801,874.8671232196591,876.0684115387614,876.8851365465175
mango_rmse,medium,2000-03-31,2000Q4,4,CONS,875.9048919814963,908.0704809313119,-32.165588949815515,873.3183272151044,874.3290476713825,875.9204218004684,877.44285822808,878.4482916820609
mango_rmse,medium,2000-03-31,2001Q1,5,CONS,876.9651299535653,908.4325119413213,-31.46738198775597,873.8882102652584,875.076894181183,877.0128887980385,878.8938671915856,880.0042107230378
mango_rmse,medium,2000-03-31,2001Q2,6,CONS,877.9635674332835,908.6332175148394,-30.669650081555915,874.1167499801174,875.6894181239595,878.0431333739282,880.1790025648102,881.583595170623
mango_rmse,medium,2000-03-31,2001Q3,7,CONS,878.9284691577018,908.9805866997402,-30.052117542038445,874.6950795454705,876.3455498501709,878.9520720792249,881.4664266147618,883.0231297697238
mango_rmse,medium,2000-03-31,2001Q4,8,CONS,879.8714285914722,910.5812176510452,-30.70978905957304,875.1066745570464,877.0463462662934,879.920518322835,882.6828852463451,884.3703063217354
mango_rmse,medium,2000-03-31,2000Q1,1,DEFL,466.02544848002594,434.80173185711334,31.223716622912605,465.49379537411227,465.7084410726177,466.02917564033396,466.3464574637446,466.537176871583
mango_rmse,medium,2000-03-31,2000Q2,2,DEFL,466.4522210297396,435.4231401429961,31.029080886743486,465.46755242430055,465.87540582759306,466.4576569123126,467.04329379077717,467.3800164732778
mango_rmse,medium,2000-03-31,2000Q3,3,DEFL,466.91187508181434,436.0074949806811,30.904380101133256,465.46366919473024,466.0351238496812,466.91623121363784,467.80310361151953,468.3256743859309
mango_rmse,medium,2000-03-31,2000Q4,4,DEFL,467.41890657811723,436.5490666033782,30.869839974739023,465.36173044271516,466.18582001509196,467.4169993077163,468.67978204868587,469.406683346432
mango_rmse,medium,2000-03-31,2001Q1,5,DEFL,467.95383631876615,437.2026802595548,30.751156059211326,465.2788947084046,466.36489654405375,467.94473822454233,469.6472982000321,470.5118246382006
