forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu,psi
2000-03-31,mango_rmse_random,medium,1999Q4,164,1.555928517217999,30.368293212133278,48.39253456485485,"[4.303144162723819, 23.871785171090092, 43.510970339893554, 42.05391540128039, 184.70394311706715, 5.761049401122731, 1.4979898055212602]"
2000-06-30,mango_rmse_random,medium,2000Q1,183,1.555928517217999,30.368293212133278,48.39253456485485,"[4.303144162723819, 23.871785171090092, 43.510970339893554, 42.05391540128039, 184.70394311706715, 5.761049401122731, 1.4979898055212602]"
2000-09-30,mango_rmse_random,medium,2000Q2,184,1.555928517217999,30.368293212133278,48.39253456485485,"[4.303144162723819, 23.871785171090092, 43.510970339893554, 42.05391540128039, 184.70394311706715, 5.761049401122731, 1.4979898055212602]"
2000-12-31,mango_rmse_random,medium,2000Q3,185,1.555928517217999,30.368293212133278,48.39253456485485,"[4.303144162723819, 23.871785171090092, 43.510970339893554, 42.05391540128039, 184.70394311706715, 5.761049401122731, 1.4979898055212602]"
2001-03-31,mango_rmse_random,medium,2000Q4,186,1.555928517217999,30.368293212133278,48.39253456485485,"[4.303144162723819, 23.871785171090092, 43.510970339893554, 42.05391540128039, 184.70394311706715, 5.761049401122731, 1.4979898055212602]"
2001-06-30,mango_rmse_random,medium,2001Q1,187,1.555928517217999,30.368293212133278,48.39253456485485,"[4.303144162723819, 23.871785171090092, 43.510970339893554, 42.05391540128039, 184.70394311706715, 5.761049401122731, 1.4979898055212602]"
2001-09-30,mango_rmse_random,medium,2001Q2,188,1.555928517217999,30.368293212133278,48.39253456485485,"[4.303144162723819, 23.871785171090092, 43.510970339893554, 42.05391540128039, 184.70394311706715, 5.761049401122731, 1.4979898055212602]"
2001-12-31,mango_rmse_random,medium,2001Q3,189,1.555928517217999,30.368293212133278,48.39253456485485,"[4.303144162723819, 23.871785171090092, 43.510970339893554, 42.05391540128039, 184.70394311706715, 5.761049401122731, 1.4979898055212602]"
2002-03-31,mango_rmse_random,medium,2001Q4,190,1.555928517217999,30.368293212133278,48.39253456485485,"[4.303144162723819, 23.871785171090092, 43.510970339893554, 42.05391540128039, 184.70394311706715, 5.761049401122731, 1.4979898055212602]"
2002-06-30,mango_rmse_random,medium,2002Q1,191,1.555928517217999,30.368293212133278,48.39253456485485,"[4.303144162723819, 23.871785171090092, 43.510970339893554, 42.05391540128039, 184.70394311706715, 5.761049401122731, 1.4979898055212602]"
2002-09-30,mango_rmse_random,medium,2002Q2,192,1.555928517217999,30.368293212133278,48.39253456485485,"[4.303144162723819, 23.871785171090092, 43.510970339893554, 42.05391540128039, 184.70394311706715, 5.761049401122731, 1.4979898055212602]"
2002-12-31,mango_rmse_random,medium,2002Q3,193,1.555928517217999,30.368293212133278,48.39253456485485,"[4.303144162723819, 23.871785171090092, 43.510970339893554, 42.05391540128039, 184.70394311706715, 5.761049401122731, 1.4979898055212602]"
2003-03-31,mango_rmse_random,medium,2002Q4,194,1.555928517217999,30.368293212133278,48.39253456485485,"[4.303144162723819, 23.871785171090092, 43.510970339893554, 42.05391540128039, 184.70394311706715, 5.761049401122731, 1.4979898055212602]"
2003-06-30,mango_rmse_random,medium,2003Q1,195,1.555928517217999,30.368293212133278,48.39253456485485,"[4.303144162723819, 23.871785171090092, 43.510970339893554, 42.05391540128039, 184.70394311706715, 5.761049401122731, 1.4979898055212602]"
2003-09-30,mango_rmse_random,medium,2003Q2,196,1.555928517217999,30.368293212133278,48.39253456485485,"[4.303144162723819, 23.871785171090092, 43.510970339893554, 42.05391540128039, 184.70394311706715, 5.761049401122731, 1.4979898055212602]"
2003-12-31,mango_rmse_random,medium,2003Q3,197,1.555928517217999,30.368293212133278,48.39253456485485,"[4.303144162723819, 23.871785171090092, 43.510970339893554, 42.05391540128039, 184.70394311706715, 5.761049401122731, 1.4979898055212602]"
