strategy,model_size,forecast_origin,target_quarter,horizon_quarters,variable,mean,actual,error,p05,p16,median,p84,p95
mango_rmse_random,medium,2000-03-31,2000Q1,1,CONS,872.6605754634996,905.3176373327199,-32.65706186922023,871.5411610432742,871.9686020939095,872.6669061570893,873.3359669146128,873.7573224748933
mango_rmse_random,medium,2000-03-31,2000Q2,2,CONS,873.7784323978219,906.2470675410377,-32.468635143215806,872.0927944021995,872.7879567393713,873.8076458187827,874.7688511928594,875.4045164575425
mango_rmse_random,medium,2000-03-31,2000Q3,3,CONS,874.767985064217,907.2005920251266,-32.43260696090965,872.4813914313257,873.4400689938153,874.7559868534586,876.1193667560689,876.9540079187839
mango_rmse_random,medium,2000-03-31,2000Q4,4,CONS,875.683453575957,908.0704809313119,-32.38702735535492,872.7801752293148,873.9719437279726,875.6853330523727,877.4489718800592,878.5210441731907
mango_rmse_random,medium,2000-03-31,2001Q1,5,CONS,876.5990865013487,908.4325119413213,-31.833425439972643,873.041977442009,874.4074340265538,876.5908344311324,878.7690854567359,880.1515803961089
mango_rmse_random,medium,2000-03-31,2001Q2,6,CONS,877.4027090999954,908.6332175148394,-31.230508414844053,872.8930726959638,874.7792810996707,877.3974244702953,880.0086628065891,881.9041305593051
mango_rmse_random,medium,2000-03-31,2001Q3,7,CONS,878.176095486024,908.9805866997402,-30.804491213716233,872.9027025870538,875.0895825492686,878.2074987453688,881.3840605948685,883.5040322890196
mango_rmse_random,medium,2000-03-31,2001Q4,8,CONS,878.9605160608993,910.5812176510452,-31.620701590145927,872.8651000049874,875.3274025748852,878.869648015458,882.7607010835924,885.0875206710764
mango_rmse_random,medium,2000-03-31,2000Q1,1,DEFL,466.0923410137473,434.80173185711334,31.290609156633934,465.6496974230816,465.82679258211795,466.09889016077636,466.35531328859366,466.53222498677786
mango_rmse_random,medium,2000-03-31,2000Q2,2,DEFL,466.643715854325,435.4231401429961,31.220575711328934,465.8352829509921,466.1568541955504,466.62898455820016,467.1576293003055,467.48880968844713
mango_rmse_random,medium,2000-03-31,2000Q3,3,DEFL,467.28640411916047,436.0074949806811,31.278909138479378,466.07417048000235,466.5570601746873,467.27141525619743,468.0435647184538,468.4918855073334
mango_rmse_random,medium,2000-03-31,2000Q4,4,DEFL,468.0104174351148,436.5490666033782,31.46135083173658,466.35604183481047,467.0013367927255,467.9998813937203,469.049706782059,469.65928462086475
mango_rmse_random,medium,2000-03-31,2001Q1,5,DEFL,468.76645393214153,437.2026802595548,31.563773672586706,466.59661526974304,467.43485571981955,468.7553399343776,470.1311020493136,470.9446716644114
mango_rmse_random,medium,2000-03-31,2001Q2,6,DEFL,469.5775889951587,437.8056263169986,31.771962678160094,466.8283473875178,467.87975902670644,469.5858618401754,471.2465851312458,472.3038704244063
mango_rmse_random,medium,2000-03-31,2001Q3,7,DEFL,470.4360355154964,438.197663342384,32.23837217311245,467.08217327335666,468.37023516636236,470.4409138925162,472.4502199816435,473.76181461310097
mango_rmse_random,medium,2000-03-31,2001Q4,8,DEFL,471.3287497346967,438.50844547731197,32.82030425738475,467.4036088295631,468.88065286528206,471.35452440839526,473.7201829551525,475.31568327796487
mango_rmse_random,medium,2000-03-31,2000Q1,1,FFR,5.352692185092036,5.676666666666667,-0.3239744815746306,3.955378394361505,4.48347247549348,5.3338833538052635,6.24231424590765,6.751704155247235
mango_rmse_random,medium,2000-03-31,2000Q2,2,FFR,5.568108222799074,6.273333333333333,-0.7052251105342595,3.2753643810397066,4.205269743490479,5.534590126063438,7.0153244510275,7.961674924235862
mango_rmse_random,medium,2000-03-31,2000Q3,3,FFR,5.833237895592271,6.52,-0.6867621044077286,2.860665575187922,4.0651638992847285,5.739313049710491,7.737128861723215,8.811856198649922
mango_rmse_random,medium,2000-03-31,2000Q4,4,FFR,6.067544653776085,6.473333333333334,-0.40578867955724895,2.4469027013051123,3.962324527686209,6.0745883585696205,8.273293704424898,9.665310418954672
mango_rmse_random,medium,2000-03-31,2001Q1,5,FFR,6.3151521671595665,5.593333333333334,0.7218188338262328,2.2649884106018248,3.885591756439906,6.299025043929374,8.795453300313802,10.353780448588237
mango_rmse_random,medium,2000-03-31,2001Q2,6,FFR,6.513733942122821,4.326666666666667,2.1870672754561538,2.1464231155599873,3.9233433976390186,6.442226883089504,9.14687855872912,10.998562925160451
mango_rmse_random,medium,2000-03-31,2001Q3,7,FFR,6.624328895009151,3.4966666666666666,3.127662228342484,1.8767379061462426,3.817263547747903,6.560854899743136,9.546346237944793,11.446178009674487
mango_rmse_random,medium,2000-03-31,2001Q4,8,FFR,6.711841545082089,2.1333333333333333,4.5785082117487566,1.5852815738213,3.8079462585185584,6.715223179724335,9.785371182342196,11.641389863845218
mango_rmse_random,medium,2000-03-31,2000Q1,1,GDP,911.8908176605727,946.771157645587,-34.8803399850143,910.4679665562334,911.0543802773507,911.8861971780468,912.7402544791303,913.291978207597
mango_rmse_random,medium,2000-03-31,2000Q2,2,GDP,912.9314319964059,948.5753664798251,-35.64393448341923,910.7637950513823,911.569421930846,912.9003290595562,914.2815527935876,915.1969680838711
mango_rmse_random,medium,2000-03-31,2000Q3,3,GDP,913.8414534245768,948.6750908667843,-34.83363744220753,910.9910131745436,912.0710961623006,913.8726492376267,915.6122068005486,916.7206814364616
mango_rmse_random,medium,2000-03-31,2000Q4,4,GDP,914.6588121920943,949.2676932603196,-34.60888106822529,911.2009130141814,912.5801262154292,914.6646403419693,916.7551862574402,918.091141238004
mango_rmse_random,medium,2000-03-31,2001Q1,5,GDP,915.4488696740264,948.9429455219695,-33.49407584794312,911.1382615347582,912.9266702536962,915.4162346340042,917.9788707477517,919.5643055916589
mango_rmse_random,medium,2000-03-31,2001Q2,6,GDP,916.1232613028446,949.5624120747524,-33.43915077190775,911.226058568123,913.3127482130153,916.1096851162549,919.0129221150734,920.876044186453
mango_rmse_random,medium,2000-03-31,2001Q3,7,GDP,916.7284574502096,949.1612595166631,-32.43280206645352,911.2708832361482,913.485148821019,916.679179543579,920.0265433389692,922.1612436820518
mango_rmse_random,medium,2000-03-31,2001Q4,8,GDP,917.3039854698129,949.4381900682963,-32.13420459848339,911.2374761903549,913.6166799658645,917.2731866033779,921.0429090692033,923.4813741204745
mango_rmse_random,medium,2000-03-31,2000Q1,1,HOURS,479.1845343219317,464.62929352770965,14.555240794222073,477.86688374604984,478.3684129455307,479.16447318073773,479.99832921472546,480.52795063988106
mango_rmse_random,medium,2000-03-31,2000Q2,2,HOURS,479.89323096433844,464.9158362858808,14.977394678457642,477.7548603298812,478.5640872985958,479.88783607130654,481.1869786443479,482.0276155152102
mango_rmse_random,medium,2000-03-31,2000Q3,3,HOURS,480.5489878378006,464.8794649920018,15.669522845798838,477.6751869454345,478.7755703285338,480.56284279984504,482.24800262097983,483.342240558788
mango_rmse_random,medium,2000-03-31,2000Q4,4,HOURS,481.06590349421805,464.5390399474456,16.52686354677246,477.55103561306856,479.02173729372316,481.1042660384962,483.1214883592057,484.3817312778143
mango_rmse_random,medium,2000-03-31,2001Q1,5,HOURS,481.4386463168892,464.48138865926427,16.95725765762495,477.2666360244205,478.99337252175644,481.483827156752,483.7457679892482,485.28774917526664
mango_rmse_random,medium,2000-03-31,2001Q2,6,HOURS,481.74895008000607,463.52240113165556,18.226548948350512,477.11542780570807,479.01846619536985,481.82409284841845,484.3921229905271,486.05436511450864
mango_rmse_random,medium,2000-03-31,2001Q3,7,HOURS,482.0111752539867,462.2744843004602,19.736690953526534,476.9694584969746,478.9879334384647,482.0781312004933,485.0665485550585,486.94098053248763
mango_rmse_random,medium,2000-03-31,2001Q4,8,HOURS,482.187937969074,461.1539856495769,21.033952319497132,476.7052438544623,478.8720953908276,482.2049733437921,485.5199390527569,487.55098570627314
mango_rmse_random,medium,2000-03-31,2000Q1,1,INV,744.5259195494139,772.1840069847244,-27.658087435310563,736.8276299289421,739.9836081035683,744.5853093620249,748.9672262156495,752.070084589791
