strategy,model_size,forecast_origin,target_quarter,horizon_quarters,variable,mean,actual,error,p05,p16,median,p84,p95
paper,medium,2000-03-31,2000Q1,1,CONS,872.5952053090225,905.3176373327199,-32.722432023697365,871.602307785211,871.9815177312821,872.5816392563272,873.2080260246812,873.6001359771776
paper,medium,2000-03-31,2000Q2,2,CONS,873.6627424282913,906.2470675410377,-32.584325112746455,872.2102103885805,872.7522466153995,873.6622769787061,874.5335899452662,875.1569540560008
paper,medium,2000-03-31,2000Q3,3,CONS,874.6702930873017,907.2005920251266,-32.53029893782491,872.7547326040183,873.4395464815315,874.6533872329308,875.8641386615701,876.6289127821848
paper,medium,2000-03-31,2000Q4,4,CONS,875.6564005359903,908.0704809313119,-32.41408039532155,873.2103048175627,874.129766610149,875.6698348465076,877.0892589266621,878.0952456993554
paper,medium,2000-03-31,2001Q1,5,CONS,876.6134426359941,908.4325119413213,-31.81906930532716,873.6362349759036,874.7660555910178,876.555963769129,878.4075829640966,879.5854130251722
paper,medium,2000-03-31,2001Q2,6,CONS,877.5766038164079,908.6332175148394,-31.056613698431534,874.1202838989802,875.463364290171,877.5746029588743,879.7005347315007,880.9257709316547
paper,medium,2000-03-31,2001Q3,7,CONS,878.4838960664016,908.9805866997402,-30.49669063333863,874.6106451811245,876.0788762913724,878.4459757782868,880.8896253817186,882.3678982466572
paper,medium,2000-03-31,2001Q4,8,CONS,879.4002800630448,910.5812176510452,-31.18093758800046,874.9802485834898,876.7642756036518,879.4038454749742,882.0198772227989,883.7232706041968
paper,medium,2000-03-31,2000Q1,1,DEFL,466.0120468240193,434.80173185711334,31.21031496690597,465.57593016595433,465.7631571269362,466.0152931511076,466.27270937725905,466.44802191531636
paper,medium,2000-03-31,2000Q2,2,DEFL,466.4413449828741,435.4231401429961,31.018204839878024,465.6438010300787,465.97518717676206,466.4462138190214,466.90545415453585,467.223682602305
paper,medium,2000-03-31,2000Q3,3,DEFL,466.9067431765706,436.0074949806811,30.899248195889527,465.730421315797,466.21085547226056,466.9111862473145,467.6112339631351,468.0514893021252
paper,medium,2000-03-31,2000Q4,4,DEFL,467.4031145349787,436.5490666033782,30.85404793160052,465.76999853544913,466.46637257832265,467.4201003790107,468.33470842034427,468.9645020761594
paper,medium,2000-03-31,2001Q1,5,DEFL,467.90548241562544,437.2026802595548,30.702802156070618,465.76391245990027,466.674472999153,467.9352768344428,469.1690982057125,469.9092577714839
paper,medium,2000-03-31,2001Q2,6,DEFL,468.42814807421445,437.8056263169986,30.62252175721585,465.7463282521666,466.8845696097648,468.4571336140673,470.0169213952319,470.9257801481569
paper,medium,2000-03-31,2001Q3,7,DEFL,468.97326795241713,438.197663342384,30.775604610033156,465.70916375882126,467.08417101458315,469.00231371212965,470.8519051994812,472.1009617021787
paper,medium,2000-03-31,2001Q4,8,DEFL,469.52154026844113,438.50844547731197,31.013094791129163,465.5988772097097,467.2874122397468,469.5349010388347,471.7396557128812,473.24025001693474
paper,medium,2000-03-31,2000Q1,1,FFR,5.199841066989459,5.676666666666667,-0.47682559967720817,3.638438610725619,4.277938838613403,5.2223461585687225,6.121667257962359,6.685712951128473
paper,medium,2000-03-31,2000Q2,2,FFR,5.130186934087346,6.273333333333333,-1.1431463992459872,2.855310778984157,3.737915034981556,5.109435149004477,6.539936465696539,7.448115948188881
paper,medium,2000-03-31,2000Q3,3,FFR,5.151688093122925,6.52,-1.3683119068770742,2.3371122892217158,3.4042393387162573,5.126328888420531,6.922937924457202,8.06887504656729
paper,medium,2000-03-31,2000Q4,4,FFR,5.182672812074373,6.473333333333334,-1.2906605212589604,1.8654095898844285,3.1978521559588793,5.210877207882948,7.11296767174979,8.535698820285543
paper,medium,2000-03-31,2001Q1,5,FFR,5.2510453750950115,5.593333333333334,-0.34228795823832225,1.553971702279361,2.973491668950951,5.2847421208201,7.454097195609635,8.939586775497899
paper,medium,2000-03-31,2001Q2,6,FFR,5.320955741301192,4.326666666666667,0.9942890746345245,1.3729789236082033,2.9003256137299553,5.325126273870646,7.775479211795923,9.295516863695685
paper,medium,2000-03-31,2001Q3,7,FFR,5.347359547751395,3.4966666666666666,1.8506928810847287,1.2525659999166696,2.6983808461687797,5.370317266208367,7.933689321686904,9.612874687735884
paper,medium,2000-03-31,2001Q4,8,FFR,5.362274442735569,2.1333333333333333,3.228941109402236,0.8334043167913028,2.6704850184597833,5.353089106091161,8.06047250873584,9.918922947823283
paper,medium,2000-03-31,2000Q1,1,GDP,911.9692259890372,946.771157645587,-34.801931656549755,910.7309806947964,911.1858079683982,911.9872143590455,912.7103573685075,913.229254859376
paper,medium,2000-03-31,2000Q2,2,GDP,913.0660499015573,948.5753664798251,-35.50931657826777,911.1510542723888,911.8760200013547,913.0823727571328,914.2412223394617,914.9460975266238
paper,medium,2000-03-31,2000Q3,3,GDP,914.0773641319305,948.6750908667843,-34.597726734853836,911.5146273536677,912.5435931291371,914.0997479688904,915.5946693448711,916.5643740384423
paper,medium,2000-03-31,2000Q4,4,GDP,915.1249527060652,949.2676932603196,-34.142740554254374,912.0361306568029,913.2735207634022,915.070293249852,917.0135223568101,918.1979660695782
paper,medium,2000-03-31,2001Q1,5,GDP,916.0950215896729,948.9429455219695,-32.84792393229657,912.5290146134829,913.9376123156021,916.0359031183625,918.2669167287285,919.8062091531765
paper,medium,2000-03-31,2001Q2,6,GDP,917.0717580021283,949.5624120747524,-32.490654072624125,912.9886909256799,914.6074106354343,917.0159149923165,919.5795299032357,921.4935035997305
paper,medium,2000-03-31,2001Q3,7,GDP,917.9855739021282,949.1612595166631,-31.175685614534927,913.3108553307227,915.2259946474056,917.9261256051809,920.7604258535911,922.8374669477698
paper,medium,2000-03-31,2001Q4,8,GDP,918.9100692807049,949.4381900682963,-30.528120787591433,913.8716589392178,915.732857829018,918.845380838442,921.963184054219,924.1510854183168
paper,medium,2000-03-31,2000Q1,1,HOURS,479.1263842571559,464.62929352770965,14.497090729446256,478.11353740304105,478.5203053010831,479.1229131914544,479.72276991065456,480.11359559639135
paper,medium,2000-03-31,2000Q2,2,HOURS,479.81503546389547,464.9158362858808,14.899199178014669,478.0351954608348,478.7686847483379,479.81551675470985,480.8368518607954,481.5823901062712
paper,medium,2000-03-31,2000Q3,3,HOURS,480.4905161840513,464.8794649920018,15.611051192049501,478.0928446949784,479.07997768789687,480.4818947132338,481.95694651205685,482.92632938468125
paper,medium,2000-03-31,2000Q4,4,HOURS,481.1339819609317,464.5390399474456,16.594942013486104,478.1201790855334,479.3452762664228,481.15950283724374,482.9093160569904,484.113590086569
paper,medium,2000-03-31,2001Q1,5,HOURS,481.726135790548,464.48138865926427,17.24474713128376,478.172140649998,479.5285447288638,481.7358932896482,483.86440139174914,485.2478114169728
paper,medium,2000-03-31,2001Q2,6,HOURS,482.30150950987746,463.52240113165556,18.779108378221906,478.21266802417796,479.8421805472358,482.3113812945001,484.7435833329087,486.3937738890434
paper,medium,2000-03-31,2001Q3,7,HOURS,482.8391480554934,462.2744843004602,20.564663755033223,478.2881627258857,480.12830720834296,482.7884779922729,485.58381631856565,487.38345776984625
paper,medium,2000-03-31,2001Q4,8,HOURS,483.3620394853552,461.1539856495769,22.208053835778287,478.464081444784,480.4182201534699,483.3798848690509,486.34741703422037,488.4950069560567
paper,medium,2000-03-31,2000Q1,1,INV,745.4662434597109,772.1840069847244,-26.717763525013538,739.1071880455268,741.5564900599392,745.5519153344984,749.1033479729142,751.7685509901266
paper,medium,2000-03-31,2000Q2,2,INV,747.3466313103914,777.9355292465062,-30.58889793611479,737.7640968190942,741.7199284028328,747.5489582448292,752.8744724446777,756.6001937136531
paper,medium,2000-03-31,2000Q3,3,INV,749.0765140624094,776.94943611584,-27.872922053430557,736.7479162192762,742.0939859583419,749.1264606805862,756.3318987252576,761.472566200941
paper,medium,2000-03-31,2000Q4,4,INV,751.1656439293417,777.1408234109886,-25.97517948164682,737.3717517881714,742.4635862333351,750.9767568293728,759.5272258430732,765.5577241950507
paper,medium,2000-03-31,2001Q1,5,INV,752.7367162508616,772.4977657957813,-19.76104954491973,736.9172035755518,743.0758806540879,752.7312814334003,762.3879597537156,768.7869626827238
paper,medium,2000-03-31,2001Q2,6,INV,754.2561268720217,772.6403633592433,-18.384236487221642,735.8918940133935,743.0202064157171,754.673525138327,764.9872825273902,772.3840812380801
paper,medium,2000-03-31,2001Q3,7,INV,755.7034890514302,770.4527970950121,-14.749308043581891,735.5499425153699,743.6432605153831,755.8716814684694,767.2075108195992,775.6540209591769
paper,medium,2000-03-31,2001Q4,8,INV,757.160724577128,765.3732073186615,-8.21248274153345,734.6234355682668,743.9191457804784,757.4372946126185,770.066070113988,779.1485560883002
paper,medium,2000-03-31,2000Q1,1,WAGE,468.35055063542467,452.8882917815972,15.46225885382745,467.50696496003985,467.85168861890094,468.3558430390499,468.8659726875247,469.20191611363134
paper,medium,2000-03-31,2000Q2,2,WAGE,468.7629729877278,452.3580448948137,16.404928092914076,467.4505892420278,467.9778422345459,468.78201909894085,469.5713369572369,470.04309466702574
paper,medium,2000-03-31,2000Q3,3,WAGE,469.1419623729373,453.3781589900438,15.763803382893514,467.4131932267274,468.05300756033614,469.1474144746983,470.1780450477893,470.8991621514176
paper,medium,2000-03-31,2000Q4,4,WAGE,469.4971354663437,453.23951712056794,16.257618345775768,467.3727758345278,468.23314278273693,469.47505111124815,470.75858504699573,471.61697687596677
paper,medium,2000-03-31,2001Q1,5,WAGE,469.83960436029645,454.5048562646711,15.334748095625343,467.3187519658745,468.32317837715874,469.81386404003285,471.35529650110493,472.4150546898496
paper,medium,2000-03-31,2001Q2,6,WAGE,470.165874567108,454.1708418276762,15.995032739431792,467.3806161388037,468.47158067160586,470.1015265572084,471.8810825258877,473.0257940349051
paper,medium,2000-03-31,2001Q3,7,WAGE,470.4873335858252,454.0471652049154,16.440168380909768,467.2618162771291,468.6127169746492,470.42404117400906,472.42433161774545,473.72160678803203
paper,medium,2000-03-31,2001Q4,8,WAGE,470.8127773170728,455.048166063729,15.764611253343787,467.298748078815,468.68850215549463,470.77005648592205,472.98220255173163,474.3759625646309
paper,medium,2000-06-30,2000Q2,1,CONS,874.5047512544229,906.2470675410377,-31.742316286614823,873.4719748020023,873.8769109600584,874.4969599400501,875.1393620021595,875.5163536784926
paper,medium,2000-06-30,2000Q3,2,CONS,875.5534431267848,907.2005920251266,-31.64714889834181,873.9845192460865,874.5772081819074,875.5395649879548,876.5428425125127,877.1773027021999
paper,medium,2000-06-30,2000Q4,3,CONS,876.5802231485178,908.0704809313119,-31.49025778279406,874.4763939001829,875.2679792316123,876.5666519724598,877.8586180290667,878.7766719349228
paper,medium,2000-06-30,2001Q1,4,CONS,877.5031113693311,908.4325119413213,-30.929400571990186,874.873535895151,875.8594387748428,877.5076386741362,879.0683562879827,880.2691919713475
paper,medium,2000-06-30,2001Q2,5,CONS,878.4013008986269,908.6332175148394,-30.231916616212516,875.1800733272634,876.4500391471333,878.3807728254214,880.273895881123,881.7644921303298
paper,medium,2000-06-30,2001Q3,6,CONS,879.2786065170151,908.9805866997402,-29.70198018272515,875.6201919163577,877.0216401769806,879.3290005082375,881.4631851856568,882.9868052357031
paper,medium,2000-06-30,2001Q4,7,CONS,880.1420240836675,910.5812176510452,-30.439193567377743,876.0226400069871,877.6990219972597,880.1684521008928,882.6043578764285,884.209883478012
paper,medium,2000-06-30,2002Q1,8,CONS,881.0243779462783,910.8036070224157,-29.779229076137426,876.4709328752444,878.3374854738702,881.0137687173237,883.6777436443608,885.4988176479035
paper,medium,2000-06-30,2000Q2,1,DEFL,466.95210393866927,435.4231401429961,31.528963795673178,466.4824865565174,466.6599477228244,466.9522102198119,467.2355371469264,467.43191887968555
paper,medium,2000-06-30,2000Q3,2,DEFL,467.59289823172935,436.0074949806811,31.585403251048263,466.7617285717475,467.09765684545664,467.5855934750366,468.08286447300327,468.40642699973034
paper,medium,2000-06-30,2000Q4,3,DEFL,468.2756710658664,436.5490666033782,31.726604462488183,467.05846126163965,467.56397521883633,468.2614923260535,469.00299686123134,469.5044862040108
paper,medium,2000-06-30,2001Q1,4,DEFL,468.99156464801274,437.2026802595548,31.788884388457916,467.32219883224377,468.0067383605528,468.9891459332794,469.9940918240125,470.62904241170946
paper,medium,2000-06-30,2001Q2,5,DEFL,469.7138774227962,437.8056263169986,31.908251105797603,467.4901533587212,468.40267835536275,469.7210560016277,471.0399492374176,471.93902791567757
paper,medium,2000-06-30,2001Q3,6,DEFL,470.4632604685371,438.197663342384,32.265597126153125,467.6403325890554,468.78748559710533,470.48286935922823,472.09700575699594,473.2442241271183
paper,medium,2000-06-30,2001Q4,7,DEFL,471.22009019599045,438.50844547731197,32.711644718678485,467.82084726052216,469.2150075433387,471.203269632352,473.2630029654542,474.551740578187
paper,medium,2000-06-30,2002Q1,8,DEFL,471.9906437318549,438.83068726310324,33.15995646875166,468.0370116978132,469.6201708196342,471.94835570846396,474.44352381088737,475.95291073720705
paper,medium,2000-06-30,2000Q2,1,FFR,5.901279560762891,6.273333333333333,-0.3720537725704425,4.4162883663533385,4.999163287559622,5.927326165752829,6.784900766161094,7.330100509049309
paper,medium,2000-06-30,2000Q3,2,FFR,6.021159347236721,6.52,-0.4988406527632785,3.902738347822726,4.7206260539221825,5.98841338380673,7.363498588512212,8.263977436504668
paper,medium,2000-06-30,2000Q4,3,FFR,6.169461967291235,6.473333333333334,-0.30387136604209886,3.541680633093154,4.533054085144542,6.1708883633043525,7.74005170753992,8.830419446656286
paper,medium,2000-06-30,2001Q1,4,FFR,6.2308186466876565,5.593333333333334,0.6374853133543228,3.1375083184337766,4.38103858481689,6.260308199952561,8.072751279749403,9.1995728815167
paper,medium,2000-06-30,2001Q2,5,FFR,6.292598741597436,4.326666666666667,1.9659320749307687,2.694147831711835,4.140233567076749,6.30970761746444,8.423875416095434,9.763782441448944
paper,medium,2000-06-30,2001Q3,6,FFR,6.330738282370813,3.4966666666666666,2.8340716157041466,2.365905200254569,4.013850886085036,6.33498355870733,8.653913903593859,10.114009057946307
paper,medium,2000-06-30,2001Q4,7,FFR,6.291101003274048,2.1333333333333333,4.157767669940714,2.172307752406074,3.7892685020176593,6.3767066966645825,8.707351976155483,10.23093898190545
paper,medium,2000-06-30,2002Q1,8,FFR,6.285320803599728,1.7333333333333334,4.551987470266394,1.9120092600193348,3.6464127910643134,6.3824916694874405,8.798592704986712,10.515623596255894
paper,medium,2000-06-30,2000Q2,1,GDP,913.5864051078719,948.5753664798251,-34.98896137195322,912.2277910048906,912.7930120539946,913.6031514107724,914.3902683826485,914.9016661795796
paper,medium,2000-06-30,2000Q3,2,GDP,914.7231349484128,948.6750908667843,-33.95195591837148,912.6060443485836,913.4849062492818,914.7216386782189,915.9600345073626,916.8551505386185
paper,medium,2000-06-30,2000Q4,3,GDP,915.7411286103365,949.2676932603196,-33.526564649983015,913.0331756349749,914.1366468249417,915.7097451977409,917.4026793082876,918.5547097864271
paper,medium,2000-06-30,2001Q1,4,GDP,916.6757673872941,948.9429455219695,-32.26717813467542,913.3490877259765,914.6909448135406,916.6683649916569,918.701199289089,920.2131457435856
paper,medium,2000-06-30,2001Q2,5,GDP,917.5271622807585,949.5624120747524,-32.0352497939939,913.5950338112174,915.1154912517248,917.5184995028244,919.8619397982407,921.5712199611595
paper,medium,2000-06-30,2001Q3,6,GDP,918.3846194186044,949.1612595166631,-30.776640098058692,913.8829335878543,915.7378175594282,918.3062360705198,921.1173154422091,922.9908271452637
paper,medium,2000-06-30,2001Q4,7,GDP,919.2058663072733,949.4381900682963,-30.232323761023054,914.3626812109035,916.2844860319747,919.0996349137765,922.1397576576938,924.3081445398959
paper,medium,2000-06-30,2002Q1,8,GDP,920.0576011660546,950.2630063031164,-30.205405137061803,914.8947744789272,916.9678852629442,920.0027830444062,923.1460400701627,925.4755583737312
paper,medium,2000-06-30,2000Q2,1,HOURS,480.2770011881516,464.9158362858808,15.361164902270787,479.19856808411106,479.6104551182617,480.2680405354886,480.93151471548225,481.3748188252067
paper,medium,2000-06-30,2000Q3,2,HOURS,481.0955675134825,464.8794649920018,16.216102521480707,479.20350793183616,479.9132019329069,481.1059727474791,482.2397739478009,483.06146114873087
paper,medium,2000-06-30,2000Q4,3,HOURS,481.79968421590615,464.5390399474456,17.260644268460567,479.21392179393956,480.1945714716878,481.7768446665447,483.3840017107872,484.52883114844764
paper,medium,2000-06-30,2001Q1,4,HOURS,482.4384446012601,464.48138865926427,17.957055941995804,479.15095572754393,480.3670552530848,482.40653624249387,484.53296686975176,485.8849208834947
paper,medium,2000-06-30,2001Q2,5,HOURS,482.95960676819175,463.52240113165556,19.43720563653619,479.0609879686351,480.5409298917057,482.8873386252477,485.45814224779144,487.1979202813997
paper,medium,2000-06-30,2001Q3,6,HOURS,483.4420720333156,462.2744843004602,21.167587732855395,478.97882125769183,480.67418516372436,483.43669209128836,486.21946929816175,488.1986253452636
paper,medium,2000-06-30,2001Q4,7,HOURS,483.90167720692267,461.1539856495769,22.747691557345775,479.02457174512983,480.9038344282195,483.83126052652295,486.95266273611855,489.1833113775856
paper,medium,2000-06-30,2002Q1,8,HOURS,484.34319010916215,460.304793560699,24.03839654846314,479.278240575495,481.1350457411248,484.2625035368692,487.5769872123402,489.8329390884928
paper,medium,2000-06-30,2000Q2,1,INV,749.4263787075714,777.9355292465062,-28.50915053893482,743.0271416708724,745.5818690316062,749.3537888156391,753.3417870011191,755.7435758493934
paper,medium,2000-06-30,2000Q3,2,INV,751.6455920064562,776.94943611584,-25.303844109383704,741.8882950631685,745.7044810947559,751.5863656094314,757.7742524610625,761.4744092530084
paper,medium,2000-06-30,2000Q4,3,INV,753.4672141900356,777.1408234109886,-23.673609220952926,741.1936312855003,745.8486553336118,753.4617951340635,761.0307071337918,766.0415831365126
paper,medium,2000-06-30,2001Q1,4,INV,755.182775622857,772.4977657957813,-17.314990172924354,740.4637762647407,746.1772258138591,755.0949522908923,764.4098665918583,770.1703552620697
paper,medium,2000-06-30,2001Q2,5,INV,756.223960173538,772.6403633592433,-16.41640318570535,740.1786427167224,745.9900093682243,756.1367778824977,766.481028039737,773.2167665666229
paper,medium,2000-06-30,2001Q3,6,INV,757.4638916364333,770.4527970950121,-12.988905458578756,739.364734271335,746.2202142196605,757.2512882183253,768.6146324499022,776.8531698159361
paper,medium,2000-06-30,2001Q4,7,INV,758.5476855006281,765.3732073186615,-6.825521818033394,738.9854789180971,746.4921331636599,758.4444355316368,770.4283948116299,778.5923981930009
paper,medium,2000-06-30,2002Q1,8,INV,759.6887464603816,768.2808199922722,-8.592073531890605,738.7759372872613,746.904269746274,759.2666070882335,772.6069154045637,781.4670647654801
paper,medium,2000-06-30,2000Q2,1,WAGE,468.54027473115167,452.3580448948137,16.182229836337967,467.66655236210266,468.018675373779,468.5388154882332,469.07081272960266,469.4246808160647
paper,medium,2000-06-30,2000Q3,2,WAGE,468.8253060064522,453.3781589900438,15.447147016408394,467.4993713814071,468.0269795416052,468.83219437894417,469.5853554070236,470.17469406221005
paper,medium,2000-06-30,2000Q4,3,WAGE,469.17393018091764,453.23951712056794,15.934413060349698,467.4463565477975,468.0955516130801,469.1561345239777,470.220938851527,470.9061318789712
paper,medium,2000-06-30,2001Q1,4,WAGE,469.49742378988304,454.5048562646711,14.992567525211939,467.3001511717536,468.1709567008635,469.513458183946,470.8082268511758,471.6345967402787
paper,medium,2000-06-30,2001Q2,5,WAGE,469.82511682371666,454.1708418276762,15.654274996040442,467.2847366374408,468.2372189563806,469.8976779649044,471.3531557783782,472.25196445560687
paper,medium,2000-06-30,2001Q3,6,WAGE,470.14846027297165,454.0471652049154,16.10129506805623,467.1552255377329,468.3814044461328,470.1639171043764,471.9315708913252,472.9900454878935
paper,medium,2000-06-30,2001Q4,7,WAGE,470.4630762806003,455.048166063729,15.414910216871306,467.18414477763605,468.46847092359116,470.5171519304059,472.4172836044791,473.6829400116239
paper,medium,2000-06-30,2002Q1,8,WAGE,470.7794247666259,455.1706116118767,15.608813154749157,467.14230050068255,468.5815600944701,470.84095942249587,472.9745383786291,474.30708488715095
paper,medium,2000-09-30,2000Q3,1,CONS,875.1767465114186,907.2005920251266,-32.02384551370801,874.1597671536946,874.5555521584258,875.1744817536328,875.8033681241147,876.2130972823077
paper,medium,2000-09-30,2000Q4,2,CONS,876.1245617818076,908.0704809313119,-31.94591914950422,874.4987092280883,875.1613103445345,876.1179468105738,877.073074998776,877.7316721478603
paper,medium,2000-09-30,2001Q1,3,CONS,877.0330871721912,908.4325119413213,-31.399424769130064,874.9701281448125,875.7587716664245,877.0051893685179,878.3070314945329,879.2119191765383
paper,medium,2000-09-30,2001Q2,4,CONS,877.969862298164,908.6332175148394,-30.663355216675427,875.3128265734522,876.3453044755844,877.9799478365785,879.5415705833649,880.6789667951281
paper,medium,2000-09-30,2001Q3,5,CONS,878.944064439234,908.9805866997402,-30.036522260506217,875.8081369898872,877.0342927816497,878.9706116898253,880.8284253970137,882.1069823287002
paper,medium,2000-09-30,2001Q4,6,CONS,879.8543048839442,910.5812176510452,-30.726912767101,876.2124153945113,877.6771270120648,879.912039517058,881.9538530191548,883.5494922548703
paper,medium,2000-09-30,2002Q1,7,CONS,880.7483865864558,910.8036070224157,-30.055220435959882,876.7209440754691,878.3061036340799,880.7467070944226,883.1594283253096,884.8006262859847
paper,medium,2000-09-30,2002Q2,8,CONS,881.6557081557924,911.3081614927729,-29.652453336980557,877.1523210064674,879.0458773396304,881.6672810027267,884.310604835244,886.2212717355419
paper,medium,2000-09-30,2000Q3,1,DEFL,467.623603747581,436.0074949806811,31.616108766899913,467.1556533365852,467.34517234817184,467.6144156333391,467.9090721463263,468.12030015735763
paper,medium,2000-09-30,2000Q4,2,DEFL,468.2807924184354,436.5490666033782,31.73172581505719,467.4403192669619,467.78774414662894,468.27457913763055,468.7952593272347,469.1429613689983
paper,medium,2000-09-30,2001Q1,3,DEFL,468.96990785897447,437.2026802595548,31.76722759941964,467.7665126122166,468.2501023184094,468.95743113333504,469.7176094231381,470.2106574438822
paper,medium,2000-09-30,2001Q2,4,DEFL,469.63866139148274,437.8056263169986,31.833035074484144,467.947193338706,468.63801243249435,469.61671878519985,470.6915825551821,471.3037097008346
paper,medium,2000-09-30,2001Q3,5,DEFL,470.315482268398,438.197663342384,32.117818926014024,468.18846639692316,468.9686812951257,470.2730306716554,471.6995416898831,472.50109492128973
paper,medium,2000-09-30,2001Q4,6,DEFL,471.0089283840356,438.50844547731197,32.50048290672362,468.3277161497842,469.3796400885638,470.9198549149936,472.75012945476163,473.7307053698404
paper,medium,2000-09-30,2002Q1,7,DEFL,471.7080922490207,438.83068726310324,32.87740498591745,468.520288951457,469.70665541657104,471.5992015157747,473.81069092658225,475.03497001246325
paper,medium,2000-09-30,2002Q2,8,DEFL,472.42700595521893,439.17665473510937,33.250351220109565,468.63409871961716,470.01999250672094,472.32866050370023,474.8811787677818,476.33120306526894
paper,medium,2000-09-30,2000Q3,1,FFR,6.057904955903055,6.52,-0.46209504409694446,4.589266304910737,5.196082962301708,6.036102414666894,6.960273940239041,7.543172627987304
paper,medium,2000-09-30,2000Q4,2,FFR,5.892705675565757,6.473333333333334,-0.5806276577675762,3.616924517432422,4.549941548228094,5.858955472031004,7.257499019492531,8.206478128827465
paper,medium,2000-09-30,2001Q1,3,FFR,5.809895112506249,5.593333333333334,0.21656177917291508,3.130482532889266,4.139357480689946,5.793029169860877,7.433794799309186,8.558991537848826
paper,medium,2000-09-30,2001Q2,4,FFR,5.799758193329705,4.326666666666667,1.4730915266630378,2.7259852985070645,3.883725357519246,5.781200525371258,7.72445266544228,9.035047526738136
paper,medium,2000-09-30,2001Q3,5,FFR,5.850484393873485,3.4966666666666666,2.353817727206818,2.4197140595675934,3.6869950378126797,5.783974663307571,7.995577597583344,9.36594589049823
paper,medium,2000-09-30,2001Q4,6,FFR,5.880930968829917,2.1333333333333333,3.7475976354965836,2.205971985657234,3.597215159258212,5.870392027304948,8.121268385893641,9.778337715594597
paper,medium,2000-09-30,2002Q1,7,FFR,5.8776870999070105,1.7333333333333334,4.144353766573677,1.9885784109658287,3.481913493737863,5.855101112919786,8.206400572652004,10.07583561687692
paper,medium,2000-09-30,2002Q2,8,FFR,5.8993206231666075,1.75,4.1493206231666075,1.7095179674140975,3.3762369726749846,5.857280244245896,8.467254662029033,10.232262715259706
paper,medium,2000-09-30,2000Q3,1,GDP,914.8646932719923,948.6750908667843,-33.81039759479199,913.4527896545366,914.0184626580825,914.8867897195679,915.7334633458464,916.1933510891425
paper,medium,2000-09-30,2000Q4,2,GDP,915.7382745555351,949.2676932603196,-33.52941870478446,913.5668795056853,914.4481813322803,915.7614996400994,917.0149462053967,917.8736184719924
paper,medium,2000-09-30,2001Q1,3,GDP,916.6276852831622,948.9429455219695,-32.31526023880724,913.8712032226501,914.8984041263477,916.6263925999783,918.3042154278544,919.47646982019
paper,medium,2000-09-30,2001Q2,4,GDP,917.5309156592058,949.5624120747524,-32.0314964155466,914.2079759863896,915.4836138797816,917.5683776663702,919.595508983408,920.9459085584024
paper,medium,2000-09-30,2001Q3,5,GDP,918.4758052437833,949.1612595166631,-30.685454272879838,914.5659197525385,916.0775352204638,918.4979094757198,920.8286730373056,922.470760361405
paper,medium,2000-09-30,2001Q4,6,GDP,919.3772716207765,949.4381900682963,-30.06091844751984,914.9693903994246,916.717505435309,919.2774826091397,922.0657606500777,924.0409150133423
