forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu,psi
2000-03-31,paper,medium,1999Q4,164,0.6465828583592712,0.6617575571044287,0.2092260196351867,"[2.094830463360558, 0.4554462568859095, 6.537929578916629, 1.841188830702805, 82.77804552299449, 1.9854142008792668, 3.1295024411041585]"
2000-06-30,paper,medium,2000Q1,183,0.5933328484712762,0.6204317005703609,0.08516986777974427,"[2.36339724577884, 0.5708054000880649, 5.6172656882413525, 2.0258252084560024, 83.99787034183004, 2.3643543058359118, 3.4757774413865]"
2000-09-30,paper,medium,2000Q2,184,0.5987493532390298,0.6238307981561154,0.0850355974092193,"[2.3411224658716776, 0.5798406210207959, 5.6042476908330645, 1.9850792010512246, 83.77925270217254, 2.2661749286370467, 3.45740790287234]"
2000-12-31,paper,medium,2000Q3,185,0.599594588161985,0.6248497415960056,0.08394967263229293,"[2.342321915405159, 0.5792550446306532, 5.6300973349108725, 1.991687974733443, 83.9264991288886, 2.232469825395319, 3.43908283670212]"
2001-03-31,paper,medium,2000Q4,186,0.5932838171338828,0.6322282400911863,0.08295600854962949,"[2.3309679499906206, 0.5662476920864157, 5.573610402826931, 1.9987668866023414, 82.72928429945414, 2.2441406819061585, 3.446913187732844]"
2001-06-30,paper,medium,2001Q1,187,0.5932468972789824,0.6341424331701984,0.0844656680548917,"[2.3234024344352786, 0.56454615589201, 5.494404038496386, 1.9796460463448113, 83.08314437981677, 2.289934756044944, 3.377294485448769]"
2001-09-30,paper,medium,2001Q2,188,0.588341540192839,0.6420447754030759,0.08322325594161803,"[2.3507489229595175, 0.5579105422556733, 5.452419583873374, 1.9322201702645363, 82.1922528708592, 2.293998811468195, 3.434211651032948]"
2001-12-31,paper,medium,2001Q3,189,0.587323684989568,0.638958737698883,0.08155587245508082,"[2.337687507126238, 0.5563112215728555, 5.509115928653986, 1.910156213554595, 81.79011017028208, 2.298265464522818, 3.41643681025825]"
2002-03-31,paper,medium,2001Q4,190,0.58767486933241,0.6445840320277972,0.08114853961580736,"[2.334408469850761, 0.5552834955244044, 5.5860380033701045, 1.8899103204790062, 81.87153515022239, 2.284848555573452, 3.399893124993864]"
2002-06-30,paper,medium,2002Q1,191,0.5862928526577157,0.6506504903098748,0.0808305254288274,"[2.3560133826441416, 0.5568757479515677, 5.561014098758819, 1.923410833581143, 81.18294740716019, 2.325396095026747, 3.5464955208533704]"
2002-09-30,paper,medium,2002Q2,192,0.565880865443537,0.6562348801875449,0.08038594225192862,"[2.3038803840988153, 0.5374337385069786, 5.305722667887759, 1.956735517206987, 80.53196120599564, 2.34337339362131, 4.562432268874029]"
2002-12-31,paper,medium,2002Q3,193,0.5639021825287737,0.660899257402235,0.08036871657442762,"[2.2953972082861833, 0.5312150503894464, 5.280215270393217, 1.9404901411535902, 80.34686959861135, 2.357156596095775, 4.542967622294605]"
2003-03-31,paper,medium,2002Q4,194,0.5647604195573672,0.6556253546210343,0.0798064938825153,"[2.279765370918808, 0.5327298892653686, 5.227232601514388, 1.9236903207552276, 79.86583216992308, 2.342279342207704, 4.547626361924394]"
2003-06-30,paper,medium,2003Q1,195,0.5627476336982722,0.654281274790394,0.07852040440641525,"[2.269306324340864, 0.5299930540864818, 5.1582000236040955, 1.9143470562093379, 79.8230349129079, 2.3681424398077926, 4.608589263132262]"
2003-09-30,paper,medium,2003Q2,196,0.5504732643557072,0.6777671982685591,0.07760536059403995,"[2.2319471415718932, 0.5139424335360097, 4.704997709579445, 1.8655379189465253, 80.32589370864746, 2.474543919009094, 4.639318783417837]"
2003-12-31,paper,medium,2003Q3,197,0.5571521190304375,0.703831675096611,0.07609469515554282,"[2.2529067758385812, 0.5207982044591962, 4.610325504921146, 1.9162792745228008, 81.75237741375368, 2.388788689126529, 4.653343807882712]"
2004-03-31,paper,medium,2003Q4,198,0.5580714820857918,0.6782634948408832,0.07269409040650726,"[2.244289159160427, 0.517381200719363, 4.575536595104704, 1.9373326348492863, 83.0684507842743, 2.378243368868999, 4.623932836102406]"
2004-06-30,paper,medium,2004Q1,199,0.558502498771487,0.6804837840944442,0.07248004132235857,"[2.224952887950407, 0.5180665364348555, 4.535616366260579, 1.9197891174433968, 82.75913372370758, 2.362377167834652, 4.646461955418635]"
2004-09-30,paper,medium,2004Q2,200,0.5425808307611517,0.6791260697309209,0.07252307934638988,"[2.230698495856348, 0.49705561306863505, 4.407115182179016, 1.9145239763682331, 81.16756767795741, 2.6162515807664524, 4.886083384210211]"
2004-12-31,paper,medium,2004Q3,201,0.5417073699239008,0.6789899865502848,0.07361665704317351,"[2.2266269490492965, 0.49673319232898616, 4.348769288544067, 1.9044925475422365, 80.50120325197247, 2.614886856829138, 4.848436431669687]"
2005-03-31,paper,medium,2004Q4,202,0.541191801432198,0.6792361776462983,0.0738598335187271,"[2.2237749233141493, 0.4924516668472536, 4.317112215650575, 1.9065025253532433, 80.15826338536345, 2.62691665886818, 4.826195247457483]"
2005-06-30,paper,medium,2005Q1,203,0.5465704085327693,0.686738456285573,0.07647527256481902,"[2.1890058763101763, 0.4979317386300191, 4.400793414791064, 1.8902383189786185, 79.28055573079897, 2.682414484957451, 4.858819427079671]"
2005-09-30,paper,medium,2005Q2,204,0.546794247110467,0.6794210646096045,0.07518638708799093,"[2.17815629918974, 0.508752823407072, 4.397809841823704, 1.8804645029252296, 78.85758899096682, 2.648994820189345, 4.888036744967601]"
2005-12-31,paper,medium,2005Q3,205,0.5474188406217522,0.6848798514518867,0.07541974750616305,"[2.1715190181592368, 0.5043637247537497, 4.3867010761678635, 1.8734455416157219, 78.85808354087953, 2.515869445938691, 5.043643820595794]"
2006-03-31,paper,medium,2005Q4,206,0.5478714022028306,0.677301548089897,0.07618713382480122,"[2.1742304021756476, 0.5015382356456772, 4.374440204889958, 1.8557362519476932, 79.18601510340011, 2.5048099047907124, 4.969979716808335]"
2006-06-30,paper,medium,2006Q1,207,0.5455415208016523,0.6834786151629187,0.07695650232092549,"[2.1745134848135415, 0.4946747324733945, 4.386152553364491, 1.8515604028667105, 78.85966082955545, 2.4923978446295036, 5.096583657239515]"
2006-09-30,paper,medium,2006Q2,208,0.5446394902738052,0.6788980241193765,0.07339564737521227,"[2.1748963085611472, 0.4792499653793704, 4.295950568464195, 1.8721633682428631, 78.32758982265493, 2.496872679969915, 5.4036808787960995]"
2006-12-31,paper,medium,2006Q3,209,0.5396808256447505,0.6731743074245563,0.07448202549227874,"[2.1755286880114473, 0.4774955478082438, 4.3103873309967025, 1.8775481315250626, 77.95599622614735, 2.4775251094685267, 5.7844991213589045]"
2007-03-31,paper,medium,2006Q4,210,0.5409459210267621,0.6720726585241972,0.07325037394231959,"[2.1814851311467227, 0.4769757079343739, 4.350491632220895, 1.8713405994692618, 78.95715781243244, 2.5340604480202438, 6.259560455204677]"
2007-06-30,paper,medium,2007Q1,211,0.5394322237615421,0.6768859778481724,0.07409927952920069,"[2.175078767753748, 0.47717484057858534, 4.333416838881038, 1.8740423239989943, 78.87661505592328, 2.5404192189946886, 6.589398766081282]"
2007-09-30,paper,medium,2007Q2,212,0.5406392140373877,0.664127698006105,0.07409568422539123,"[2.183286871115415, 0.4748798019864633, 4.281400119967956, 1.834908688567771, 79.15077625025117, 2.5257871485766783, 6.255080840248842]"
2007-12-31,paper,medium,2007Q3,213,0.5429350510629074,0.6662555166963282,0.07441801111298825,"[2.1793301871167583, 0.4757834560939157, 4.273997599328274, 1.832668659247889, 78.47078243624914, 2.53270531927035, 6.312334089027499]"
2008-03-31,paper,medium,2007Q4,214,0.5422851967726936,0.6703398023009194,0.07478728497749197,"[2.181036644881456, 0.4726452258290246, 4.217926561054025, 1.8205687597122246, 77.90623908595214, 2.5109496808397673, 6.362549629208297]"
2008-06-30,paper,medium,2008Q1,215,0.5429814324262084,0.6721742885310846,0.07426365033661754,"[2.177998049545589, 0.4719404855209643, 4.227812990289153, 1.8045339552467194, 77.74639778360597, 2.4907848727622603, 6.211310815620889]"
2008-09-30,paper,medium,2008Q2,216,0.5486785151274413,0.6633450928070626,0.07398923042565995,"[2.2185262968170227, 0.4693081597406214, 4.367165213343685, 1.8215701816342535, 77.99008497983355, 2.4516919888353037, 5.7282162714116005]"
2008-12-31,paper,medium,2008Q3,217,0.5516741371604722,0.6549175562609005,0.07332160010298723,"[2.2322463173529363, 0.47986844257955213, 4.813490229311767, 1.8253287651409353, 76.79814913293555, 2.448667684971906, 5.708283611046614]"
2009-03-31,paper,medium,2008Q4,218,0.5578976408731902,0.6442737252302267,0.07354375606596211,"[2.2312618271951585, 0.4868007583466468, 5.206450812603633, 1.848335597144119, 77.35656515759503, 2.451843943659271, 6.546159114427917]"
2009-06-30,paper,medium,2009Q1,219,0.5639734197533754,0.6643875272069937,0.0743321897398136,"[2.2593181692277073, 0.4906541178350209, 5.539191312225487, 1.7311017164249876, 80.76291451679296, 2.474682188143478, 6.3303142324562565]"
2009-09-30,paper,medium,2009Q2,220,0.5478479111126567,0.6578427728580021,0.07517023396571804,"[2.2249525675960915, 0.4666334764171929, 5.731319245999668, 1.6707677977513165, 80.5902947086999, 2.4694498468148023, 6.644265616443983]"
2009-12-31,paper,medium,2009Q3,221,0.5425357003175373,0.6625731675001634,0.07646965035658687,"[2.216609815357461, 0.4619143577930546, 5.9400222625814, 1.6752848666072366, 81.85227313920637, 2.4475965487527085, 6.648757205913907]"
2010-03-31,paper,medium,2009Q4,222,0.5482743262932488,0.6588183158408668,0.07777807489364838,"[2.2365713470660795, 0.4674651227119494, 6.150983178390479, 1.6716005250030503, 83.40904109586539, 2.406278126098835, 7.014326238030898]"
2010-06-30,paper,medium,2010Q1,223,0.5490244347911705,0.6545307982580253,0.07789407119485083,"[2.2342919004371975, 0.4658483349785783, 6.138532802106809, 1.6739675967396555, 83.52026038934515, 2.386876208809298, 7.273265517471309]"
2010-09-30,paper,medium,2010Q2,224,0.5545788793464103,0.6013134910355201,0.07754510591407554,"[2.245818244042099, 0.5108120174590209, 5.978036329864077, 1.7161206952961605, 80.71327655549764, 2.268279709808209, 6.939327282227059]"
2010-12-31,paper,medium,2010Q3,225,0.555690561564304,0.6009359079675278,0.07731291297098976,"[2.2323403300608096, 0.5111592540672857, 5.965055654090414, 1.7036846330312714, 80.72140268752541, 2.2558262599492527, 6.958094296351622]"
2011-03-31,paper,medium,2010Q4,226,0.5530733983884769,0.6136649082329416,0.0772565815378635,"[2.261204501836, 0.503455901250238, 5.9216275737605, 1.7024427236377397, 82.73352935680556, 2.2528898542119746, 6.989699676283793]"
2011-06-30,paper,medium,2011Q1,227,0.5546656170521503,0.6043725173156455,0.0750354019474656,"[2.2608566113886703, 0.5024255472177507, 5.895628141303014, 1.7030381868752933, 82.85399230428483, 2.245603098973698, 7.063909485456107]"
2011-09-30,paper,medium,2011Q2,228,0.5545159061583533,0.5746504421192693,0.07382819800680036,"[2.207978804855767, 0.4679029350841972, 6.042014170603484, 1.6412060346427044, 81.49830325423618, 2.2490736715046116, 6.946790517411333]"
2011-12-31,paper,medium,2011Q3,229,0.5566158097171576,0.5712238525210339,0.07098871497625227,"[2.1897870930098957, 0.4682035126995889, 6.027671398866701, 1.633362898827716, 81.23979586202553, 2.2431033061281562, 7.062842369346954]"
2012-03-31,paper,medium,2011Q4,230,0.5574965718173832,0.5431408872069637,0.07157322005686469,"[2.2083302905900215, 0.4761972889505864, 6.0097413939898825, 1.6436110570374458, 81.56036854352135, 2.2703344039213826, 6.971727411448814]"
2012-06-30,paper,medium,2012Q1,231,0.5609304450993595,0.5295241723040267,0.06956228545172048,"[2.1940291538367154, 0.47424762369325973, 6.004744473811678, 1.6456662626137368, 81.25922867897978, 2.2727463302512523, 6.960207140206377]"
2012-09-30,paper,medium,2012Q2,232,0.5664949217411628,0.5347364599302642,0.06968559550091973,"[2.250453724186285, 0.5104244835993094, 5.963874482629045, 1.6618652797351667, 81.44189990042602, 2.3263227517587612, 6.950524598717393]"
2012-12-31,paper,medium,2012Q3,233,0.5663580674640225,0.5360429506821758,0.06883671531157137,"[2.2438224394021735, 0.5086652919680319, 5.941358246023785, 1.6521955122281347, 81.50047283964145, 2.326977625578028, 6.893391538522775]"
2013-03-31,paper,medium,2012Q4,234,0.566308388265555,0.5109977554250629,0.06870608391667898,"[2.255810028913491, 0.5156185472438387, 5.913846497682999, 1.6496222926806763, 81.19354565937509, 2.359306266720423, 6.912595043015638]"
