strategy,model_size,forecast_origin,target_quarter,horizon_quarters,variable,mean,actual,error,p05,p16,median,p84,p95
paper,small,2000-03-31,2000Q1,1,DEFL,466.0200351583029,434.80173185711334,31.218303301189565,465.5743678877447,465.7630204934665,466.02436792901244,466.2904576023911,466.45972128676726
paper,small,2000-03-31,2000Q2,2,DEFL,466.4651148721824,435.4231401429961,31.041974729186336,465.67744433674056,465.9911519795197,466.454635339137,466.9679813674226,467.22926939751954
paper,small,2000-03-31,2000Q3,3,DEFL,466.9531449176054,436.0074949806811,30.945649936924326,465.7844506418525,466.2361404824041,466.97022795942837,467.67485925667586,468.1107406282361
paper,small,2000-03-31,2000Q4,4,DEFL,467.47199401505407,436.5490666033782,30.922927411675857,465.83326376422497,466.4929513941323,467.50056543581616,468.44980605255927,469.0742407041375
paper,small,2000-03-31,2001Q1,5,DEFL,467.97964497411357,437.2026802595548,30.776964714558744,465.8020512088298,466.72354896951805,468.0321952840745,469.2697444232881,470.0389447834053
paper,small,2000-03-31,2001Q2,6,DEFL,468.4997059258196,437.8056263169986,30.694079608821028,465.7320007178087,466.8947407773588,468.52153241061444,470.11985125332404,471.0961046301225
paper,small,2000-03-31,2001Q3,7,DEFL,469.02654785245477,438.197663342384,30.828884510070793,465.6791125270546,467.1090147606323,469.060126752874,470.99120153937525,472.20317538740613
paper,small,2000-03-31,2001Q4,8,DEFL,469.55908500061196,438.50844547731197,31.050639523299992,465.67049200908724,467.24366240457846,469.59974155288097,471.9051550565334,473.33145221021806
paper,small,2000-03-31,2000Q1,1,FFR,5.422081189074339,5.676666666666667,-0.25458547759232797,3.901781282508494,4.50543164107277,5.4461345730499,6.341679077074412,6.986490831553308
paper,small,2000-03-31,2000Q2,2,FFR,5.62873990509455,6.273333333333333,-0.6445934282387835,3.222758461255698,4.254187919098092,5.6629818022941345,6.997122662379263,7.8515727829025925
