forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu,psi
2000-03-31,paper,small,1999Q4,164,0.8408511481935682,0.8079818768711695,0.2873253296266052,"[5.006021992602535, 0.32154139625817074, 3.7884770893745627]"
2000-06-30,paper,small,2000Q1,183,0.8375056528030186,0.7299653168435367,0.11620833145806002,"[5.610265339001082, 0.4149368658524533, 3.426839840010523]"
2000-09-30,paper,small,2000Q2,184,0.8406418046015047,0.7338833568488604,0.11607973623713069,"[5.587961300581846, 0.41486555429342975, 3.395238453863444]"
2000-12-31,paper,small,2000Q3,185,0.8411349973101381,0.7336053900837157,0.11676320311777295,"[5.591824391593199, 0.4121482625947021, 3.377354142475361]"
2001-03-31,paper,small,2000Q4,186,0.8440595513244908,0.7312346098518794,0.11701190626685834,"[5.591121601344043, 0.4074028707755001, 3.353333211407197]"
2001-06-30,paper,small,2001Q1,187,0.8496062474746083,0.7355207348692782,0.11691318025242253,"[5.554027318605055, 0.40491572719497776, 3.343275361666964]"
2001-09-30,paper,small,2001Q2,188,0.8456845481743741,0.7317997724460963,0.11733660763322697,"[5.632895468898459, 0.40246500520887896, 3.3060206477684497]"
2001-12-31,paper,small,2001Q3,189,0.8423843135854304,0.7269206228628302,0.11671210316825412,"[5.620672954496545, 0.405014248839852, 3.2980309049544685]"
2002-03-31,paper,small,2001Q4,190,0.8459614483578748,0.724504931207584,0.11593259681329551,"[5.596570632208332, 0.40464665091834756, 3.3311526407616188]"
2002-06-30,paper,small,2002Q1,191,0.8437358239492478,0.7323355159497077,0.11647087447987421,"[5.573317988035719, 0.40349709658695687, 3.3202608252469794]"
2002-09-30,paper,small,2002Q2,192,0.8466485255828372,0.7064534397842559,0.11544367412865701,"[5.497273296370108, 0.4026423653961426, 3.343349654469001]"
2002-12-31,paper,small,2002Q3,193,0.8466618287985804,0.7047014875338538,0.11542173584442338,"[5.466286558373918, 0.40137451722159395, 3.3211341690856657]"
2003-03-31,paper,small,2002Q4,194,0.8446625196249943,0.7027784199238011,0.11366604562899367,"[5.415285567389926, 0.40414690485269966, 3.3185853304397557]"
2003-06-30,paper,small,2003Q1,195,0.84688482629411,0.7016308005334514,0.11191994137405986,"[5.391855423502765, 0.4030049976624747, 3.300544803715633]"
2003-09-30,paper,small,2003Q2,196,0.8477312549143456,0.6983172272434196,0.11196391438389533,"[5.358106825334138, 0.40299243492228726, 3.280442093675931]"
2003-12-31,paper,small,2003Q3,197,0.8501678520374164,0.717891863410866,0.1078091628548111,"[5.618767682501147, 0.3836977804486377, 3.2443733538005866]"
2004-03-31,paper,small,2003Q4,198,0.8513953720826495,0.7195289393038489,0.10651209590728167,"[5.6072940502505375, 0.38047412454490537, 3.216013794483155]"
2004-06-30,paper,small,2004Q1,199,0.8504164162620618,0.7228302392620501,0.10423996761433645,"[5.629635284929419, 0.3760243033471814, 3.19635376976768]"
2004-09-30,paper,small,2004Q2,200,0.8526971070545581,0.7237548024390841,0.10178143232504966,"[5.578637898549171, 0.3747444369581913, 3.20097556614544]"
2004-12-31,paper,small,2004Q3,201,0.8511395848853621,0.7225104696770785,0.10174257166108756,"[5.5792064178027765, 0.3746024847038944, 3.16922160706302]"
2005-03-31,paper,small,2004Q4,202,0.8522991251164117,0.722140187878245,0.1025546862631552,"[5.55895130827424, 0.3720434594098405, 3.146024447141251]"
2005-06-30,paper,small,2005Q1,203,0.8508252680441131,0.7221234091388572,0.1040665823870561,"[5.52989938570064, 0.37190872595554714, 3.122320862806865]"
2005-09-30,paper,small,2005Q2,204,0.8426842202185043,0.7152552248911164,0.10395862292666558,"[5.535245621333431, 0.38108849725799565, 3.098902316586727]"
2005-12-31,paper,small,2005Q3,205,0.842310287525582,0.7182122042618326,0.10468751490232105,"[5.514718983230977, 0.37960449618051834, 3.0768258241174475]"
2006-03-31,paper,small,2005Q4,206,0.8446969707523709,0.7151061604030737,0.10530697358436249,"[5.496886613114162, 0.37848177175653896, 3.0450447909318905]"
2006-06-30,paper,small,2006Q1,207,0.8429210449823505,0.7190778414931972,0.10649219903666304,"[5.4877016644930965, 0.3757153630755403, 3.0427858588364254]"
2006-09-30,paper,small,2006Q2,208,0.8450594059827693,0.7137279106182015,0.1069825583551186,"[5.4751587359616956, 0.3697807894717413, 3.0266070710709028]"
2006-12-31,paper,small,2006Q3,209,0.8460988343882391,0.7087409696608883,0.108298898499653,"[5.437203963103069, 0.37428523868282065, 3.017344654548089]"
2007-03-31,paper,small,2006Q4,210,0.8458143205117077,0.706851947783118,0.10929053049766341,"[5.41057843952452, 0.3744595771870357, 3.0096990255951424]"
2007-06-30,paper,small,2007Q1,211,0.8484304957905555,0.7076026908866672,0.10900240450456303,"[5.3829401698606825, 0.37745482567214644, 2.982488056327755]"
2007-09-30,paper,small,2007Q2,212,0.849618679129183,0.7021899256780233,0.10983064543406408,"[5.354113957266734, 0.37704504250519383, 2.953134573482648]"
2007-12-31,paper,small,2007Q3,213,0.8520543762021004,0.7041624562892832,0.11044042081992117,"[5.322635352012301, 0.3777177140120635, 2.958996589259345]"
2008-03-31,paper,small,2007Q4,214,0.8524068070952764,0.7046649397294689,0.11042871643243546,"[5.323289073037673, 0.3751063138199168, 2.933074884442241]"
2008-06-30,paper,small,2008Q1,215,0.8570954005440742,0.7075668149632237,0.10934295650627014,"[5.333707755972508, 0.36692786217580187, 2.945484149549857]"
2008-09-30,paper,small,2008Q2,216,0.8566522605405638,0.7063054131457033,0.10904973175282309,"[5.332029314057156, 0.3702504667570173, 2.9044637152345127]"
2008-12-31,paper,small,2008Q3,217,0.8515982758078952,0.7052588458492514,0.1084742252911384,"[5.291450970130055, 0.37971326576378717, 2.9285619691920184]"
2009-03-31,paper,small,2008Q4,218,0.8385454818907793,0.6843055965080391,0.10644287532867505,"[5.380198413342614, 0.388742432356121, 3.1120246215828167]"
2009-06-30,paper,small,2009Q1,219,0.8432386548585439,0.6563709040444885,0.10860879682624203,"[5.381071165115623, 0.3887840544635973, 3.196377012806958]"
2009-09-30,paper,small,2009Q2,220,0.8307874369182539,0.6098365290072604,0.11412810895090356,"[5.290603135117164, 0.4029297190732511, 3.1835951109609573]"
2009-12-31,paper,small,2009Q3,221,0.821011573971532,0.601604166983558,0.11656579572844197,"[5.264692306076497, 0.4037565748205286, 3.1924497804898273]"
2010-03-31,paper,small,2009Q4,222,0.8157350225331272,0.6161187278167018,0.11662816786885967,"[5.271831900523493, 0.40323535310747416, 3.1719274578266017]"
2010-06-30,paper,small,2010Q1,223,0.8124221360924455,0.6167015867936896,0.11612383328586064,"[5.309993914817387, 0.39851842078581723, 3.13504041904581]"
2010-09-30,paper,small,2010Q2,224,0.8173213109327758,0.6020808934871871,0.1164599916522669,"[5.429593436513313, 0.4035720605829935, 3.1652101115236304]"
2010-12-31,paper,small,2010Q3,225,0.8178008344312475,0.6036173931705759,0.11530453484626146,"[5.410562744810565, 0.40301940757423543, 3.141498347887082]"
2011-03-31,paper,small,2010Q4,226,0.8198341186947822,0.602845002873699,0.11543706319233027,"[5.4087269845183386, 0.40054097312662895, 3.1233728161192875]"
2011-06-30,paper,small,2011Q1,227,0.8206431128264502,0.6041005872797418,0.11442343996009263,"[5.385365781248511, 0.4007374010547895, 3.096805564006444]"
2011-09-30,paper,small,2011Q2,228,0.8173666720867547,0.5855667125327592,0.11344528581490629,"[5.437334882142088, 0.3781250568701247, 3.108189565051076]"
2011-12-31,paper,small,2011Q3,229,0.8184523389085367,0.5863620836993455,0.11258777888211911,"[5.410414000316149, 0.3775296436278725, 3.0851474077164895]"
2012-03-31,paper,small,2011Q4,230,0.8193652167170907,0.5852354910182564,0.11262320399500966,"[5.388141315711556, 0.37861996924746194, 3.0754698466161865]"
2012-06-30,paper,small,2012Q1,231,0.8206921211259592,0.585446547860186,0.11251527819009582,"[5.370301957257239, 0.37684545693966154, 3.0526462262939926]"
2012-09-30,paper,small,2012Q2,232,0.8137542124245898,0.5859276702720027,0.1135203333471411,"[5.37592999213045, 0.3839863595756977, 2.983118247755033]"
2012-12-31,paper,small,2012Q3,233,0.8172499374083472,0.5893738692779237,0.11210737281658259,"[5.371775199473639, 0.3805496095867215, 2.9676906078918464]"
2013-03-31,paper,small,2012Q4,234,0.8194197114126262,0.5848815542659394,0.11330556836027156,"[5.378354486044273, 0.3791323058345455, 2.950122991012649]"
2013-06-30,paper,small,2013Q1,235,0.8203739160964963,0.5840836019700878,0.11383776145263902,"[5.3533986742254775, 0.37823342430063334, 2.9327493284366946]"
