model,model_size,variable,horizon_quarters,optimization_horizon,rmse,n,baseline_rmse,relative_rmse_pct
mango_mdd,small,DEFL,1,,20.267370504399814,80,20.27358025142505,-0.03062975038559458
mango_mdd,small,DEFL,2,,20.265278978424742,80,20.275385450708985,-0.049846018014364946
mango_mdd,small,DEFL,3,,20.27412700185194,80,20.290086129962518,-0.07865480712282394
mango_mdd,small,DEFL,4,,20.29899269496467,80,20.321689161132173,-0.11168592328885997
mango_mdd,small,DEFL,5,,20.341101412012545,80,20.37311810788816,-0.15715167264071875
mango_mdd,small,DEFL,6,,20.40529610750965,80,20.44792922529141,-0.20849601596346498
mango_mdd,small,DEFL,7,,20.486452089783192,80,20.542781316619223,-0.27420448072657055
mango_mdd,small,DEFL,8,,20.58302704133141,80,20.65584664017488,-0.3525374685046237
mango_mdd,small,FFR,1,,0.3915123824014775,80,0.384011455669943,1.9533080643254426
mango_mdd,small,FFR,2,,0.7691501632538552,80,0.7465228768822912,3.0310238402957546
mango_mdd,small,FFR,3,,1.112582921667329,80,1.0716737968984424,3.8173112832732072
mango_mdd,small,FFR,4,,1.4190727570154453,80,1.3632751243714705,4.092910641914632
mango_mdd,small,FFR,5,,1.6942312406088262,80,1.631437150478811,3.849004548632829
mango_mdd,small,FFR,6,,1.9483790039874949,80,1.8778269111574983,3.7571137366706497
mango_mdd,small,FFR,7,,2.1641624803720583,80,2.091352155237531,3.481495211228915
mango_mdd,small,FFR,8,,2.341449787090988,80,2.2743575163747543,2.949943895504006
mango_mdd,small,GDP,1,,22.915135973710214,80,22.916916840203548,-0.007770968956041602
mango_mdd,small,GDP,2,,22.59759612117839,80,22.58953882725789,0.035668253265882695
mango_mdd,small,GDP,3,,22.296800579973223,80,22.270142769657326,0.11970201804102085
mango_mdd,small,GDP,4,,21.98070728182614,80,21.92841718665125,0.23845813735577873
mango_mdd,small,GDP,5,,21.69568825872522,80,21.60984326229062,0.39724950983054547
mango_mdd,small,GDP,6,,21.438564648225555,80,21.32403609572203,0.5370866565288828
mango_mdd,small,GDP,7,,21.198086317215523,80,21.048561771304062,0.7103789205935735
mango_mdd,small,GDP,8,,20.96884993595077,80,20.789897050423242,0.8607685025736391
mango_rmse,small,DEFL,1,h1q,20.338097095442784,80,20.27358025142505,0.3182311324276338
mango_rmse,small,DEFL,1,h2q,20.345132334181418,80,20.27358025142505,0.352932643711709
mango_rmse,small,DEFL,1,h4q,20.374719893599934,80,20.27358025142505,0.4988741057109357
mango_rmse,small,DEFL,1,h8q,20.338528351898987,80,20.27358025142505,0.3203583169251646
mango_rmse,small,DEFL,2,h1q,20.404537830380164,80,20.275385450708985,0.6369909957330214
mango_rmse,small,DEFL,2,h2q,20.420349604156765,80,20.275385450708985,0.7149760669171964
mango_rmse,small,DEFL,2,h4q,20.47966637829147,80,20.275385450708985,1.0075316598991766
mango_rmse,small,DEFL,2,h8q,20.406229837838122,80,20.275385450708985,0.6453361266409958
mango_rmse,small,DEFL,3,h1q,20.484285040079623,80,20.290086129962518,0.957112300427007
mango_rmse,small,DEFL,3,h2q,20.5094257115944,80,20.290086129962518,1.0810184847267927
mango_rmse,small,DEFL,3,h4q,20.597630559192158,80,20.290086129962518,1.5157374259515204
mango_rmse,small,DEFL,3,h8q,20.48458775743734,80,20.290086129962518,0.9586042475571322
mango_rmse,small,DEFL,4,h1q,20.5783276113403,80,20.321689161132173,1.2628795183964303
mango_rmse,small,DEFL,4,h2q,20.61599506157059,80,20.321689161132173,1.4482354203178858
mango_rmse,small,DEFL,4,h4q,20.73439195276631,80,20.321689161132173,2.0308488549440185
mango_rmse,small,DEFL,4,h8q,20.58217736303481,80,20.321689161132173,1.2818235720328433
mango_rmse,small,DEFL,5,h1q,20.690924419980544,80,20.37311810788816,1.5599296602974746
mango_rmse,small,DEFL,5,h2q,20.739094823329125,80,20.37311810788816,1.79637065618966
mango_rmse,small,DEFL,5,h4q,20.88636456732067,80,20.37311810788816,2.5192337113766956
mango_rmse,small,DEFL,5,h8q,20.699846010789013,80,20.37311810788816,1.6037206537095992
mango_rmse,small,DEFL,6,h1q,20.824549649847743,80,20.44792922529141,1.8418511743013182
mango_rmse,small,DEFL,6,h2q,20.88420214616468,80,20.44792922529141,2.1335799633620387
mango_rmse,small,DEFL,6,h4q,21.06124445927854,80,20.44792922529141,2.9994002191113784
mango_rmse,small,DEFL,6,h8q,20.842021441885763,80,20.44792922529141,1.9272964624061366
mango_rmse,small,DEFL,7,h1q,20.975916404546815,80,20.542781316619223,2.1084539685830355
mango_rmse,small,DEFL,7,h2q,21.042876087955992,80,20.542781316619223,2.4344063426902665
mango_rmse,small,DEFL,7,h4q,21.252548760259327,80,20.542781316619223,3.4550698500883996
mango_rmse,small,DEFL,7,h8q,21.003996300450392,80,20.542781316619223,2.2451438134039035
mango_rmse,small,DEFL,8,h1q,21.143515065381845,80,20.65584664017488,2.360921988346236
mango_rmse,small,DEFL,8,h2q,21.2188461906412,80,20.65584664017488,2.7256183698193657
mango_rmse,small,DEFL,8,h4q,21.457425063807268,80,20.65584664017488,3.8806369818477817
mango_rmse,small,DEFL,8,h8q,21.183471712931944,80,20.65584664017488,2.554361880915852
mango_rmse,small,FFR,1,h1q,0.388429487364582,80,0.384011455669943,1.150494765040627
mango_rmse,small,FFR,1,h2q,0.38669637194977474,80,0.384011455669943,0.6991760897204666
mango_rmse,small,FFR,1,h4q,0.37611459994842633,80,0.384011455669943,-2.0564114963028577
mango_rmse,small,FFR,1,h8q,0.4253510306571814,80,0.384011455669943,10.765193167250112
mango_rmse,small,FFR,2,h1q,0.7904495064132404,80,0.7465228768822912,5.884163887167163
mango_rmse,small,FFR,2,h2q,0.7797547536100412,80,0.7465228768822912,4.45155503693825
mango_rmse,small,FFR,2,h4q,0.771845647546276,80,0.7465228768822912,3.3920957345259763
mango_rmse,small,FFR,2,h8q,0.8212435974725318,80,0.7465228768822912,10.00916688612374
mango_rmse,small,FFR,3,h1q,1.180244900305019,80,1.0716737968984424,10.130984234269318
mango_rmse,small,FFR,3,h2q,1.1832751108726192,80,1.0716737968984424,10.4137391711139
mango_rmse,small,FFR,3,h4q,1.1709932752136487,80,1.0716737968984424,9.26769681246749
mango_rmse,small,FFR,3,h8q,1.2015812858021855,80,1.0716737968984424,12.121924533352546
mango_rmse,small,FFR,4,h1q,1.551892610832247,80,1.3632751243714705,13.83561418299461
mango_rmse,small,FFR,4,h2q,1.5596219973171082,80,1.3632751243714705,14.402586054385917
mango_rmse,small,FFR,4,h4q,1.5417348848022578,80,1.3632751243714705,13.090516891303588
mango_rmse,small,FFR,4,h8q,1.5645654475802724,80,1.3632751243714705,14.765201800451363
mango_rmse,small,FFR,5,h1q,1.9004769500991234,80,1.631437150478811,16.49096929914535
mango_rmse,small,FFR,5,h2q,1.8998198252957554,80,1.631437150478811,16.45069040742248
mango_rmse,small,FFR,5,h4q,1.8919895313865793,80,1.631437150478811,15.970727455317462
mango_rmse,small,FFR,5,h8q,1.9008713555479035,80,1.631437150478811,16.515144637353405
mango_rmse,small,FFR,6,h1q,2.2143656750368232,80,1.8778269111574983,17.921713757519928
mango_rmse,small,FFR,6,h2q,2.201179640841607,80,1.8778269111574983,17.219517292187124
mango_rmse,small,FFR,6,h4q,2.204225086000473,80,1.8778269111574983,17.381696518652078
mango_rmse,small,FFR,6,h8q,2.191562695796078,80,1.8778269111574983,16.707385690047005
mango_rmse,small,FFR,7,h1q,2.480742630379461,80,2.091352155237531,18.619077335529074
mango_rmse,small,FFR,7,h2q,2.457616313607871,80,2.091352155237531,17.513270419478477
mango_rmse,small,FFR,7,h4q,2.467400143575393,80,2.091352155237531,17.981093590388245
mango_rmse,small,FFR,7,h8q,2.4356504134959485,80,2.091352155237531,16.46294993390594
mango_rmse,small,FFR,8,h1q,2.7033786450682507,80,2.2743575163747543,18.86339881063822
mango_rmse,small,FFR,8,h2q,2.6699269184270853,80,2.2743575163747543,17.39257786888557
mango_rmse,small,FFR,8,h4q,2.691463687303419,80,2.2743575163747543,18.33951645357486
mango_rmse,small,FFR,8,h8q,2.6503327154484624,80,2.2743575163747543,16.53105091731573
mango_rmse,small,GDP,1,h1q,22.92288170536736,80,22.916916840203548,0.026028218391695133
mango_rmse,small,GDP,1,h2q,22.911907696431363,80,22.916916840203548,-0.02185784330026897
mango_rmse,small,GDP,1,h4q,22.917444864223654,80,22.916916840203548,0.0023040796621457667
mango_rmse,small,GDP,1,h8q,22.931958914173215,80,22.916916840203548,0.06563742441687655
mango_rmse,small,GDP,2,h1q,22.595974432123878,80,22.58953882725789,0.028489314966548
mango_rmse,small,GDP,2,h2q,22.584971386872844,80,22.58953882725789,-0.020219272380780886
mango_rmse,small,GDP,2,h4q,22.595342978115035,80,22.58953882725789,0.025693976763001832
mango_rmse,small,GDP,2,h8q,22.621227633768886,80,22.58953882725789,0.14028089175843683
mango_rmse,small,GDP,3,h1q,22.29165515390796,80,22.270142769657326,0.09659742406296846
mango_rmse,small,GDP,3,h2q,22.283525188730554,80,22.270142769657326,0.06009130346241421
mango_rmse,small,GDP,3,h4q,22.30156564620284,80,22.270142769657326,0.1410986757944174
mango_rmse,small,GDP,3,h8q,22.32397219696458,80,22.270142769657326,0.24171119091609364
mango_rmse,small,GDP,4,h1q,21.967092826252024,80,21.92841718665125,0.17637223549504047
mango_rmse,small,GDP,4,h2q,21.971716227759234,80,21.92841718665125,0.1974562994648953
mango_rmse,small,GDP,4,h4q,21.999463418901232,80,21.92841718665125,0.32399161163913126
mango_rmse,small,GDP,4,h8q,22.014124182882224,80,21.92841718665125,0.3908489860506146
mango_rmse,small,GDP,5,h1q,21.667330722787153,80,21.60984326229062,0.2660244213656459
mango_rmse,small,GDP,5,h2q,21.680498482420685,80,21.60984326229062,0.32695850345827304
mango_rmse,small,GDP,5,h4q,21.723000329766105,80,21.60984326229062,0.5236366876984443
mango_rmse,small,GDP,5,h8q,21.732176212775286,80,21.60984326229062,0.566098277529562
mango_rmse,small,GDP,6,h1q,21.410065381826424,80,21.32403609572203,0.40343810017116866
mango_rmse,small,GDP,6,h2q,21.428886107629786,80,21.32403609572203,0.4916987170585031
mango_rmse,small,GDP,6,h4q,21.483357435206234,80,21.32403609572203,0.7471443903444114
mango_rmse,small,GDP,6,h8q,21.486047332005686,80,21.32403609572203,0.7597587790435202
mango_rmse,small,GDP,7,h1q,21.16207512244536,80,21.048561771304062,0.5392926717494388
mango_rmse,small,GDP,7,h2q,21.186193440632298,80,21.048561771304062,0.6538768340736341
mango_rmse,small,GDP,7,h4q,21.254308880172974,80,21.048561771304062,0.9774877310116834
mango_rmse,small,GDP,7,h8q,21.254333574188454,80,21.048561771304062,0.977605050264884
mango_rmse,small,GDP,8,h1q,20.92985937315633,80,20.789897050423242,0.6732227792837372
mango_rmse,small,GDP,8,h2q,20.958296693319877,80,20.789897050423242,0.8100071033935508
mango_rmse,small,GDP,8,h4q,21.0358242699371,80,20.789897050423242,1.1829169664351435
mango_rmse,small,GDP,8,h8q,21.03463546017745,80,20.789897050423242,1.1771987574571792
mango_rmse_random,small,DEFL,1,h1q,20.315850001387236,80,20.27358025142505,0.20849672054947668
mango_rmse_random,small,DEFL,1,h2q,20.314651529498068,80,20.27358025142505,0.20258522453197392
mango_rmse_random,small,DEFL,1,h4q,20.341754791328682,80,20.27358025142505,0.3362728193943036
mango_rmse_random,small,DEFL,1,h8q,20.32300799622627,80,20.27358025142505,0.24380372972231645
mango_rmse_random,small,DEFL,2,h1q,20.361562432966345,80,20.275385450708985,0.42503252264605657
mango_rmse_random,small,DEFL,2,h2q,20.358835223574562,80,20.275385450708985,0.4115816839509682
mango_rmse_random,small,DEFL,2,h4q,20.411358212421913,80,20.275385450708985,0.6706297251092377
mango_rmse_random,small,DEFL,2,h8q,20.372128467507874,80,20.275385450708985,0.4771451424885564
mango_rmse_random,small,DEFL,3,h1q,20.420211572121165,80,20.290086129962518,0.6413252330481234
mango_rmse_random,small,DEFL,3,h2q,20.413777790497136,80,20.290086129962518,0.6096162418549901
mango_rmse_random,small,DEFL,3,h4q,20.492497525005913,80,20.290086129962518,0.9975876580656433
mango_rmse_random,small,DEFL,3,h8q,20.43053246824944,80,20.290086129962518,0.6921919275617212
mango_rmse_random,small,DEFL,4,h1q,20.495219396151086,80,20.321689161132173,0.8539163926924492
mango_rmse_random,small,DEFL,4,h2q,20.48285569741207,80,20.321689161132173,0.7930764760842235
mango_rmse_random,small,DEFL,4,h4q,20.58721315615964,80,20.321689161132173,1.3066039585691203
mango_rmse_random,small,DEFL,4,h8q,20.498970713305518,80,20.321689161132173,0.8723760646453436
mango_rmse_random,small,DEFL,5,h1q,20.5894607655703,80,20.37311810788816,1.0619025351763716
mango_rmse_random,small,DEFL,5,h2q,20.569117987192527,80,20.37311810788816,0.9620514555819442
mango_rmse_random,small,DEFL,5,h4q,20.695750859334854,80,20.37311810788816,1.5836198943046196
mango_rmse_random,small,DEFL,5,h8q,20.583215032122986,80,20.37311810788816,1.0312457971442246
mango_rmse_random,small,DEFL,6,h1q,20.703111486023296,80,20.44792922529141,1.2479613848440867
mango_rmse_random,small,DEFL,6,h2q,20.6757195374568,80,20.44792922529141,1.1140018612918636
mango_rmse_random,small,DEFL,6,h4q,20.821162790559207,80,20.44792922529141,1.825287837978992
mango_rmse_random,small,DEFL,6,h8q,20.685086126272978,80,20.44792922529141,1.1598088900280192
mango_rmse_random,small,DEFL,7,h1q,20.835363126607213,80,20.542781316619223,1.4242560706776812
mango_rmse_random,small,DEFL,7,h2q,20.800840212831467,80,20.542781316619223,1.2562023235065694
mango_rmse_random,small,DEFL,7,h4q,20.962245356524768,80,20.542781316619223,2.0419048104561988
mango_rmse_random,small,DEFL,7,h8q,20.805095514707524,80,20.542781316619223,1.276916665009171
mango_rmse_random,small,DEFL,8,h1q,20.983555787745168,80,20.65584664017488,1.5865200457719626
mango_rmse_random,small,DEFL,8,h2q,20.942394435736826,80,20.65584664017488,1.3872478845995224
mango_rmse_random,small,DEFL,8,h4q,21.11645892198006,80,20.65584664017488,2.2299365880714137
mango_rmse_random,small,DEFL,8,h8q,20.9386197939457,80,20.65584664017488,1.3689739215086874
mango_rmse_random,small,FFR,1,h1q,0.3830410159971364,80,0.384011455669943,-0.2527111257953379
mango_rmse_random,small,FFR,1,h2q,0.3543086014550769,80,0.384011455669943,-7.734887534291583
mango_rmse_random,small,FFR,1,h4q,0.39144918895024666,80,0.384011455669943,1.9368519273280187
mango_rmse_random,small,FFR,1,h8q,0.3828459859843829,80,0.384011455669943,-0.30349867649828705
