model,model_size,variable,horizon_quarters,optimization_horizon,rmse,n
mango_mdd,small,DEFL,1,,20.267370504399814,80
mango_rmse,small,DEFL,1,h1q,20.338097095442784,80
mango_rmse,small,DEFL,1,h2q,20.345132334181418,80
mango_rmse,small,DEFL,1,h4q,20.374719893599934,80
mango_rmse,small,DEFL,1,h8q,20.338528351898987,80
mango_rmse_random,small,DEFL,1,h1q,20.315850001387236,80
mango_rmse_random,small,DEFL,1,h2q,20.314651529498068,80
mango_rmse_random,small,DEFL,1,h4q,20.341754791328682,80
mango_rmse_random,small,DEFL,1,h8q,20.32300799622627,80
paper,small,DEFL,1,,20.27358025142505,80
mango_mdd,small,DEFL,2,,20.265278978424742,80
mango_rmse,small,DEFL,2,h1q,20.404537830380164,80
mango_rmse,small,DEFL,2,h2q,20.420349604156765,80
mango_rmse,small,DEFL,2,h4q,20.47966637829147,80
mango_rmse,small,DEFL,2,h8q,20.406229837838122,80
mango_rmse_random,small,DEFL,2,h1q,20.361562432966345,80
mango_rmse_random,small,DEFL,2,h2q,20.358835223574562,80
mango_rmse_random,small,DEFL,2,h4q,20.411358212421913,80
mango_rmse_random,small,DEFL,2,h8q,20.372128467507874,80
paper,small,DEFL,2,,20.275385450708985,80
mango_mdd,small,DEFL,3,,20.27412700185194,80
mango_rmse,small,DEFL,3,h1q,20.484285040079623,80
mango_rmse,small,DEFL,3,h2q,20.5094257115944,80
mango_rmse,small,DEFL,3,h4q,20.597630559192158,80
mango_rmse,small,DEFL,3,h8q,20.48458775743734,80
mango_rmse_random,small,DEFL,3,h1q,20.420211572121165,80
mango_rmse_random,small,DEFL,3,h2q,20.413777790497136,80
mango_rmse_random,small,DEFL,3,h4q,20.492497525005913,80
mango_rmse_random,small,DEFL,3,h8q,20.43053246824944,80
paper,small,DEFL,3,,20.290086129962518,80
mango_mdd,small,DEFL,4,,20.29899269496467,80
mango_rmse,small,DEFL,4,h1q,20.5783276113403,80
mango_rmse,small,DEFL,4,h2q,20.61599506157059,80
mango_rmse,small,DEFL,4,h4q,20.73439195276631,80
mango_rmse,small,DEFL,4,h8q,20.58217736303481,80
mango_rmse_random,small,DEFL,4,h1q,20.495219396151086,80
mango_rmse_random,small,DEFL,4,h2q,20.48285569741207,80
