forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu,psi
2000-03-31,mango_mdd,small,1999Q4,164,4.64054039257928,0.28969445126242765,3.020688971791749,"[6.3413999570586155, 1.0619981788212927, 14.563557742145258]"
2000-06-30,mango_mdd,small,2000Q1,183,2.0402676760335816,2.918457627470987,0.19221028011661795,"[14.408414892869914, 3.3133780431211366, 5.7826046778828095]"
2000-09-30,mango_mdd,small,2000Q2,184,2.199393740382793,0.0447555859255094,1.771602153113139,"[5.270673061323103, 1.2656752534140525, 18.74211062692454]"
2000-12-31,mango_mdd,small,2000Q3,185,2.698069757721922,0.18477512892216585,0.2775887720096743,"[14.595777741118068, 0.5346079197109427, 25.84809938558937]"
2001-03-31,mango_mdd,small,2000Q4,186,0.7072069678685424,0.41781537671710267,1.1614483609165005,"[19.95911019464276, 1.747189392686899, 23.947764961856855]"
2001-06-30,mango_mdd,small,2001Q1,187,2.325282211067644,0.5333019176235391,5.5020331273137115,"[6.7282520561824954, 0.16932153361589508, 49.951727551978614]"
2001-09-30,mango_mdd,small,2001Q2,188,1.761349657989888,1.569655615453151,0.6641673296048961,"[38.274998629592595, 1.9559102780846287, 28.60566106654466]"
2001-12-31,mango_mdd,small,2001Q3,189,2.697417702175457,0.8067247377795337,0.14694961441639265,"[2.533588597000038, 0.15785086862382905, 7.672861009766382]"
2002-03-31,mango_mdd,small,2001Q4,190,0.9245303134865616,0.621862717646837,0.17027825420420403,"[52.960174315298204, 0.3875565548991535, 12.576150605431549]"
2002-06-30,mango_mdd,small,2002Q1,191,2.698069757721922,0.18477512892216585,0.2775887720096743,"[14.370433865481958, 0.5291472429573633, 25.86987849562773]"
2002-09-30,mango_mdd,small,2002Q2,192,1.3798307067548226,0.5809820177000203,0.6090085257056729,"[37.82560888422066, 1.4934273914771152, 42.125691586718226]"
2002-12-31,mango_mdd,small,2002Q3,193,1.6060934722094258,2.550325736765411,2.365748474037371,"[8.938721754001303, 1.2507681042288141, 2.6239621011060312]"
2003-03-31,mango_mdd,small,2002Q4,194,2.199393740382793,0.0447555859255094,1.771602153113139,"[5.094058510233443, 1.2459997133616671, 18.391551831722726]"
2003-06-30,mango_mdd,small,2003Q1,195,2.697417702175457,0.8067247377795337,0.14694961441639265,"[2.4716747294480603, 0.15747452157580585, 7.557245365986015]"
2003-09-30,mango_mdd,small,2003Q2,196,2.697417702175457,0.8067247377795337,0.14694961441639265,"[2.4587930410197667, 0.15739739931794047, 7.5190786222797]"
2003-12-31,mango_mdd,small,2003Q3,197,1.399263254917826,1.0491389387295362,0.6076982993102759,"[33.11456462458804, 1.8362238508149593, 5.268482887726467]"
2004-03-31,mango_mdd,small,2003Q4,198,1.3543177220644587,0.5744907973759267,0.5488063448324914,"[16.178031314849193, 0.44625988946895245, 51.50198472684096]"
2004-06-30,mango_mdd,small,2004Q1,199,2.4165234491502456,2.8705089553039076,0.14840406523298755,"[8.155761916782987, 1.524589486923532, 36.03649760588979]"
2004-09-30,mango_mdd,small,2004Q2,200,3.3393139130155323,0.8725119796614528,1.4130988416691346,"[22.13593480778985, 0.47983776218315055, 35.859648887458576]"
2004-12-31,mango_mdd,small,2004Q3,201,0.8359951342197802,2.2256599316975794,5.9921606922007795,"[20.85683234252945, 0.1966795314349664, 25.265728254058306]"
2005-03-31,mango_mdd,small,2004Q4,202,2.5683780173802675,1.900617507872425,0.039601844634438145,"[52.181592164244705, 1.76878244326081, 2.305028128507399]"
2005-06-30,mango_mdd,small,2005Q1,203,3.0529609123810504,0.9839330854656946,0.1581770740799261,"[8.342820710354285, 0.9601915670385456, 1.3904522312561811]"
2005-09-30,mango_mdd,small,2005Q2,204,0.6741319844204874,0.47944689642549354,4.004488545357221,"[7.672217794566412, 0.8832007842317412, 16.325543466816796]"
2005-12-31,mango_mdd,small,2005Q3,205,4.604364561841013,1.320426184858697,0.07654743710860641,"[61.785037461353795, 1.2411954646669923, 10.977425546744204]"
2006-03-31,mango_mdd,small,2005Q4,206,0.6152579039639879,5.354215577166004,0.5986692869423645,"[20.857762176628704, 0.5587422799379251, 29.335837629236956]"
2006-06-30,mango_mdd,small,2006Q1,207,2.5103157261182836,0.07830811359329297,0.028678209088023016,"[34.12938194813231, 0.7880847788239903, 20.892232662057197]"
2006-09-30,mango_mdd,small,2006Q2,208,1.5835372571662385,0.6040328542692824,0.9025375119234003,"[5.733881808121256, 0.2322109540077665, 37.77473873515738]"
2006-12-31,mango_mdd,small,2006Q3,209,1.2138240857469593,0.5477391586023228,4.418504564159307,"[8.825560914436164, 0.45227644112483484, 3.1128192892246904]"
2007-03-31,mango_mdd,small,2006Q4,210,0.8451823285676404,0.95854612194905,0.688781619957192,"[17.068216275712505, 0.16704207047660327, 42.11865985774065]"
2007-06-30,mango_mdd,small,2007Q1,211,3.886524918434108,1.0336051462880935,0.3556989343407645,"[1.7106263311445922, 1.4340893284050524, 4.760053316765201]"
2007-09-30,mango_mdd,small,2007Q2,212,0.5438301922249952,0.6334080515075876,0.7655698186340915,"[16.048520051100482, 0.577209012172975, 39.20665836187407]"
2007-12-31,mango_mdd,small,2007Q3,213,3.0268653768412004,1.7623224309031627,0.3128126044462755,"[15.036596556358994, 1.2972114086113935, 42.83068307230999]"
2008-03-31,mango_mdd,small,2007Q4,214,1.8495996086998927,0.5992443338911904,1.3791336440874842,"[36.87203325660803, 1.3795588921675817, 5.945855595075173]"
2008-06-30,mango_mdd,small,2008Q1,215,1.6460766429627276,1.2564508807387436,2.224971795946218,"[3.7719056825260315, 0.6500898005720929, 6.589282749422286]"
2008-09-30,mango_mdd,small,2008Q2,216,1.0457092803678822,0.4328382828117989,0.8048983997378895,"[41.712158921285294, 1.3119080776705225, 20.141577893474153]"
2008-12-31,mango_mdd,small,2008Q3,217,1.2754472882384396,2.12218685227321,0.13842239481076074,"[52.79516104125123, 1.4231982844947724, 4.8339187917627475]"
2009-03-31,mango_mdd,small,2008Q4,218,1.4231044439324425,1.343260616867727,3.234196186142717,"[3.249912673126754, 0.5942504270469553, 18.260326783476106]"
2009-06-30,mango_mdd,small,2009Q1,219,1.8365118645345078,2.617630250513478,0.8451915723141484,"[42.89326532927221, 1.8123985565756582, 36.48895261242229]"
2009-09-30,mango_mdd,small,2009Q2,220,0.5679468771045059,0.31736555137421213,1.3805592935585305,"[13.220361129836808, 2.1953312881873477, 29.788432992543882]"
2009-12-31,mango_mdd,small,2009Q3,221,0.5665494235747761,3.4401255442995544,0.77700829032392,"[16.613846874009294, 0.3096799751996715, 0.05943821465431671]"
2010-03-31,mango_mdd,small,2009Q4,222,1.7418706973525762,0.5520547938696131,0.38116511590353547,"[29.168619484633414, 0.40352783585906, 33.512490946485975]"
2010-06-30,mango_mdd,small,2010Q1,223,2.083779750710208,1.4519802353112528,2.9267327743910436,"[4.065698969111422, 1.0367106812246698, 5.63899671220584]"
2010-09-30,mango_mdd,small,2010Q2,224,2.601689623626183,1.6072192558805367,1.3640594856331907,"[64.02939749283314, 0.9884073098759524, 43.246177641713395]"
2010-12-31,mango_mdd,small,2010Q3,225,1.6507618869656906,4.2944363461569015,0.7540733937005416,"[35.652577576013805, 0.27197850845559723, 37.76047301241978]"
2011-03-31,mango_mdd,small,2010Q4,226,2.512995042967892,1.0678897106108676,0.2644225795781904,"[34.90520768944408, 1.1142639396079452, 25.017550942874077]"
2011-06-30,mango_mdd,small,2011Q1,227,0.4054539695243735,4.408080417125381,0.2618675324944914,"[2.1100928170533826, 0.17770823778602254, 2.3149738518560348]"
2011-09-30,mango_mdd,small,2011Q2,228,0.7430795336219952,0.42814860657106285,0.8706896039858628,"[16.105257206473876, 1.032757391048477, 18.35202223182449]"
2011-12-31,mango_mdd,small,2011Q3,229,1.014686413280421,1.0680525886081789,0.3150314659425775,"[5.726587791599353, 0.49307284706466636, 50.920883480113176]"
2012-03-31,mango_mdd,small,2011Q4,230,3.2200224662704304,1.1390957940470128,4.811451372722411,"[26.754475404496894, 2.16912630548611, 63.641547103286406]"
2012-06-30,mango_mdd,small,2012Q1,231,0.6253172131968839,0.8003616504771446,1.2350989495964015,"[7.882629524700246, 1.0414910765699346, 12.534478029647955]"
2012-09-30,mango_mdd,small,2012Q2,232,1.1144192768021826,1.3238353181253923,2.1047664276458087,"[35.118836810874, 1.2366233098643793, 38.06488989761488]"
2012-12-31,mango_mdd,small,2012Q3,233,1.0856254469557327,1.0387264207825715,1.8437916867709594,"[13.444649042032697, 0.7082830366006704, 40.22903373458518]"
2013-03-31,mango_mdd,small,2012Q4,234,2.408343913642725,3.02790460392267,1.2104842954295167,"[10.393713883345214, 0.2881696402271051, 36.676341742055406]"
2013-06-30,mango_mdd,small,2013Q1,235,1.5347876364680568,0.9122806336707158,0.4032845288724353,"[19.042120507615174, 1.40389548697775, 35.86430442651122]"
2013-09-30,mango_mdd,small,2013Q2,236,3.6277221750185022,6.225851607400133,0.07562672399808443,"[7.212783794727049, 2.2323349832958566, 6.00548617606488]"
2013-12-31,mango_mdd,small,2013Q3,237,0.9095830751379684,3.3854579672402445,1.4921298702223469,"[4.551436894304246, 1.3348144030204905, 5.624328114382251]"
2014-03-31,mango_mdd,small,2013Q4,238,0.837933415562296,1.6774335808683851,0.8677483772922909,"[11.71064782105992, 1.412004532275399, 41.111333555243874]"
2014-06-30,mango_mdd,small,2014Q1,239,0.9648752259019179,0.8193929511894223,1.8603081029851614,"[1.5737801538629723, 1.0766228753313067, 11.206145093242643]"
2014-09-30,mango_mdd,small,2014Q2,240,1.3138062851992893,0.9593603286149308,26.6738383177557,"[50.66699362215016, 3.346368276421937, 3.0457458497092653]"
2014-12-31,mango_mdd,small,2014Q3,241,0.9291980479974087,0.11088683859500043,5.35985275237962,"[1.1234990146727173, 1.4380351304684826, 8.925786847002476]"
2015-03-31,mango_mdd,small,2014Q4,242,1.4296149703882024,1.8161441531273201,1.4317578723325786,"[4.221755293545753, 0.4417124856893678, 0.4176312142100233]"
