strategy,model_size,forecast_origin,target_quarter,horizon_quarters,variable,mean,actual,error,p05,p16,median,p84,p95
mango_rmse,small,2000-03-31,2000Q1,1,DEFL,466.20851740891896,434.80173185711334,31.406785551805626,465.4811079190385,465.77292025090173,466.21058759054443,466.64536483630565,466.93701556078196
mango_rmse,small,2000-03-31,2000Q2,2,DEFL,466.87119671867544,435.4231401429961,31.448056575679345,465.7227362115377,466.1706457262581,466.87242143599093,467.5638127815047,468.02249290401255
mango_rmse,small,2000-03-31,2000Q3,3,DEFL,467.58384202951174,436.0074949806811,31.576347048830655,466.051421848606,466.6409162606968,467.58667086247664,468.5075197158875,469.1292911941543
mango_rmse,small,2000-03-31,2000Q4,4,DEFL,468.33467697457087,436.5490666033782,31.78561037119266,466.3716809233318,467.1490623082322,468.3351466677808,469.5128563907146,470.29890265044054
mango_rmse,small,2000-03-31,2001Q1,5,DEFL,469.1057396232587,437.2026802595548,31.903059363703903,466.72850061178497,467.6749834057279,469.097997634848,470.5358731324198,471.5130354591623
mango_rmse,small,2000-03-31,2001Q2,6,DEFL,469.8934248466028,437.8056263169986,32.087798529604186,467.14129694777114,468.23464711736386,469.88864984814455,471.5805866211286,472.6923030935097
mango_rmse,small,2000-03-31,2001Q3,7,DEFL,470.69664359462195,438.197663342384,32.49898025223797,467.53319907094925,468.7814116829362,470.67878533833664,472.6413400721012,473.9181791054236
mango_rmse,small,2000-03-31,2001Q4,8,DEFL,471.51473558492495,438.50844547731197,33.00629010761298,467.9168004822177,469.3290291553572,471.4974349096084,473.70423503661954,475.1553734109071
mango_rmse,small,2000-03-31,2000Q1,1,FFR,5.349015240058589,5.676666666666667,-0.3276514266080781,3.471004750669849,4.224955173566671,5.361764592081194,6.491589688925673,7.195923809404408
mango_rmse,small,2000-03-31,2000Q2,2,FFR,5.400423504753046,6.273333333333333,-0.8729098285802879,2.7585410675064126,3.796552994562086,5.396320070629129,7.004873600470575,8.085573753449495
mango_rmse,small,2000-03-31,2000Q3,3,FFR,5.45938299580774,6.52,-1.0606170041922596,2.224671048249464,3.5174179244316073,5.459001654450296,7.380240670127829,8.659235227427219
mango_rmse,small,2000-03-31,2000Q4,4,FFR,5.499112622059371,6.473333333333334,-0.9742207112739623,1.82815847475929,3.2732506982905774,5.500010227656155,7.702973244303193,9.13361999831201
mango_rmse,small,2000-03-31,2001Q1,5,FFR,5.548920792020609,5.593333333333334,-0.04441254131272476,1.4841809832030601,3.124892994998041,5.55364827012237,7.993958027743553,9.589005677592585
mango_rmse,small,2000-03-31,2001Q2,6,FFR,5.59993100642285,4.326666666666667,1.2732643397561825,1.2220623866357532,2.9822430270768137,5.615300660242838,8.216454232833069,9.96491695293922
mango_rmse,small,2000-03-31,2001Q3,7,FFR,5.635258773815582,3.4966666666666666,2.138592107148915,0.9637676205912599,2.835938981262547,5.62976926542208,8.427431450461071,10.238988948163987
mango_rmse,small,2000-03-31,2001Q4,8,FFR,5.670610068943563,2.1333333333333333,3.5372767356102295,0.7280758950311944,2.764323737561527,5.6934435004584465,8.619477331745307,10.541956524653237
mango_rmse,small,2000-03-31,2000Q1,1,GDP,911.8949087854503,946.771157645587,-34.876248860136684,910.269918318173,910.9091285946396,911.8916664802841,912.871370106221,913.5249733067203
mango_rmse,small,2000-03-31,2000Q2,2,GDP,912.8800682218075,948.5753664798251,-35.6952982580176,910.5738998151662,911.4806483325937,912.8803501398156,914.2765319290049,915.1925347275477
mango_rmse,small,2000-03-31,2000Q3,3,GDP,913.8379740820229,948.6750908667843,-34.837116784761406,911.0072711028939,912.09055616475,913.8469961343891,915.5588904949327,916.7105215454905
mango_rmse,small,2000-03-31,2000Q4,4,GDP,914.782552269214,949.2676932603196,-34.485140991105595,911.4642250825261,912.7671950708457,914.7765482150072,916.802696752308,918.1411577360494
mango_rmse,small,2000-03-31,2001Q1,5,GDP,915.7127712500263,948.9429455219695,-33.230174271943156,911.9415397597273,913.4306800449017,915.7099526720823,917.965070861389,919.4787833397805
mango_rmse,small,2000-03-31,2001Q2,6,GDP,916.6517667256192,949.5624120747524,-32.91064534913323,912.5024450719457,914.1492045437278,916.6270583280625,919.1612945909367,920.8451761090585
mango_rmse,small,2000-03-31,2001Q3,7,GDP,917.5710670019323,949.1612595166631,-31.590192514730802,913.051224386737,914.8479291103554,917.5648055860172,920.2707743086014,922.1274648853544
mango_rmse,small,2000-03-31,2001Q4,8,GDP,918.4850843301537,949.4381900682963,-30.953105738142654,913.6036269187896,915.5406166905065,918.4721012290802,921.3981863976736,923.4039432728682
mango_rmse,small,2000-06-30,2000Q2,1,DEFL,467.00272386128586,435.4231401429961,31.57958371828977,466.4864764163317,466.690294406706,467.0014715515361,467.31711628656063,467.52179976950316
mango_rmse,small,2000-06-30,2000Q3,2,DEFL,467.75060059704555,436.0074949806811,31.74310561636446,466.8738739074398,467.2220054459359,467.75457569029015,468.2774391589791,468.6136599858764
mango_rmse,small,2000-06-30,2000Q4,3,DEFL,468.5664764654469,436.5490666033782,32.01740986206869,467.3111584270963,467.80713966685835,468.5725573541907,469.32164124741803,469.8162502626878
mango_rmse,small,2000-06-30,2001Q1,4,DEFL,469.43995450619263,437.2026802595548,32.23727424663781,467.74877628677154,468.4221246793819,469.45509596070116,470.45925770416545,471.0824115476078
mango_rmse,small,2000-06-30,2001Q2,5,DEFL,470.363771319379,437.8056263169986,32.5581450023804,468.21855702407794,469.08065501124906,470.38322404885764,471.65226330932313,472.4586343577122
mango_rmse,small,2000-06-30,2001Q3,6,DEFL,471.33391831578956,438.197663342384,33.136254973405585,468.7095751426723,469.768022082592,471.3505176139889,472.91024828040236,473.912807666366
mango_rmse,small,2000-06-30,2001Q4,7,DEFL,472.3525463251657,438.50844547731197,33.844100847853724,469.24643755438797,470.50720914451006,472.3684256862316,474.22823139789347,475.42441789926426
mango_rmse,small,2000-06-30,2002Q1,8,DEFL,473.4078881055806,438.83068726310324,34.57720084247734,469.7680801506884,471.2561965846035,473.41211044117705,475.57509406854626,477.0063048270577
