forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu,psi
2000-03-31,mango_rmse_random,small,1999Q4,164,1.535043397708296,4.705396404126867,0.5028024773615473,"[35.95373115386079, 20.871440916171206, 53.561456408840016]"
2000-06-30,mango_rmse_random,small,2000Q1,183,2.541617994129852,5.076887547200452,0.2356151808458624,"[32.34919084048193, 10.277273485259315, 40.74451106600923]"
2000-09-30,mango_rmse_random,small,2000Q2,184,4.385207504680582,0.1672017988573368,0.11055343808792852,"[44.077668658756345, 22.49889500932194, 62.598207807108246]"
2000-12-31,mango_rmse_random,small,2000Q3,185,3.8904436614913323,2.934686304916438,0.1448844083875219,"[49.11373630637083, 37.72528656210437, 47.00699159551331]"
2001-03-31,mango_rmse_random,small,2000Q4,186,1.5508507373355505,29.26139149549785,0.10743994442407832,"[44.38860991736949, 0.7356330189604823, 58.9827710248892]"
2001-06-30,mango_rmse_random,small,2001Q1,187,4.4559008865309035,46.801508851975136,0.11466717709542462,"[29.024687732667463, 31.92811590569383, 40.17003753767605]"
2001-09-30,mango_rmse_random,small,2001Q2,188,2.922077497846496,36.28655746854258,0.27912676791214996,"[19.011616308130073, 31.68059371085346, 47.15035108240866]"
2001-12-31,mango_rmse_random,small,2001Q3,189,2.922077497846496,36.28655746854258,0.27912676791214996,"[19.043015064803978, 31.558727030909246, 47.12443408713374]"
2002-03-31,mango_rmse_random,small,2001Q4,190,4.208196094939773,33.03091995386096,45.66788675164122,"[28.128208676389264, 2.7722507601689004, 4.696742042646124]"
2002-06-30,mango_rmse_random,small,2002Q1,191,4.003703013974141,10.09802732256666,11.366828384478048,"[77.77759640245476, 12.239575693418342, 0.7583301392239605]"
2002-09-30,mango_rmse_random,small,2002Q2,192,1.0111477794184407,8.13028318533645,0.10240836243163036,"[39.21400828455308, 22.70662814397727, 45.73490375810752]"
2002-12-31,mango_rmse_random,small,2002Q3,193,2.0793467705247237,0.6077625661218061,12.476018266530314,"[31.524506935718716, 6.450459531283378, 14.297960420127321]"
2003-03-31,mango_rmse_random,small,2002Q4,194,4.176363476881252,10.142865468540856,40.39921983853667,"[71.25808223643153, 0.18731451355734263, 22.64575519916501]"
2003-06-30,mango_rmse_random,small,2003Q1,195,0.11578017953073415,46.5961920690881,43.07549712541602,"[32.14385232228849, 16.808832940193994, 65.17456176703432]"
2003-09-30,mango_rmse_random,small,2003Q2,196,4.814842848085195,33.576403143714366,22.751418756941998,"[60.21484838071207, 4.23636460294963, 8.645101528027608]"
2003-12-31,mango_rmse_random,small,2003Q3,197,0.05364432354954797,16.74161857071603,49.392829894254824,"[75.71952423853065, 0.27048770290455854, 74.31346152369878]"
2004-03-31,mango_rmse_random,small,2003Q4,198,0.08890177904920574,32.03969006946572,16.248352735009803,"[38.01284941142029, 6.072349132849314, 86.41422536789561]"
2004-06-30,mango_rmse_random,small,2004Q1,199,0.060334295115934834,3.1603296827823955,49.56683826703973,"[10.677303224539319, 11.957943463002985, 83.42340333205429]"
2004-09-30,mango_rmse_random,small,2004Q2,200,0.37059555362633184,34.56276304612281,30.162005922784953,"[72.4946434009953, 26.642170624841135, 4.083896156572113]"
2004-12-31,mango_rmse_random,small,2004Q3,201,1.3791634259916483,13.966972623355243,47.039540827285855,"[46.36393329334553, 19.12291306863181, 20.452758292733698]"
2005-03-31,mango_rmse_random,small,2004Q4,202,3.148477396332509,25.034868848989667,40.2697244107708,"[82.76616436203801, 8.558320420738085, 9.04730107169476]"
2005-06-30,mango_rmse_random,small,2005Q1,203,3.591580787653945,0.16463891206983255,18.279281085934965,"[46.25747507853412, 30.653133858328545, 23.25235081931607]"
2005-09-30,mango_rmse_random,small,2005Q2,204,2.288082944313907,37.369924534397605,37.18793642916415,"[42.61305042484657, 26.53631353882249, 40.149930278953114]"
2005-12-31,mango_rmse_random,small,2005Q3,205,3.236416092841289,22.17271851641071,39.22832794425161,"[51.060530765985064, 35.43052853943319, 6.728416637645781]"
2006-03-31,mango_rmse_random,small,2005Q4,206,1.4158724808881478,0.04055468936953973,39.30611270951589,"[39.54041241179652, 9.874507272846955, 89.3435108716392]"
2006-06-30,mango_rmse_random,small,2006Q1,207,1.8238029030751832,31.439865978948504,30.432999125036396,"[0.5335240621229903, 22.245605471561696, 51.01698234222944]"
2006-09-30,mango_rmse_random,small,2006Q2,208,4.053060343220076,3.0731649518733493,0.17873336472626553,"[47.2923988621693, 4.619929977335992, 16.331450200974356]"
2006-12-31,mango_rmse_random,small,2006Q3,209,2.95860475268314,44.153623782659096,0.13657081767052964,"[1.7256389997978536, 20.60628914323117, 89.33513174375642]"
2007-03-31,mango_rmse_random,small,2006Q4,210,1.57556575858764,0.016369634003884064,3.0081797808920814,"[3.2057753047246407, 4.74062378808064, 20.508556637818607]"
2007-06-30,mango_rmse_random,small,2007Q1,211,2.0204140413029847,42.660131106346626,0.2701707273877734,"[51.80176554691038, 18.248896268414196, 85.51913385859446]"
2007-09-30,mango_rmse_random,small,2007Q2,212,0.43581223450755163,9.66307757452577,49.61630639539183,"[31.85610775073898, 33.60057456197542, 53.65017070257723]"
2007-12-31,mango_rmse_random,small,2007Q3,213,4.620456117524094,14.942350560314214,0.11861731707600008,"[16.046920134868433, 1.768323524095507, 24.29390084243232]"
2008-03-31,mango_rmse_random,small,2007Q4,214,4.9704941950040045,45.80314461611242,0.1628113527486609,"[70.7535035883732, 21.10077591316666, 56.72717405429735]"
2008-06-30,mango_rmse_random,small,2008Q1,215,0.11390009795901461,28.417420245101283,25.06202614491081,"[62.32169319067955, 18.49630811772211, 28.736266385194238]"
2008-09-30,mango_rmse_random,small,2008Q2,216,0.10033299790417549,14.163956181766743,13.4520677011271,"[74.88080200667986, 6.397539197943818, 64.42694759981522]"
2008-12-31,mango_rmse_random,small,2008Q3,217,0.11388973080730555,21.11593271937306,13.197820022468028,"[60.36935512027903, 1.6005833696129486, 29.237126062834815]"
2009-03-31,mango_rmse_random,small,2008Q4,218,2.789951844453019,0.08275732543102055,0.9489822050330283,"[45.8649385881203, 4.513714526049105, 57.02869590445933]"
2009-06-30,mango_rmse_random,small,2009Q1,219,0.12702734298763593,49.18422600493985,24.541236535806643,"[39.548180316121105, 30.26366727741583, 45.85367397494225]"
2009-09-30,mango_rmse_random,small,2009Q2,220,0.07898985496128014,20.326985778305204,17.847988269525924,"[15.433550598017213, 8.959798119172918, 84.09378806977013]"
2009-12-31,mango_rmse_random,small,2009Q3,221,0.026244584270629066,48.27203929649693,46.815326473068886,"[20.016813920284672, 26.58221814053672, 4.769767254474491]"
2010-03-31,mango_rmse_random,small,2009Q4,222,0.07350487003078857,13.1119326778753,26.840054734462775,"[33.65533331976271, 23.815479620048148, 79.86845751669036]"
2010-06-30,mango_rmse_random,small,2010Q1,223,0.029152591860423953,7.662720222748506,33.49062775892974,"[63.835194232551004, 0.012450105275379262, 29.050099263286683]"
2010-09-30,mango_rmse_random,small,2010Q2,224,0.2654974594297115,29.135017496038433,31.325743431238866,"[2.652000387408483, 15.549355240267285, 60.34255676744755]"
2010-12-31,mango_rmse_random,small,2010Q3,225,0.12749811554721674,23.381775486202567,25.32534590945653,"[1.0038335279902622, 23.245615476649807, 71.57512008838245]"
