strategy,model_size,forecast_origin,target_quarter,horizon_quarters,variable,mean,actual,error,p05,p16,median,p84,p95
mango_rmse_random,small,2000-03-31,2000Q1,1,DEFL,466.0372327986561,434.80173185711334,31.23550094154274,465.5754652976291,465.75817607358374,466.03998857981225,466.3122288268697,466.4938212262674
mango_rmse_random,small,2000-03-31,2000Q2,2,DEFL,466.4698655155085,435.4231401429961,31.046725372512412,465.60463815404876,465.94456849309114,466.4700767303498,466.99195968511805,467.3280630491308
mango_rmse_random,small,2000-03-31,2000Q3,3,DEFL,466.9525312217297,436.0074949806811,30.945036241048626,465.6744871367874,466.17064366429116,466.94764276020203,467.7359809384208,468.26157537589495
mango_rmse_random,small,2000-03-31,2000Q4,4,DEFL,467.4658791970814,436.5490666033782,30.916812593703185,465.7030507201216,466.38627966385326,467.4615203413334,468.5408077781546,469.27247231240796
mango_rmse_random,small,2000-03-31,2001Q1,5,DEFL,467.9699432852793,437.2026802595548,30.767263025724503,465.6412494346911,466.55071536088474,467.9544397678331,469.37909206841283,470.3349643423139
mango_rmse_random,small,2000-03-31,2001Q2,6,DEFL,468.4812714454124,437.8056263169986,30.675645128413805,465.5344825796477,466.6890593162664,468.4742168712933,470.26017886522027,471.46671052180807
mango_rmse_random,small,2000-03-31,2001Q3,7,DEFL,468.9988674564965,438.197663342384,30.801204114112522,465.38576551175095,466.80884942648987,468.9965360041623,471.1645895089058,472.65107830376525
mango_rmse_random,small,2000-03-31,2001Q4,8,DEFL,469.52000313993636,438.50844547731197,31.011557662624398,465.1892046354547,466.90247259534283,469.5277085677494,472.07073012243717,473.8590694205568
mango_rmse_random,small,2000-03-31,2000Q1,1,FFR,5.4585644374152125,5.676666666666667,-0.21810222925145428,3.569851510063738,4.336998233434806,5.453998111799697,6.584579418283331,7.323122650517088
mango_rmse_random,small,2000-03-31,2000Q2,2,FFR,5.687891547395624,6.273333333333333,-0.585441785937709,2.866604420368611,3.984362619081099,5.683108049505824,7.385909037076477,8.535677467843035
mango_rmse_random,small,2000-03-31,2000Q3,3,FFR,5.793113855033923,6.52,-0.7268861449660768,2.359673439084677,3.7109197723091683,5.777320220999427,7.900413786476384,9.29461260714257
