strategy,model_size,forecast_origin,target_quarter,horizon_quarters,variable,mean,actual,error,p05,p16,median,p84,p95
paper,small,2000-03-31,2000Q1,1,DEFL,466.031266757448,434.80173185711334,31.22953490033467,465.5988238615078,465.7713621539284,466.03079540403246,466.2895164078883,466.4634266823579
paper,small,2000-03-31,2000Q2,2,DEFL,466.47324550979016,435.4231401429961,31.05010536679407,465.6754010824665,465.99391044751593,466.4726271121774,466.9529895832919,467.2699040356945
paper,small,2000-03-31,2000Q3,3,DEFL,466.9604266817703,436.0074949806811,30.9529317010892,465.76948683359865,466.2424670673324,466.9600749132902,467.67471257847285,468.15250272104987
paper,small,2000-03-31,2000Q4,4,DEFL,467.4754558446153,436.5490666033782,30.926389241237075,465.8319228850173,466.48466906426665,467.47454225270735,468.4786006293774,469.1263007134618
paper,small,2000-03-31,2001Q1,5,DEFL,467.9882421508351,437.2026802595548,30.78556189128028,465.82872032024375,466.67883852932545,467.9905082246772,469.30271253758326,470.16057314118757
paper,small,2000-03-31,2001Q2,6,DEFL,468.50907897454266,437.8056263169986,30.703452657544062,465.7755505898863,466.85435170109855,468.5124353783421,470.1612691636559,471.2487565557127
paper,small,2000-03-31,2001Q3,7,DEFL,469.0393477135939,438.197663342384,30.841684371209908,465.7046865012451,467.01897978980725,469.0408404810275,471.05102074006135,472.3666450782815
paper,small,2000-03-31,2001Q4,8,DEFL,469.57255632101914,438.50844547731197,31.06411084370717,465.58038365486783,467.19385260765534,469.5791294529969,471.9420372618304,473.52399571694815
paper,small,2000-03-31,2000Q1,1,FFR,5.458504326881582,5.676666666666667,-0.21816233978508492,3.90052638395588,4.501659593587938,5.462215835361886,6.396043625041051,7.023106926809923
paper,small,2000-03-31,2000Q2,2,FFR,5.639662099941918,6.273333333333333,-0.6336712333914152,3.297305707730202,4.211662216791803,5.6333778748598755,7.076889917499416,8.000928862499107
paper,small,2000-03-31,2000Q3,3,FFR,5.726557984000774,6.52,-0.7934420159992257,2.839081387907974,3.9855043962774697,5.728437802328106,7.45910377191965,8.633274009379845
paper,small,2000-03-31,2000Q4,4,FFR,5.719738202513411,6.473333333333334,-0.7535951308199227,2.440507555549439,3.729988051686714,5.710025511319844,7.736690438682706,9.059334562372255
paper,small,2000-03-31,2001Q1,5,FFR,5.725317654347077,5.593333333333334,0.1319843210137437,2.075234300415399,3.5319884862912763,5.690980814295116,7.953532339021207,9.456310467183831
paper,small,2000-03-31,2001Q2,6,FFR,5.724604157532584,4.326666666666667,1.3979374908659166,1.7561457484396188,3.3371277888940534,5.717101197682329,8.106987437105746,9.730579639228992
paper,small,2000-03-31,2001Q3,7,FFR,5.695495063302102,3.4966666666666666,2.198828396635436,1.4953012913761816,3.143219592906915,5.687401224439376,8.208652083209094,9.952510359898808
