forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu,psi
2000-03-31,paper,small,1999Q4,164,0.8408532058633896,0.8079879951845432,0.2873034970500309,"[5.005730622681831, 0.32154680404312563, 3.7885805928499474]"
2000-06-30,paper,small,2000Q1,183,0.8375086247109889,0.729967560051527,0.11621034809079372,"[5.610331632918799, 0.41493195338938, 3.426972524446308]"
2000-09-30,paper,small,2000Q2,184,0.8406495606569154,0.7338733147669015,0.11608026962527067,"[5.58791441756442, 0.4148709490522588, 3.395295507778122]"
2000-12-31,paper,small,2000Q3,185,0.8411310080325447,0.7336092796553679,0.116763626051473,"[5.591819048048768, 0.4121459929559841, 3.377330243149069]"
2001-03-31,paper,small,2000Q4,186,0.8440575507132061,0.7312447987753623,0.11701592832877668,"[5.591032669889035, 0.40740585536609225, 3.353295458378997]"
2001-06-30,paper,small,2001Q1,187,0.8496086779531445,0.7355097053457396,0.1169142410242132,"[5.554201584395708, 0.4049146707687745, 3.3432747647221]"
2001-09-30,paper,small,2001Q2,188,0.845687575309435,0.7317838473713989,0.11733382074712358,"[5.6328573186335555, 0.40245558433318535, 3.3058981458314154]"
2001-12-31,paper,small,2001Q3,189,0.8423813563313689,0.7269205036605736,0.11671615124601808,"[5.620686393178488, 0.4050185064813126, 3.2980875900716375]"
2002-03-31,paper,small,2001Q4,190,0.8459585964791476,0.7245199993291529,0.1159329663546872,"[5.59658488368811, 0.40465558964936554, 3.331164551373771]"
2002-06-30,paper,small,2002Q1,191,0.8437423086012575,0.7323265661564623,0.1164733817133479,"[5.573444597091863, 0.4035052769633462, 3.3203372715176593]"
2002-09-30,paper,small,2002Q2,192,0.8466421405173067,0.7064346914657278,0.1154467958745104,"[5.4973022021501246, 0.4026294847527703, 3.3432382625717776]"
2002-12-31,paper,small,2002Q3,193,0.8466633882265738,0.7046959159572838,0.11541520851972084,"[5.4662610125013344, 0.4013672234698422, 3.3211615111288064]"
2003-03-31,paper,small,2002Q4,194,0.8446741964863461,0.7027754688677157,0.11366542313929937,"[5.4153032390532445, 0.40415123264991704, 3.3187245770979654]"
2003-06-30,paper,small,2003Q1,195,0.8468984073981367,0.7016600317183793,0.11190773804674728,"[5.392157261643552, 0.4029939889366434, 3.30025485457666]"
2003-09-30,paper,small,2003Q2,196,0.8477257705499462,0.698326726156193,0.11196683374489373,"[5.358048318878464, 0.4029876745801624, 3.2805044395134484]"
2003-12-31,paper,small,2003Q3,197,0.8501669675503414,0.7178884221324516,0.10780616965780405,"[5.618702326050577, 0.383701101514253, 3.2443974322353424]"
2004-03-31,paper,small,2003Q4,198,0.8513993913430548,0.7195108928970937,0.10651186225335611,"[5.607194747583183, 0.38048814693877697, 3.2161436945177067]"
2004-06-30,paper,small,2004Q1,199,0.8503995498535886,0.7228233647820189,0.10423937237105052,"[5.629676113218162, 0.37601082344484066, 3.1963326292852625]"
2004-09-30,paper,small,2004Q2,200,0.8527136504131279,0.7237364235481095,0.10177897183149277,"[5.578759744499423, 0.37474934383561526, 3.2009315175056696]"
2004-12-31,paper,small,2004Q3,201,0.8511381644278774,0.7225000812488035,0.10174171435852146,"[5.5791798726959465, 0.3746090518980917, 3.16923376518536]"
2005-03-31,paper,small,2004Q4,202,0.8523052978647199,0.7221372719966506,0.10255760233107805,"[5.559026663859038, 0.3720448945714269, 3.1459366970153764]"
2005-06-30,paper,small,2005Q1,203,0.8508372645721162,0.7221102628390352,0.10406856840576374,"[5.530106342443858, 0.37191407261701437, 3.1224700443900812]"
2005-09-30,paper,small,2005Q2,204,0.8426745731535488,0.715237063240812,0.10395647910338503,"[5.535189634289001, 0.3810823782016325, 3.098898433711439]"
2005-12-31,paper,small,2005Q3,205,0.8422994963812788,0.7181987779518613,0.10468704014941112,"[5.514641411645417, 0.37961148698533326, 3.076898392372714]"
2006-03-31,paper,small,2005Q4,206,0.8446899693748937,0.7151119284387419,0.10531087366784171,"[5.496857607993564, 0.3784684514648365, 3.0449970788853626]"
2006-06-30,paper,small,2006Q1,207,0.8429299093379493,0.7190781938719211,0.10648935724762931,"[5.487703284886477, 0.3757176884557266, 3.042884283081019]"
2006-09-30,paper,small,2006Q2,208,0.8450452618185417,0.7137613918286135,0.10698509869495602,"[5.475493163430589, 0.3697632318941448, 3.0264009236291782]"
2006-12-31,paper,small,2006Q3,209,0.8460893366191724,0.7087356113379794,0.1082987173751461,"[5.437134668974399, 0.374277261255757, 3.01739665902897]"
2007-03-31,paper,small,2006Q4,210,0.8458252762459371,0.7068389011908212,0.10929258227370707,"[5.410706264944113, 0.3744681318192835, 3.009801154643068]"
2007-06-30,paper,small,2007Q1,211,0.8484479231776894,0.7075925996514011,0.10899840203057938,"[5.382987564419935, 0.37745728775476356, 2.982520891807814]"
2007-09-30,paper,small,2007Q2,212,0.8496359425767304,0.7021923627467249,0.10982805081049403,"[5.3540384823032685, 0.3770486958406768, 2.9531403969635552]"
2007-12-31,paper,small,2007Q3,213,0.8520540137811227,0.7041536661666348,0.11044281200658913,"[5.322515583821969, 0.3777180335113808, 2.9590221133375207]"
2008-03-31,paper,small,2007Q4,214,0.8523937018824777,0.7046700576673973,0.11043236724970874,"[5.323272397139846, 0.37509426906061805, 2.9330593129928375]"
2008-06-30,paper,small,2008Q1,215,0.8570842359819472,0.7075774918038161,0.10934178324117384,"[5.333661618202205, 0.3669272870138768, 2.9454917573585018]"
2008-09-30,paper,small,2008Q2,216,0.8566581928826256,0.7063062586451164,0.10905197723160545,"[5.331979144521454, 0.37024841416896753, 2.904447121619631]"
2008-12-31,paper,small,2008Q3,217,0.8516048405492971,0.705272480564129,0.10847573424758238,"[5.2915255667678345, 0.379704084891483, 2.928660018503881]"
2009-03-31,paper,small,2008Q4,218,0.8385226848881343,0.6843033889786198,0.10644687931173678,"[5.380078857323413, 0.3887367225062546, 3.112119175023774]"
2009-06-30,paper,small,2009Q1,219,0.8432423891208838,0.6563732262601755,0.10861288733402219,"[5.381164233764143, 0.38877096777905035, 3.1963643921505875]"
2009-09-30,paper,small,2009Q2,220,0.8307968902611123,0.6098559624105301,0.11412214739058392,"[5.290533916931041, 0.40294424096151715, 3.18369795169832]"
2009-12-31,paper,small,2009Q3,221,0.8210096684201827,0.6015741740394406,0.11656915877776994,"[5.264595329557934, 0.403748894173341, 3.192480730569997]"
2010-03-31,paper,small,2009Q4,222,0.8157333420928998,0.6161151349409606,0.11662469299328893,"[5.271761936375439, 0.4032465959784187, 3.1720498892713618]"
2010-06-30,paper,small,2010Q1,223,0.812442362148603,0.6167043694830804,0.11613056576827845,"[5.31010017456712, 0.3985330458534879, 3.135275010358102]"
2010-09-30,paper,small,2010Q2,224,0.8173135856248666,0.6020709069905289,0.11647019778034047,"[5.429603189791438, 0.4035807021016482, 3.1651676215451063]"
2010-12-31,paper,small,2010Q3,225,0.8177899710641583,0.6036087843706903,0.1152961005875732,"[5.410618646923744, 0.40301115666546256, 3.141590552577042]"
2011-03-31,paper,small,2010Q4,226,0.8198341876750487,0.6028660242005719,0.11543882093415236,"[5.408829636432408, 0.40054143118311264, 3.123390544032493]"
2011-06-30,paper,small,2011Q1,227,0.8206338078861171,0.6041201194621681,0.11442272146720682,"[5.38531871525894, 0.4007381714355742, 3.0967929471917595]"
2011-09-30,paper,small,2011Q2,228,0.8173364855371283,0.5855565297330635,0.11344403736546273,"[5.437161900934411, 0.37811908075344824, 3.1081740246505434]"
2011-12-31,paper,small,2011Q3,229,0.8184594712733833,0.5863773425221106,0.11259438215375671,"[5.41050825205684, 0.3775277596534393, 3.085122427161024]"
2012-03-31,paper,small,2011Q4,230,0.8193755196041621,0.5852347832561475,0.11261826077234348,"[5.38831188610064, 0.3786240469977215, 3.0753705502683335]"
2012-06-30,paper,small,2012Q1,231,0.8206848483812972,0.5854795821058716,0.11251024323185661,"[5.370540463149984, 0.3768462287921531, 3.0526078702665274]"
2012-09-30,paper,small,2012Q2,232,0.813750256865565,0.5859691947106926,0.11353029520104166,"[5.375928915026838, 0.38399166690267605, 2.98301334135926]"
2012-12-31,paper,small,2012Q3,233,0.8172404856419572,0.5893624442090388,0.11210618730497103,"[5.371594052727474, 0.3805380148428483, 2.967700989713041]"
2013-03-31,paper,small,2012Q4,234,0.8194161561634891,0.5848917202129331,0.11330649578615423,"[5.378499209210289, 0.37912586363126954, 2.9500937594087184]"
2013-06-30,paper,small,2013Q1,235,0.8203699213832454,0.5840914826344639,0.11383596172715096,"[5.3533395364174226, 0.37822174590457436, 2.9327764111335504]"
2013-09-30,paper,small,2013Q2,236,0.8165044282906736,0.5951954695954871,0.11468984414601112,"[5.14926749830625, 0.3420876696144677, 2.8992259697888665]"
2013-12-31,paper,small,2013Q3,237,0.8167400211778573,0.6009121813326922,0.11343499020406593,"[5.1397419975155225, 0.34116039295186235, 2.8825073283067573]"
2014-03-31,paper,small,2013Q4,238,0.8173516342923194,0.6017611304524537,0.11309172394445874,"[5.127562719498779, 0.33918435895014243, 2.8633096807787926]"
2014-06-30,paper,small,2014Q1,239,0.8155102872675828,0.5930541768290686,0.11560366508516536,"[5.165992868901594, 0.34210772511798493, 2.8507419156930536]"
2014-09-30,paper,small,2014Q2,240,0.8146215979079489,0.6012522191179694,0.11438862761821222,"[5.1719984749410255, 0.33829891178866395, 2.8197005884174082]"
2014-12-31,paper,small,2014Q3,241,0.8140896367975647,0.6043181325205788,0.11337794973503594,"[5.168243158191553, 0.3367994712646826, 2.801863276842112]"
2015-03-31,paper,small,2014Q4,242,0.8143759731995422,0.6027215744250437,0.1145913271975272,"[5.148909914299643, 0.33867473209760407, 2.7889790523550926]"
2015-06-30,paper,small,2015Q1,243,0.8203630121655184,0.597175946030395,0.1171740443072383,"[5.140318754031431, 0.33742753917331847, 2.7861721820822143]"
2015-09-30,paper,small,2015Q2,244,0.8192892032472124,0.5992244059002206,0.11640535219073349,"[5.078463456581197, 0.34263004445059136, 2.7569824106133027]"
2015-12-31,paper,small,2015Q3,245,0.819182558711678,0.5987265198628862,0.11693547991460937,"[5.061156924140093, 0.3419829989986298, 2.7377166338018424]"
2016-03-31,paper,small,2015Q4,246,0.8190072512790566,0.5973690771838969,0.11774999336078756,"[5.039722216288529, 0.3423358774896137, 2.7178041769945405]"
2016-06-30,paper,small,2016Q1,247,0.8229588358983334,0.5931456632357542,0.11998997740498307,"[5.032892706978024, 0.3396196624347649, 2.7119823420178815]"
2016-09-30,paper,small,2016Q2,248,0.8236426673466611,0.5945291760525904,0.11884588700798936,"[5.0208397030230305, 0.3397307546294745, 2.691391452602813]"
2016-12-31,paper,small,2016Q3,249,0.8235870129500144,0.5970836980883143,0.11870041062676656,"[5.005776143738063, 0.3380664385192331, 2.6789003181417783]"
2017-03-31,paper,small,2016Q4,250,0.8222570768452375,0.5988325659139192,0.11828835464093121,"[4.994169228812539, 0.337746888549386, 2.658138088554662]"
2017-06-30,paper,small,2017Q1,251,0.8234095452508936,0.5980764148668469,0.11927342441566392,"[4.981598878145402, 0.33656230127820036, 2.6380936335788867]"
2017-09-30,paper,small,2017Q2,252,0.8199053964734648,0.5977067154514566,0.12050234085462856,"[4.972431518077009, 0.3407773077613607, 2.622036318072736]"
2017-12-31,paper,small,2017Q3,253,0.8195634206103507,0.5996455803765979,0.12019647125052017,"[4.954978305637433, 0.34021265609127044, 2.605787464844927]"
2018-03-31,paper,small,2017Q4,254,0.8203336492506621,0.6015624881535026,0.1195967898260602,"[4.944267891205051, 0.33843277844658015, 2.5896159651875563]"
2018-06-30,paper,small,2018Q1,255,0.8210021032886898,0.6017736737711652,0.12037510877268358,"[4.928490615192727, 0.33750304509306744, 2.5704808152156935]"
2018-09-30,paper,small,2018Q2,256,0.8315716123763578,0.614550704202126,0.1188324580604157,"[4.940152556095699, 0.3315018584542977, 2.5364707799606294]"
2018-12-31,paper,small,2018Q3,257,0.8306452171086108,0.6154988175737482,0.12029908209048179,"[4.919919952868116, 0.3328005477760245, 2.5252254892204515]"
2019-03-31,paper,small,2018Q4,258,0.8316800400583843,0.6158042374929744,0.12191293574163992,"[4.901014722174599, 0.3319939037190586, 2.511943213654534]"
2019-06-30,paper,small,2019Q1,259,0.8318585146227565,0.616029069969031,0.12432095751581199,"[4.8808187419189455, 0.3335707328163421, 2.5065311666755674]"
2019-09-30,paper,small,2019Q2,260,0.834166636393682,0.618173614289055,0.12318128750668403,"[4.890007479584052, 0.32732969264094075, 2.4978682812292012]"
2019-12-31,paper,small,2019Q3,261,0.8346677474389834,0.619172820155243,0.12371026048547624,"[4.871109483305626, 0.32620406923253303, 2.4850511073574024]"
