model,model_size,variable,horizon_quarters,optimization_horizon,rmse,n,baseline_rmse,relative_rmse_pct
mango_mdd,small,DEFL,1,,20.277077045536394,80,20.27529969447167,0.008766090225582017
mango_mdd,small,DEFL,2,,20.29124156631393,80,20.277882382721792,0.06588056553439468
mango_mdd,small,DEFL,3,,20.31285354282468,80,20.29270825130842,0.09927354824589417
mango_mdd,small,DEFL,4,,20.354752026307256,80,20.324162727510235,0.15050705511040277
mango_mdd,small,DEFL,5,,20.425029947907976,80,20.37618273710856,0.2397269961191324
mango_mdd,small,DEFL,6,,20.52240625957801,80,20.4517638865797,0.34540968392787774
mango_mdd,small,DEFL,7,,20.640304956414212,80,20.54734345843808,0.45242587278579754
mango_mdd,small,DEFL,8,,20.78252928588271,80,20.661180173882602,0.5873290440277095
mango_mdd,small,FFR,1,,0.4081979392389609,80,0.38243950089465323,6.735297552697912
mango_mdd,small,FFR,2,,0.787405461208441,80,0.7418260185179759,6.144222708920882
mango_mdd,small,FFR,3,,1.119352121281293,80,1.0605979029652735,5.539726049971571
mango_mdd,small,FFR,4,,1.4311630571895568,80,1.3490804116235788,6.084340478058972
mango_mdd,small,FFR,5,,1.727667600560747,80,1.6176887791301888,6.798515440633296
mango_mdd,small,FFR,6,,1.9732469290741343,80,1.8627767808218405,5.930401827510186
mango_mdd,small,FFR,7,,2.168022426315413,80,2.072534985590781,4.607277628049924
mango_mdd,small,FFR,8,,2.350692731898393,80,2.258593618494752,4.0777195441214715
mango_mdd,small,GDP,1,,22.95076565785719,80,22.925952777314663,0.10823053150087261
mango_mdd,small,GDP,2,,22.642052825718533,80,22.602680242457392,0.17419431164266325
mango_mdd,small,GDP,3,,22.36039953486598,80,22.28727744943264,0.3280889090165723
mango_mdd,small,GDP,4,,22.050715751565487,80,21.951817568105472,0.4505238946760737
mango_mdd,small,GDP,5,,21.795809815467212,80,21.639286445006206,0.7233296294625622
mango_mdd,small,GDP,6,,21.57290197335409,80,21.36199736991695,0.9872887810301211
mango_mdd,small,GDP,7,,21.35327627435016,80,21.097341709334653,1.2131128582055821
mango_mdd,small,GDP,8,,21.1802344908082,80,20.845072941552715,1.6078694000987233
mango_rmse,small,DEFL,1,h1q,20.340425653057967,80,20.27529969447167,0.32120836469832365
mango_rmse,small,DEFL,1,h2q,20.374561201412718,80,20.27529969447167,0.48956862999224915
mango_rmse,small,DEFL,1,h4q,20.35576347161772,80,20.27529969447167,0.39685616665873547
mango_rmse,small,DEFL,1,h8q,20.327406959595532,80,20.27529969447167,0.2569987418635771
mango_rmse,small,DEFL,2,h1q,20.409791926467086,80,20.277882382721792,0.6505094627518442
mango_rmse,small,DEFL,2,h2q,20.47990521617668,80,20.277882382721792,0.9962718475328801
mango_rmse,small,DEFL,2,h4q,20.4439383319699,80,20.277882382721792,0.8189018266996129
mango_rmse,small,DEFL,2,h8q,20.39117458832499,80,20.277882382721792,0.5586984058045974
mango_rmse,small,DEFL,3,h1q,20.48442083407769,80,20.29270825130842,0.9447363082101619
mango_rmse,small,DEFL,3,h2q,20.593734951889555,80,20.29270825130842,1.4834229953595626
mango_rmse,small,DEFL,3,h4q,20.54495566769303,80,20.29270825130842,1.2430446112009148
mango_rmse,small,DEFL,3,h8q,20.45896456906512,80,20.29270825130842,0.8192909280405282
mango_rmse,small,DEFL,4,h1q,20.569843763983844,80,20.324162727510235,1.2088125831676308
mango_rmse,small,DEFL,4,h2q,20.720495601192617,80,20.324162727510235,1.9500575693871864
mango_rmse,small,DEFL,4,h4q,20.663295288091764,80,20.324162727510235,1.668617620948726
mango_rmse,small,DEFL,4,h8q,20.54226104810152,80,20.324162727510235,1.0730986733149532
mango_rmse,small,DEFL,5,h1q,20.677270127146837,80,20.37618273710856,1.4776437467354664
mango_rmse,small,DEFL,5,h2q,20.867082706148352,80,20.37618273710856,2.4091851519655707
mango_rmse,small,DEFL,5,h4q,20.805835062074443,80,20.37618273710856,2.108600666323095
mango_rmse,small,DEFL,5,h8q,20.647868823801975,80,20.37618273710856,1.3333512473787676
mango_rmse,small,DEFL,6,h1q,20.80445109979852,80,20.4517638865797,1.7244831065659452
mango_rmse,small,DEFL,6,h2q,21.028008861234706,80,20.4517638865797,2.8175808103922817
mango_rmse,small,DEFL,6,h4q,20.968653213335518,80,20.4517638865797,2.5273581761571124
mango_rmse,small,DEFL,6,h8q,20.775856667374924,80,20.4517638865797,1.5846690906102894
mango_rmse,small,DEFL,7,h1q,20.944563110713336,80,20.54734345843808,1.9331922546519429
mango_rmse,small,DEFL,7,h2q,21.199877172071492,80,20.54734345843808,3.175757075133919
mango_rmse,small,DEFL,7,h4q,21.14687687543272,80,20.54734345843808,2.917814744311557
mango_rmse,small,DEFL,7,h8q,20.91853603970157,80,20.54734345843808,1.8065234662296805
mango_rmse,small,DEFL,8,h1q,21.10281808651503,80,20.661180173882602,2.137525102223795
mango_rmse,small,DEFL,8,h2q,21.387884940375375,80,20.661180173882602,3.5172471290453506
mango_rmse,small,DEFL,8,h4q,21.344668743980684,80,20.661180173882602,3.3080809728481335
mango_rmse,small,DEFL,8,h8q,21.08341495018693,80,20.661180173882602,2.0436140276152646
mango_rmse,small,FFR,1,h1q,0.3767233663580363,80,0.38243950089465323,-1.4946506632408423
mango_rmse,small,FFR,1,h2q,0.35397029406769004,80,0.38243950089465323,-7.444107305956692
mango_rmse,small,FFR,1,h4q,0.38048231696489637,80,0.38243950089465323,-0.5117630174650766
mango_rmse,small,FFR,1,h8q,0.4142326124703277,80,0.38243950089465323,8.313239480048432
mango_rmse,small,FFR,2,h1q,0.7310633190258985,80,0.7418260185179759,-1.4508387712767477
mango_rmse,small,FFR,2,h2q,0.6954062284692578,80,0.7418260185179759,-6.257503631573319
mango_rmse,small,FFR,2,h4q,0.7448330876947976,80,0.7418260185179759,0.4053604351636569
mango_rmse,small,FFR,2,h8q,0.7981048133373826,80,0.7418260185179759,7.58652209743745
