model,model_size,variable,horizon_quarters,optimization_horizon,rmse,n
mango_mdd,small,DEFL,1,,20.277077045536394,80
mango_rmse,small,DEFL,1,h1q,20.340425653057967,80
mango_rmse,small,DEFL,1,h2q,20.374561201412718,80
mango_rmse,small,DEFL,1,h4q,20.35576347161772,80
mango_rmse,small,DEFL,1,h8q,20.327406959595532,80
mango_rmse_random,small,DEFL,1,h1q,20.31690886105842,80
mango_rmse_random,small,DEFL,1,h2q,20.318552967807854,80
mango_rmse_random,small,DEFL,1,h4q,20.291779696186186,80
mango_rmse_random,small,DEFL,1,h8q,20.29041063876844,80
paper,small,DEFL,1,,20.27529969447167,80
mango_mdd,small,DEFL,2,,20.29124156631393,80
mango_rmse,small,DEFL,2,h1q,20.409791926467086,80
mango_rmse,small,DEFL,2,h2q,20.47990521617668,80
mango_rmse,small,DEFL,2,h4q,20.4439383319699,80
mango_rmse,small,DEFL,2,h8q,20.39117458832499,80
mango_rmse_random,small,DEFL,2,h1q,20.37038626371065,80
mango_rmse_random,small,DEFL,2,h2q,20.369741422381576,80
mango_rmse_random,small,DEFL,2,h4q,20.32582843952138,80
mango_rmse_random,small,DEFL,2,h8q,20.32558791524931,80
paper,small,DEFL,2,,20.277882382721792,80
mango_mdd,small,DEFL,3,,20.31285354282468,80
mango_rmse,small,DEFL,3,h1q,20.48442083407769,80
mango_rmse,small,DEFL,3,h2q,20.593734951889555,80
mango_rmse,small,DEFL,3,h4q,20.54495566769303,80
mango_rmse,small,DEFL,3,h8q,20.45896456906512,80
mango_rmse_random,small,DEFL,3,h1q,20.432073521073228,80
mango_rmse_random,small,DEFL,3,h2q,20.431788678296126,80
mango_rmse_random,small,DEFL,3,h4q,20.37863085762485,80
mango_rmse_random,small,DEFL,3,h8q,20.376914224805432,80
paper,small,DEFL,3,,20.29270825130842,80
mango_mdd,small,DEFL,4,,20.354752026307256,80
mango_rmse,small,DEFL,4,h1q,20.569843763983844,80
mango_rmse,small,DEFL,4,h2q,20.720495601192617,80
mango_rmse,small,DEFL,4,h4q,20.663295288091764,80
mango_rmse,small,DEFL,4,h8q,20.54226104810152,80
mango_rmse_random,small,DEFL,4,h1q,20.513523769759058,80
mango_rmse_random,small,DEFL,4,h2q,20.51293951043981,80
mango_rmse_random,small,DEFL,4,h4q,20.453068890268074,80
mango_rmse_random,small,DEFL,4,h8q,20.45160587040694,80
paper,small,DEFL,4,,20.324162727510235,80
mango_mdd,small,DEFL,5,,20.425029947907976,80
mango_rmse,small,DEFL,5,h1q,20.677270127146837,80
mango_rmse,small,DEFL,5,h2q,20.867082706148352,80
mango_rmse,small,DEFL,5,h4q,20.805835062074443,80
mango_rmse,small,DEFL,5,h8q,20.647868823801975,80
mango_rmse_random,small,DEFL,5,h1q,20.622609037174307,80
mango_rmse_random,small,DEFL,5,h2q,20.622227324687408,80
mango_rmse_random,small,DEFL,5,h4q,20.565330823848274,80
mango_rmse_random,small,DEFL,5,h8q,20.56368491094414,80
paper,small,DEFL,5,,20.37618273710856,80
mango_mdd,small,DEFL,6,,20.52240625957801,80
mango_rmse,small,DEFL,6,h1q,20.80445109979852,80
mango_rmse,small,DEFL,6,h2q,21.028008861234706,80
mango_rmse,small,DEFL,6,h4q,20.968653213335518,80
mango_rmse,small,DEFL,6,h8q,20.775856667374924,80
mango_rmse_random,small,DEFL,6,h1q,20.755801772351365,80
mango_rmse_random,small,DEFL,6,h2q,20.753864001906766,80
mango_rmse_random,small,DEFL,6,h4q,20.712810008080535,80
mango_rmse_random,small,DEFL,6,h8q,20.71150419762985,80
paper,small,DEFL,6,,20.4517638865797,80
mango_mdd,small,DEFL,7,,20.640304956414212,80
mango_rmse,small,DEFL,7,h1q,20.944563110713336,80
mango_rmse,small,DEFL,7,h2q,21.199877172071492,80
mango_rmse,small,DEFL,7,h4q,21.14687687543272,80
mango_rmse,small,DEFL,7,h8q,20.91853603970157,80
mango_rmse_random,small,DEFL,7,h1q,20.909194076782708,80
mango_rmse_random,small,DEFL,7,h2q,20.905746264896653,80
mango_rmse_random,small,DEFL,7,h4q,20.88885313116652,80
mango_rmse_random,small,DEFL,7,h8q,20.886544202708436,80
paper,small,DEFL,7,,20.54734345843808,80
mango_mdd,small,DEFL,8,,20.78252928588271,80
mango_rmse,small,DEFL,8,h1q,21.10281808651503,80
mango_rmse,small,DEFL,8,h2q,21.387884940375375,80
mango_rmse,small,DEFL,8,h4q,21.344668743980684,80
mango_rmse,small,DEFL,8,h8q,21.08341495018693,80
mango_rmse_random,small,DEFL,8,h1q,21.08926557683365,80
mango_rmse_random,small,DEFL,8,h2q,21.081625288589056,80
mango_rmse_random,small,DEFL,8,h4q,21.093929651158746,80
mango_rmse_random,small,DEFL,8,h8q,21.091691248861572,80
paper,small,DEFL,8,,20.661180173882602,80
mango_mdd,small,FFR,1,,0.4081979392389609,80
mango_rmse,small,FFR,1,h1q,0.3767233663580363,80
mango_rmse,small,FFR,1,h2q,0.35397029406769004,80
mango_rmse,small,FFR,1,h4q,0.38048231696489637,80
mango_rmse,small,FFR,1,h8q,0.4142326124703277,80
mango_rmse_random,small,FFR,1,h1q,0.4172794015433265,80
