strategy,model_size,forecast_origin,target_quarter,horizon_quarters,variable,mean,actual,error,p05,p16,median,p84,p95
mango_rmse_random,small,2000-03-31,2000Q1,1,DEFL,466.0865393947581,434.80173185711334,31.28480753764478,465.6307442228986,465.79790373888665,466.09307817191825,466.3629916937353,466.5421401364549
mango_rmse_random,small,2000-03-31,2000Q2,2,DEFL,466.63878186714396,435.4231401429961,31.215641724147872,465.80601047067694,466.1532378036177,466.6407462627228,467.1178614355289,467.4361346555074
mango_rmse_random,small,2000-03-31,2000Q3,3,DEFL,467.26422165804854,436.0074949806811,31.256726677367453,466.02321949907747,466.5447684934107,467.26831880412874,467.9847286119462,468.4766813474764
mango_rmse_random,small,2000-03-31,2000Q4,4,DEFL,467.95143553469876,436.5490666033782,31.402368931320552,466.20816240519883,466.9654542541672,467.954278938825,468.92150048170924,469.661797490436
mango_rmse_random,small,2000-03-31,2001Q1,5,DEFL,468.6837283988987,437.2026802595548,31.481048139343898,466.39950677346076,467.40306904448903,468.71714392314306,469.97055137408336,470.8105147474985
mango_rmse_random,small,2000-03-31,2001Q2,6,DEFL,469.46611067550754,437.8056263169986,31.66048435850894,466.5952071188364,467.8451638633848,469.49241890251005,471.1105706475766,472.0813615191347
mango_rmse_random,small,2000-03-31,2001Q3,7,DEFL,470.29064451836234,438.197663342384,32.092981175978366,466.8593312196486,468.2833958100735,470.33786821816136,472.3031411214782,473.50037066131205
mango_rmse_random,small,2000-03-31,2001Q4,8,DEFL,471.1565763309187,438.50844547731197,32.648130853606744,467.16467593247387,468.80241573374406,471.23690671028567,473.56404463784105,474.9768445492613
mango_rmse_random,small,2000-03-31,2000Q1,1,FFR,5.539355159515976,5.676666666666667,-0.13731150715069074,3.9896183368879146,4.5691970968069855,5.5367983144719695,6.500775840998077,7.206921031506887
mango_rmse_random,small,2000-03-31,2000Q2,2,FFR,5.718017806516542,6.273333333333333,-0.5553155268167913,3.2984155365669836,4.220713084367679,5.704056217583538,7.246530824623728,8.243956049799547
mango_rmse_random,small,2000-03-31,2000Q3,3,FFR,5.834486898034809,6.52,-0.6855131019651903,3.075195936668344,4.086094695436341,5.78816593494829,7.6450761676346355,8.85391865717547
mango_rmse_random,small,2000-03-31,2000Q4,4,FFR,5.927259473346756,6.473333333333334,-0.5460738599865778,2.61835357070507,3.956445494682351,5.875120934221652,7.893026915945508,9.341406031336147
mango_rmse_random,small,2000-03-31,2001Q1,5,FFR,6.030642344173213,5.593333333333334,0.43730901083987916,2.292442841921108,3.7996010033423167,6.015453676295515,8.311272480072885,9.758398934108921
mango_rmse_random,small,2000-03-31,2001Q2,6,FFR,6.089697992614152,4.326666666666667,1.7630313259474848,1.8129750776257285,3.6579363917780894,6.131143983306688,8.493786574915214,10.126317985835225
mango_rmse_random,small,2000-03-31,2001Q3,7,FFR,6.136762408524141,3.4966666666666666,2.640095741857474,1.5915636918318716,3.4577295444972314,6.130568098289091,8.787216025875916,10.572267840656638
mango_rmse_random,small,2000-03-31,2001Q4,8,FFR,6.22406053264669,2.1333333333333333,4.090727199313356,1.485203768449462,3.3988301443332976,6.228963329047195,9.010872352381218,10.897473763973895
mango_rmse_random,small,2000-03-31,2000Q1,1,GDP,911.9351906136665,946.771157645587,-34.83596703192052,910.6581677599906,911.1602880210777,911.9101836342113,912.7202502565113,913.3259927309216
mango_rmse_random,small,2000-03-31,2000Q2,2,GDP,912.9659753235069,948.5753664798251,-35.609391156318225,910.9555487863154,911.7391003609198,912.9479604792255,914.1823688133807,915.0496427407962
mango_rmse_random,small,2000-03-31,2000Q3,3,GDP,913.9396414496961,948.6750908667843,-34.73544941708826,911.2777571060325,912.3182674769567,913.8752316809678,915.5538920216276,916.6445049461237
mango_rmse_random,small,2000-03-31,2000Q4,4,GDP,914.877896257325,949.2676932603196,-34.389797002994555,911.4439776252858,912.8136950127233,914.892434853043,916.8841689180073,918.2480211848538
mango_rmse_random,small,2000-03-31,2001Q1,5,GDP,915.7485267241391,948.9429455219695,-33.194418797830394,911.6215677585135,913.3372199453235,915.7701043344379,918.1976989481831,919.7907601051431
mango_rmse_random,small,2000-03-31,2001Q2,6,GDP,916.6290352317745,949.5624120747524,-32.93337684297785,911.8690251034602,913.9514026513627,916.6687744237215,919.4495531731512,921.1588210677469
mango_rmse_random,small,2000-03-31,2001Q3,7,GDP,917.5345469723702,949.1612595166631,-31.6267125442929,912.0860172265275,914.3974879263947,917.6102628278826,920.6860387612398,922.8281473013318
mango_rmse_random,small,2000-03-31,2001Q4,8,GDP,918.4102705214067,949.4381900682963,-31.02791954688962,912.4902175235349,914.918470927095,918.4429478906673,921.8511382722633,924.3313173176756
mango_rmse_random,small,2000-06-30,2000Q2,1,DEFL,467.23239340812773,435.4231401429961,31.809253265131645,466.4049018588808,466.71734183822974,467.2433224237544,467.74578020386775,468.05116471286914
mango_rmse_random,small,2000-06-30,2000Q3,2,DEFL,468.17986981576985,436.0074949806811,32.17237483508876,467.01010383519645,467.43802887484804,468.19531963088514,468.9205061672602,469.3368278216534
mango_rmse_random,small,2000-06-30,2000Q4,3,DEFL,469.14721331109735,436.5490666033782,32.59814670771914,467.5963503987518,468.1899446871078,469.1632868886828,470.08676450666127,470.61808038987556
mango_rmse_random,small,2000-06-30,2001Q1,4,DEFL,470.1443985300626,437.2026802595548,32.94171827050775,468.3213006345373,469.0228652727711,470.157698398367,471.2486581636282,471.92949947858904
mango_rmse_random,small,2000-06-30,2001Q2,5,DEFL,471.1778024799405,437.8056263169986,33.37217616294191,469.00229848117505,469.9293703659031,471.18308903050365,472.4622527936069,473.1568963583237
mango_rmse_random,small,2000-06-30,2001Q3,6,DEFL,472.2166204831951,438.197663342384,34.0189571408111,469.74357023128516,470.75666294730536,472.2217461299818,473.67183890254995,474.4789680101913
mango_rmse_random,small,2000-06-30,2001Q4,7,DEFL,473.27227812700374,438.50844547731197,34.76383264969178,470.56908588947954,471.6703492295477,473.2940454738224,474.90451390114106,475.89893868440424
mango_rmse_random,small,2000-06-30,2002Q1,8,DEFL,474.3545633841398,438.83068726310324,35.52387612103655,471.35893574494776,472.5913381621736,474.3970767663518,476.1257205931145,477.27005581668845
mango_rmse_random,small,2000-06-30,2000Q2,1,FFR,5.883585585084031,6.273333333333333,-0.38974774824930236,4.292429800685485,4.877755262377253,5.8852924381488005,6.846129287647012,7.587608927122797
mango_rmse_random,small,2000-06-30,2000Q3,2,FFR,6.0511064879822,6.52,-0.4688935120177993,3.692760550146882,4.641867831967063,6.039465999328948,7.506699221163543,8.414048057639292
mango_rmse_random,small,2000-06-30,2000Q4,3,FFR,6.22180008966204,6.473333333333334,-0.25153324367129404,3.4049390314925527,4.5311384989291765,6.210591674619525,7.943828011480132,9.228097003134058
mango_rmse_random,small,2000-06-30,2001Q1,4,FFR,6.40193315487266,5.593333333333334,0.8085998215393264,3.190410938937108,4.4696201136925024,6.390458266543975,8.325583675151275,9.68312470868349
mango_rmse_random,small,2000-06-30,2001Q2,5,FFR,6.591717882336829,4.326666666666667,2.2650512156701623,2.9313013584553858,4.448867561260182,6.497552672239777,8.79268424643939,10.370713614531969
mango_rmse_random,small,2000-06-30,2001Q3,6,FFR,6.747818070207259,3.4966666666666666,3.2511514035405926,2.8736499868142773,4.424597893324038,6.682055501580901,9.145636824966644,10.798459821628626
mango_rmse_random,small,2000-06-30,2001Q4,7,FFR,6.873568735549413,2.1333333333333333,4.740235402216079,2.644097920430357,4.286539188998978,6.8076917489954525,9.512229535448235,11.264321495308943
mango_rmse_random,small,2000-06-30,2002Q1,8,FFR,7.011491995830372,1.7333333333333334,5.278158662497039,2.276584298909145,4.189611548392361,7.036937718105996,9.80590452231216,11.65699729595148
mango_rmse_random,small,2000-06-30,2000Q2,1,GDP,913.2375031573998,948.5753664798251,-35.33786332242528,911.7558226054941,912.3188304317558,913.2002194022812,914.1870025769251,914.8517591075691
mango_rmse_random,small,2000-06-30,2000Q3,2,GDP,914.228538528857,948.6750908667843,-34.4465523379273,912.0342643775699,912.8528891079551,914.1969497615621,915.5992975614985,916.4961130882552
mango_rmse_random,small,2000-06-30,2000Q4,3,GDP,915.1926025726667,949.2676932603196,-34.075090687652846,912.447424340215,913.595278707471,915.1876992061127,916.8554249385805,917.8520883548234
mango_rmse_random,small,2000-06-30,2001Q1,4,GDP,916.1544298776988,948.9429455219695,-32.78851564427066,913.0551902400196,914.2901194985994,916.166455205477,918.0571093727369,919.1276993418447
mango_rmse_random,small,2000-06-30,2001Q2,5,GDP,917.0740171418466,949.5624120747524,-32.48839493290575,913.6071459278558,914.9450741363279,917.0858209811736,919.1933146473547,920.6336902117503
mango_rmse_random,small,2000-06-30,2001Q3,6,GDP,917.9842593227078,949.1612595166631,-31.177000193955337,913.9597066164188,915.6125566456708,917.9842900288263,920.3481200350071,921.8102080800656
mango_rmse_random,small,2000-06-30,2001Q4,7,GDP,918.9185498402502,949.4381900682963,-30.519640228046114,914.5162002233271,916.2511477514081,918.9112714256056,921.5947902141047,923.2610508962596
mango_rmse_random,small,2000-06-30,2002Q1,8,GDP,919.7999157521049,950.2630063031164,-30.463090551011533,914.927718360543,916.9573146744316,919.7753162597517,922.6267618520892,924.5338908291878
mango_rmse_random,small,2000-09-30,2000Q3,1,DEFL,467.716543530544,436.0074949806811,31.709048549862928,467.25753559982496,467.4253609145831,467.71781796483236,468.0062060791282,468.1941314389702
mango_rmse_random,small,2000-09-30,2000Q4,2,DEFL,468.4750494875186,436.5490666033782,31.92598288414041,467.6641090412368,467.9698158434554,468.4841697444602,468.97218030733666,469.29121439931447
mango_rmse_random,small,2000-09-30,2001Q1,3,DEFL,469.2742248799285,437.2026802595548,32.071544620373686,468.01659063759416,468.51251886804846,469.28784992059803,470.00174160807114,470.52900687014466
mango_rmse_random,small,2000-09-30,2001Q2,4,DEFL,470.08979184079504,437.8056263169986,32.284165523796446,468.33565386704976,469.0772623863089,470.117175873001,471.0597196947358,471.77884780997823
mango_rmse_random,small,2000-09-30,2001Q3,5,DEFL,470.93443195186245,438.197663342384,32.736768609478474,468.659764941775,469.593111024365,470.984137715821,472.1963824222127,473.12962065444106
mango_rmse_random,small,2000-09-30,2001Q4,6,DEFL,471.7870547113121,438.50844547731197,33.27860923400016,468.95115704328913,470.0874345361984,471.8654892165244,473.42603742268005,474.4735324556171
mango_rmse_random,small,2000-09-30,2002Q1,7,DEFL,472.6411861307322,438.83068726310324,33.81049886762895,469.2402055810245,470.56468796415294,472.7482988089333,474.6481326036565,475.8886557956067
mango_rmse_random,small,2000-09-30,2002Q2,8,DEFL,473.51753929710407,439.17665473510937,34.3408845619947,469.46995128082114,471.0404523354949,473.5959664704209,475.8751902117163,477.43323652270266
mango_rmse_random,small,2000-09-30,2000Q3,1,FFR,6.751203645082051,6.52,0.2312036450820516,5.3168946906355465,5.857364896361725,6.753275526762728,7.621838235845605,8.21063789375517
mango_rmse_random,small,2000-09-30,2000Q4,2,FFR,6.866900548471647,6.473333333333334,0.3935672151383134,4.722960247541624,5.4495541312175,6.844135807525259,8.282121908092483,9.144688033049135
