forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu
2000-03-31,mango_rmse_random,small,1999Q4,164,0.40901814627512234,0.3645092594151994,14.093025842025979
2000-06-30,mango_rmse_random,small,2000Q1,183,0.023607166865318885,49.994136414371596,27.241073205594294
2000-09-30,mango_rmse_random,small,2000Q2,184,0.9261480858142462,19.77517268517807,5.0430412342141375
2000-12-31,mango_rmse_random,small,2000Q3,185,0.021555182260912097,34.0875948877726,48.14381424953012
2001-03-31,mango_rmse_random,small,2000Q4,186,4.980952138105682,2.2989424828976373,1.3939824794351345
2001-06-30,mango_rmse_random,small,2001Q1,187,0.6448081451646197,12.370672892422833,0.003088417643994931
2001-09-30,mango_rmse_random,small,2001Q2,188,4.793492202798623,0.031102070909999294,25.708758925298728
2001-12-31,mango_rmse_random,small,2001Q3,189,0.002198996707831731,20.499536630927768,25.22758057559244
2002-03-31,mango_rmse_random,small,2001Q4,190,0.6198559380303632,23.611701800551852,6.489690898490474
2002-06-30,mango_rmse_random,small,2002Q1,191,0.03208809853387252,0.05024724675216976,39.30978748690444
2002-09-30,mango_rmse_random,small,2002Q2,192,0.7043914483068114,22.996311133615983,6.528401150862305
2002-12-31,mango_rmse_random,small,2002Q3,193,1.895995533696126,22.903816256377777,0.5464273953560776
2003-03-31,mango_rmse_random,small,2002Q4,194,4.965174078463136,0.20605568650193712,0.28966435224627224
2003-06-30,mango_rmse_random,small,2003Q1,195,0.00973321142966609,36.12203546981351,17.20090878148923
2003-09-30,mango_rmse_random,small,2003Q2,196,0.010432098092695656,0.008765211609561206,26.3438035650604
2003-12-31,mango_rmse_random,small,2003Q3,197,2.5912212588722046,6.530792483886914,11.625943893983878
2004-03-31,mango_rmse_random,small,2003Q4,198,4.994270317481448,0.1612418584058544,14.208502923245343
2004-06-30,mango_rmse_random,small,2004Q1,199,0.07411853144369583,29.81524976350349,34.88825148102533
2004-09-30,mango_rmse_random,small,2004Q2,200,0.09873482902922527,28.23166757667954,45.16604046293811
2004-12-31,mango_rmse_random,small,2004Q3,201,0.09112086370065738,8.128935713596839,5.185941841867063
2005-03-31,mango_rmse_random,small,2004Q4,202,4.270015770801141,0.3552813185195083,0.0882389805762416
2005-06-30,mango_rmse_random,small,2005Q1,203,0.9111784237375372,19.363317098939955,5.6674715551835435
