strategy,model_size,forecast_origin,target_quarter,horizon_quarters,variable,mean,actual,error,p05,p16,median,p84,p95
mango_mdd,small,2000-03-31,2000Q1,1,DEFL,466.0047935182919,434.80173185711334,31.203061661178538,465.55473483618937,465.7153080750498,466.0137291907482,466.27314765053785,466.4659999331289
mango_mdd,small,2000-03-31,2000Q2,2,DEFL,466.4355781733132,435.4231401429961,31.012438030317128,465.6309034105831,465.93912108089796,466.4453759538785,466.9350912805496,467.23392328122907
mango_mdd,small,2000-03-31,2000Q3,3,DEFL,466.914489794088,436.0074949806811,30.906994813406925,465.68944608754816,466.1557060179589,466.9241494785638,467.6465505945268,468.14545652107813
mango_mdd,small,2000-03-31,2000Q4,4,DEFL,467.41801757400964,436.5490666033782,30.86895097063143,465.7343811243438,466.4055993946433,467.43301432962926,468.4159939249003,469.14315944755
mango_mdd,small,2000-03-31,2001Q1,5,DEFL,467.92052958336086,437.2026802595548,30.717849323806035,465.6674236418847,466.6128193460753,467.9038949281768,469.2740226704181,470.12420835663653
mango_mdd,small,2000-03-31,2001Q2,6,DEFL,468.4373436928356,437.8056263169986,30.631717375837013,465.5924527814975,466.7599896709403,468.47108512628154,470.11004126700027,471.1292728504434
mango_mdd,small,2000-03-31,2001Q3,7,DEFL,468.9582698533575,438.197663342384,30.760606510973503,465.5981381314248,466.9350245764913,468.99541661937513,471.04040432328185,472.288188306184
mango_mdd,small,2000-03-31,2001Q4,8,DEFL,469.48238771780166,438.50844547731197,30.97394224048969,465.49308846497576,467.1765546582196,469.49073131572544,471.9059149156951,473.3872435494489
mango_mdd,small,2000-03-31,2000Q1,1,FFR,5.586290650209362,5.676666666666667,-0.09037601645730486,4.054584745874315,4.66196736654622,5.601484377286715,6.475951141620517,7.2033542171096
mango_mdd,small,2000-03-31,2000Q2,2,FFR,5.831728743004037,6.273333333333333,-0.44160459032929644,3.487544709263765,4.414196258187007,5.824074123139427,7.293318405313227,8.260893447263815
mango_mdd,small,2000-03-31,2000Q3,3,FFR,5.925356826010432,6.52,-0.5946431739895672,3.1556216765142175,4.2618766779488695,5.923910206324749,7.648007141412822,8.76801597817345
mango_mdd,small,2000-03-31,2000Q4,4,FFR,5.951324400995429,6.473333333333334,-0.5220089323379042,2.67703614468255,4.058843732858146,5.95467880152015,7.8951955833181335,9.29266265833847
mango_mdd,small,2000-03-31,2001Q1,5,FFR,5.991098828208147,5.593333333333334,0.3977654948748137,2.465775185943382,3.83221916731853,5.985167652001227,8.154337415021901,9.632332824797302
mango_mdd,small,2000-03-31,2001Q2,6,FFR,5.975351847593344,4.326666666666667,1.6486851809266767,2.1019378698128444,3.6578277339265215,5.972916796361147,8.258741337875394,9.93737501648597
mango_mdd,small,2000-03-31,2001Q3,7,FFR,5.918053462733018,3.4966666666666666,2.421386796066351,1.6781433097663419,3.448074113369951,5.893895529679534,8.466072314419742,10.281655800832233
mango_mdd,small,2000-03-31,2001Q4,8,FFR,5.884431834161589,2.1333333333333333,3.7510985008282556,1.3756062588035327,3.2644545016624575,5.837287361918154,8.587853920848877,10.286183815072494
mango_mdd,small,2000-03-31,2000Q1,1,GDP,911.9348654055741,946.771157645587,-34.83629224001288,910.6859623433157,911.177336259383,911.9072607661135,912.7056374255973,913.2545403096321
mango_mdd,small,2000-03-31,2000Q2,2,GDP,912.9532024938063,948.5753664798251,-35.62216398601879,911.0784212968009,911.7534691945457,912.9411081000194,914.1389401028857,914.8898185927364
mango_mdd,small,2000-03-31,2000Q3,3,GDP,913.871234481121,948.6750908667843,-34.80385638566338,911.3530890436308,912.3142516971517,913.889820326749,915.3854115291319,916.4386680488063
mango_mdd,small,2000-03-31,2000Q4,4,GDP,914.7611917743282,949.2676932603196,-34.50650148599141,911.5685863791646,912.8846785115543,914.8079839499915,916.6191864601119,917.826660908064
mango_mdd,small,2000-03-31,2001Q1,5,GDP,915.579784973546,948.9429455219695,-33.36316054842348,911.8875794746573,913.3949825419955,915.6092923098845,917.8019167202499,919.1166158353027
mango_mdd,small,2000-03-31,2001Q2,6,GDP,916.4211351100681,949.5624120747524,-33.141276964684266,912.2149412041628,914.0196816752089,916.4848545850984,918.891101540048,920.4364220472405
mango_mdd,small,2000-03-31,2001Q3,7,GDP,917.2890703810156,949.1612595166631,-31.872189135647545,912.7439139317703,914.5216541383164,917.2751250553179,920.0826500242912,921.8155975515425
mango_mdd,small,2000-03-31,2001Q4,8,GDP,918.1262350146554,949.4381900682963,-31.311955053640872,913.2415748416619,915.1557962165135,918.164611879632,920.9636064078758,923.097231303421
mango_mdd,small,2000-06-30,2000Q2,1,DEFL,466.9010839838284,435.4231401429961,31.477943840832324,466.4232869237472,466.6033418753749,466.9066478389131,467.18714839717165,467.3669583113896
mango_mdd,small,2000-06-30,2000Q3,2,DEFL,467.5560535540136,436.0074949806811,31.548558573332514,466.73051339728437,467.0254293380315,467.5756560914138,468.0712995409236,468.36795737035277
mango_mdd,small,2000-06-30,2000Q4,3,DEFL,468.2747660836107,436.5490666033782,31.725699480232493,467.0239030434413,467.4804843603593,468.2820450954531,469.0272192752531,469.5079859733598
mango_mdd,small,2000-06-30,2001Q1,4,DEFL,469.034070585628,437.2026802595548,31.831390326073176,467.2816587681431,467.9957021486087,469.0476669007901,470.05077432293126,470.75484716824593
mango_mdd,small,2000-06-30,2001Q2,5,DEFL,469.8030183316288,437.8056263169986,31.99739201463018,467.5381288279796,468.4495685518016,469.8306569511883,471.15712447899176,471.96920039155196
mango_mdd,small,2000-06-30,2001Q3,6,DEFL,470.58551759018286,438.197663342384,32.387854247798884,467.69645234556884,468.87617118462424,470.62446409525,472.28165335220234,473.35219446740626
mango_mdd,small,2000-06-30,2001Q4,7,DEFL,471.37018402723146,438.50844547731197,32.861738549919494,467.9023637262934,469.2827612251572,471.42563240720665,473.3917741603875,474.652782640677
mango_mdd,small,2000-06-30,2002Q1,8,DEFL,472.1651224994816,438.83068726310324,33.33443523637834,468.06782563851834,469.7095165715692,472.1878085360409,474.60690994061764,476.1121631872558
mango_mdd,small,2000-06-30,2000Q2,1,FFR,6.300536999771484,6.273333333333333,0.027203666438150975,4.911654639381095,5.431995915282599,6.305506770048373,7.138796409862291,7.787867186830707
mango_mdd,small,2000-06-30,2000Q3,2,FFR,6.710117001227475,6.52,0.19011700122747577,4.527170213212664,5.357265294474822,6.691855967523754,8.056050637707585,9.052133679113258
mango_mdd,small,2000-06-30,2000Q4,3,FFR,6.736944900950432,6.473333333333334,0.26361156761709825,3.9849042820406946,5.106432123780181,6.696796601546305,8.353362571056978,9.572107745399638
mango_mdd,small,2000-06-30,2001Q1,4,FFR,6.769753855690141,5.593333333333334,1.176420522356807,3.624074942992144,4.864770081265346,6.810187708690002,8.695080721499668,9.945673351792212
mango_mdd,small,2000-06-30,2001Q2,5,FFR,6.905636486057645,4.326666666666667,2.578969819390978,3.2982458284137666,4.864361325993932,6.815515769597109,9.039087714019244,10.537572632237588
mango_mdd,small,2000-06-30,2001Q3,6,FFR,6.948672442545869,3.4966666666666666,3.452005775879202,2.990120559162223,4.688797916726261,6.900014177260568,9.273250534281326,10.904201126551165
mango_mdd,small,2000-06-30,2001Q4,7,FFR,6.888649155103928,2.1333333333333333,4.755315821770594,2.70858506665833,4.428513210188846,6.876732258023141,9.34187346923523,10.958510276102821
mango_mdd,small,2000-06-30,2002Q1,8,FFR,6.883228223206807,1.7333333333333334,5.149894889873473,2.5372258999563555,4.264509235235883,6.891120806149196,9.574470318673006,11.292342780178082
mango_mdd,small,2000-06-30,2000Q2,1,GDP,913.4752573390864,948.5753664798251,-35.10010914073871,912.1559939256006,912.6351838356138,913.431796886057,914.3203714735957,914.9290570697087
mango_mdd,small,2000-06-30,2000Q3,2,GDP,914.4752569353207,948.6750908667843,-34.19983393146367,912.2703569652979,913.1595241128013,914.430337422271,915.8002351138381,916.76405117142
mango_mdd,small,2000-06-30,2000Q4,3,GDP,915.2170162967844,949.2676932603196,-34.050676963535125,912.3342832064699,913.5067002217597,915.2553094703346,916.9397963156229,918.0594959150784
mango_mdd,small,2000-06-30,2001Q1,4,GDP,915.9758855077346,948.9429455219695,-32.9670600142349,912.6398765459165,913.9002291557656,915.9532951341748,918.0174797088739,919.2809801875486
mango_mdd,small,2000-06-30,2001Q2,5,GDP,916.733424147697,949.5624120747524,-32.82898792705544,912.6754729873741,914.4085049931148,916.7802466910157,919.0646234901832,920.6840960195062
mango_mdd,small,2000-06-30,2001Q3,6,GDP,917.5023729431762,949.1612595166631,-31.65888657348694,912.7335772832691,914.7421749187899,917.5441786242118,920.2004852610474,921.9721903052136
mango_mdd,small,2000-06-30,2001Q4,7,GDP,918.3112679872379,949.4381900682963,-31.12692208105841,912.979134272968,915.2857495803788,918.2883723492207,921.367838361589,923.4381535579392
mango_mdd,small,2000-06-30,2002Q1,8,GDP,919.1182659645318,950.2630063031164,-31.144740338584597,913.510180297887,915.7317698807417,919.1075944708404,922.3789599402214,924.6870940210018
