strategy,model_size,forecast_origin,target_quarter,horizon_quarters,variable,mean,actual,error,p05,p16,median,p84,p95
paper,small,2000-03-31,2000Q1,1,DEFL,466.0169627714857,434.80173185711334,31.21523091437234,465.59053443185365,465.7623034155059,466.01194471050087,466.2733630413936,466.44139732192906
paper,small,2000-03-31,2000Q2,2,DEFL,466.4563114761215,435.4231401429961,31.033171333125438,465.6657035692261,465.9865162841327,466.4654368434529,466.9210643461064,467.22224084165947
paper,small,2000-03-31,2000Q3,3,DEFL,466.9529638509516,436.0074949806811,30.94546887027053,465.803026338688,466.23650200744584,466.9623325845074,467.6506792414618,468.1392378968411
paper,small,2000-03-31,2000Q4,4,DEFL,467.4747109285282,436.5490666033782,30.925644325150017,465.8936652321964,466.5184688457092,467.46423649222254,468.45748602488305,469.09989241666784
paper,small,2000-03-31,2001Q1,5,DEFL,467.99630889846856,437.2026802595548,30.79362863891373,465.8909028926702,466.7426406350067,467.9785091060619,469.3062281441885,470.1123640361398
paper,small,2000-03-31,2001Q2,6,DEFL,468.5312274289595,437.8056263169986,30.725601111960884,465.8955319418961,466.99032891967255,468.50858355607863,470.1413160777858,471.2185755871102
paper,small,2000-03-31,2001Q3,7,DEFL,469.0807036108301,438.197663342384,30.88304026844611,465.8905457422613,467.1722457735502,469.0389726404985,471.02709679540084,472.32269257573216
paper,small,2000-03-31,2001Q4,8,DEFL,469.6487904506355,438.50844547731197,31.140344973323522,465.8718926560047,467.42392104955724,469.59150462996206,471.93969165940706,473.499612177301
paper,small,2000-03-31,2000Q1,1,FFR,5.487406146500382,5.676666666666667,-0.18926052016628514,4.044541729914578,4.614843380683936,5.505275224747445,6.34783598910114,6.912828373547117
paper,small,2000-03-31,2000Q2,2,FFR,5.66612715252382,6.273333333333333,-0.6072061808095137,3.550227132752038,4.3556516668366365,5.675939336878873,7.003080866399423,7.8918409677759485
paper,small,2000-03-31,2000Q3,3,FFR,5.73581664941923,6.52,-0.7841833505807694,3.0096544685543907,4.057132889853545,5.749060003646978,7.410643739756868,8.43036134180285
paper,small,2000-03-31,2000Q4,4,FFR,5.71420882283245,6.473333333333334,-0.7591245105008833,2.5818195793937546,3.816421081556893,5.698310712390466,7.600826021792609,8.939576471673497
paper,small,2000-03-31,2001Q1,5,FFR,5.713730874120386,5.593333333333334,0.12039754078705212,2.0529792839307297,3.519356404739486,5.725959848728111,7.81470563868862,9.382129226295119
paper,small,2000-03-31,2001Q2,6,FFR,5.72528101242127,4.326666666666667,1.398614345754603,1.8006129249511575,3.335184764783358,5.767056221363111,7.989544962345004,9.609543349748197
paper,small,2000-03-31,2001Q3,7,FFR,5.66470162169283,3.4966666666666666,2.168034955026163,1.4719214752446068,3.1842993287483488,5.738016169759585,8.07334572906326,9.651580221261
paper,small,2000-03-31,2001Q4,8,FFR,5.628759462215652,2.1333333333333333,3.4954261288823187,1.1944804043439194,2.9674152658089117,5.620954943118976,8.222467284071461,9.958787425835446
paper,small,2000-03-31,2000Q1,1,GDP,911.9318006884099,946.771157645587,-34.839356957177074,910.6409614798275,911.1862858944168,911.9228943690828,912.6804089063831,913.1691445103277
paper,small,2000-03-31,2000Q2,2,GDP,912.9543317714321,948.5753664798251,-35.62103470839304,911.0050085370434,911.7796084041348,912.9867338708079,914.099461362419,914.8283773478371
paper,small,2000-03-31,2000Q3,3,GDP,913.8911455168218,948.6750908667843,-34.78394534996255,911.3791886557667,912.3802921717477,913.919901091408,915.434016410926,916.3220711568318
paper,small,2000-03-31,2000Q4,4,GDP,914.8141284804911,949.2676932603196,-34.45356477982841,911.7708809820443,912.9451621013989,914.7771031815537,916.6216145189251,917.8577260202356
paper,small,2000-03-31,2001Q1,5,GDP,915.6886076463031,948.9429455219695,-33.25433787566635,912.0684303216369,913.4234621536938,915.6886279663623,917.8323335085335,919.1794441811688
paper,small,2000-03-31,2001Q2,6,GDP,916.5606283208799,949.5624120747524,-33.00178375387247,912.5540755650767,914.0348908136474,916.6040076407887,919.041147683188,920.6181833456698
paper,small,2000-03-31,2001Q3,7,GDP,917.4715438684632,949.1612595166631,-31.689715648199922,912.9302269897472,914.6529745646366,917.4649413014173,920.2686442468254,921.9854920536092
paper,small,2000-03-31,2001Q4,8,GDP,918.3880907370348,949.4381900682963,-31.05009933126155,913.5600361890645,915.4506996194481,918.3346204902386,921.3823506479487,923.319144665795
