forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu
2000-03-31,paper,small,1999Q4,164,0.6099112725733801,0.8040094036639972,0.2854699646409142
2000-06-30,paper,small,2000Q1,183,0.5738236226621247,0.7300510508249392,0.11755447944528878
2000-09-30,paper,small,2000Q2,184,0.5742455209673991,0.7342723803215869,0.11754422991049787
2000-12-31,paper,small,2000Q3,185,0.5749221269141012,0.7342786403098636,0.11817719144057347
2001-03-31,paper,small,2000Q4,186,0.5768916180547602,0.7319304172160839,0.11852206237847082
2001-06-30,paper,small,2001Q1,187,0.5788255143248672,0.7365198144408232,0.11851723286726176
2001-09-30,paper,small,2001Q2,188,0.5770488016146473,0.7328505790627824,0.11887393482893177
2001-12-31,paper,small,2001Q3,189,0.5748089949137837,0.7278037684347234,0.11809444479835342
2002-03-31,paper,small,2001Q4,190,0.575516794621567,0.7257177335725267,0.11761640244210109
2002-06-30,paper,small,2002Q1,191,0.5741083965862133,0.7330950031627852,0.11816517736767858
2002-09-30,paper,small,2002Q2,192,0.5737253359383835,0.7063162478998193,0.11699921455068837
2002-12-31,paper,small,2002Q3,193,0.5745237442173804,0.7045286108504495,0.11705324870555077
2003-03-31,paper,small,2002Q4,194,0.5726501952402673,0.701814776734286,0.11535285556366993
2003-06-30,paper,small,2003Q1,195,0.5732537318152647,0.7006113845620875,0.11352638431702484
2003-09-30,paper,small,2003Q2,196,0.5738249837220979,0.6972162857964472,0.11387261721846365
2003-12-31,paper,small,2003Q3,197,0.5831797208402687,0.7190359333732359,0.11019765044450269
2004-03-31,paper,small,2003Q4,198,0.5846624677229549,0.7209610519614953,0.10870578976078149
2004-06-30,paper,small,2004Q1,199,0.5832498731278944,0.7245842919795047,0.10602420250698506
2004-09-30,paper,small,2004Q2,200,0.5831590195978672,0.725499593321938,0.10347845235814451
2004-12-31,paper,small,2004Q3,201,0.5808722069134117,0.7246320535066472,0.10396769311279162
2005-03-31,paper,small,2004Q4,202,0.5816445001563184,0.7238661036171385,0.10490332517958462
2005-06-30,paper,small,2005Q1,203,0.5807699625250123,0.7237551652070575,0.1062121740885797
2005-09-30,paper,small,2005Q2,204,0.571584560618242,0.7172214293258119,0.10601088094209386
2005-12-31,paper,small,2005Q3,205,0.5715855987194198,0.7200725445361876,0.10674808762455763
2006-03-31,paper,small,2005Q4,206,0.5729875592835337,0.7167270586835108,0.10731096173367738
2006-06-30,paper,small,2006Q1,207,0.5723168484726288,0.7209122973945739,0.10854546783991847
2006-09-30,paper,small,2006Q2,208,0.5746287529431965,0.715135647523123,0.10903754902653787
2006-12-31,paper,small,2006Q3,209,0.5735972656300246,0.7098662844138813,0.11041317644482453
2007-03-31,paper,small,2006Q4,210,0.5734124199216478,0.7077971911366756,0.11142577031205683
2007-06-30,paper,small,2007Q1,211,0.5729749998394912,0.7084811627884181,0.1111063819589436
2007-09-30,paper,small,2007Q2,212,0.5748173837794266,0.7028050375367135,0.11190385644016852
2007-12-31,paper,small,2007Q3,213,0.5759669168419729,0.7050523137138119,0.11250870702267986
2008-03-31,paper,small,2007Q4,214,0.5776043222801149,0.7052801793820833,0.11251693561318758
2008-06-30,paper,small,2008Q1,215,0.5811504898638231,0.7087092854418373,0.11140850954411186
2008-09-30,paper,small,2008Q2,216,0.5801441895512353,0.7071647125349366,0.11112714024531467
2008-12-31,paper,small,2008Q3,217,0.5749561413410482,0.7060354168901045,0.11040315783622405
2009-03-31,paper,small,2008Q4,218,0.5596365977321422,0.6859283959668896,0.10855118209775738
2009-06-30,paper,small,2009Q1,219,0.5602671373351276,0.6571650912762556,0.11126499401304926
2009-09-30,paper,small,2009Q2,220,0.5553500119990972,0.6075637408174617,0.11700934454951446
2009-12-31,paper,small,2009Q3,221,0.5506870004818871,0.5993398613518426,0.11927347061056666
2010-03-31,paper,small,2009Q4,222,0.5492196426608238,0.6151972311830509,0.11919250278514483
2010-06-30,paper,small,2010Q1,223,0.5468899652005742,0.6167148926588553,0.11841546163014369
2010-09-30,paper,small,2010Q2,224,0.5383620718535682,0.6028962215798673,0.11873799668578583
