forecast_origin,group,strategy,lambda1_1,lambda2_1,lambda3_1,lambda4_1,lambda5_1
1997-07-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
1997-08-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
1997-09-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
1997-10-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
1997-11-30,+1 month,paper,0.09,4.3,1.0,2.7,4.3
1997-12-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
1998-01-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
1998-02-28,+1 month,paper,0.09,4.3,1.0,2.7,4.3
1998-03-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
1998-04-30,+0 months,paper,0.09,4.3,1.0,2.7,4.3
1998-05-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
1998-06-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
1998-07-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
1998-08-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
1998-09-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
1998-10-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
1998-11-30,+1 month,paper,0.09,4.3,1.0,2.7,4.3
1998-12-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
1999-01-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
1999-02-28,+1 month,paper,0.09,4.3,1.0,2.7,4.3
1999-03-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
1999-04-30,+0 months,paper,0.09,4.3,1.0,2.7,4.3
1999-05-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
1999-06-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
1999-07-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
1999-08-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
1999-09-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
1999-10-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
1999-11-30,+1 month,paper,0.09,4.3,1.0,2.7,4.3
1999-12-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2000-01-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2000-02-29,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2000-03-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
